Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Loïs Openda,be BEL,FW,23.0,34,33,2697.0,30.0,24.0,7.0,31.0,22.0,2.0,3.0,4.0,0.0,22.1,19.7,5.8,25.5,77.0,45.0,226.0,0.8,0.23,1.03,0.73,0.97,0.74,0.19,0.93,0.66,0.85,Matches
Xavi Simons,nl NED,MF,20.0,32,32,2653.0,29.5,8.0,11.0,19.0,7.0,1.0,2.0,11.0,1.0,8.3,6.7,9.8,16.4,151.0,187.0,216.0,0.27,0.37,0.64,0.24,0.61,0.28,0.33,0.61,0.23,0.56,Matches
David Raum,de GER,DF,25.0,31,31,2739.0,30.4,2.0,8.0,10.0,2.0,0.0,0.0,6.0,0.0,0.8,0.8,7.3,8.0,77.0,131.0,246.0,0.07,0.26,0.33,0.07,0.33,0.02,0.24,0.26,0.02,0.26,Matches
Xaver Schlager,at AUT,MF,25.0,29,29,2477.0,27.5,0.0,5.0,5.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,2.6,3.6,73.0,230.0,45.0,0.0,0.18,0.18,0.0,0.18,0.04,0.09,0.13,0.04,0.13,Matches
Benjamin Henrichs,de GER,DF,26.0,33,28,2526.0,28.1,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,2.5,2.5,4.4,6.9,53.0,124.0,161.0,0.04,0.18,0.21,0.04,0.21,0.09,0.16,0.25,0.09,0.25,Matches
Castello Lukeba,fr FRA,DF,20.0,32,24,2191.0,24.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.1,0.9,23.0,107.0,9.0,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04,Matches
Mohamed Simakan,fr FRA,DF,23.0,32,23,2138.0,23.8,2.0,3.0,5.0,2.0,0.0,0.0,8.0,0.0,3.9,3.9,3.3,7.2,34.0,106.0,76.0,0.08,0.13,0.21,0.08,0.21,0.16,0.14,0.3,0.16,0.3,Matches
Janis Blaswich,de GER,GK,32.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Amadou Haidara,ml MLI,MF,25.0,21,19,1526.0,17.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,1.6,2.7,8.0,97.0,11.0,0.12,0.06,0.18,0.12,0.18,0.07,0.09,0.16,0.07,0.16,Matches
Willi Orban,hu HUN,DF,30.0,19,18,1582.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,7.0,97.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Benjamin Šeško,si SVN,FW,20.0,31,17,1526.0,17.0,14.0,2.0,16.0,14.0,0.0,0.0,0.0,0.0,7.7,7.7,1.1,8.8,21.0,22.0,98.0,0.83,0.12,0.94,0.83,0.94,0.45,0.07,0.52,0.45,0.52,Matches
Dani Olmo,es ESP,MF,25.0,21,17,1449.0,16.1,4.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,3.3,3.3,5.4,8.8,60.0,68.0,111.0,0.25,0.31,0.56,0.25,0.56,0.21,0.34,0.55,0.21,0.55,Matches
Lukas Klostermann,de GER,DF,27.0,25,16,1436.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.1,14.0,90.0,13.0,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Matches
Kevin Kampl,si SVN,MF,32.0,26,14,1363.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,1.8,2.0,28.0,88.0,27.0,0.07,0.0,0.07,0.07,0.07,0.01,0.12,0.13,0.01,0.13,Matches
Péter Gulácsi,hu HUN,GK,33.0,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yussuf Poulsen,dk DEN,FW,29.0,28,12,1217.0,13.5,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,5.7,5.7,1.0,6.8,11.0,16.0,78.0,0.37,0.15,0.52,0.37,0.52,0.43,0.08,0.5,0.43,0.5,Matches
Christoph Baumgartner,at AUT,"MF,FW",23.0,32,11,1158.0,12.9,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,3.7,3.7,1.6,5.2,36.0,47.0,86.0,0.39,0.08,0.47,0.39,0.47,0.28,0.12,0.41,0.28,0.41,Matches
Nicolas Seiwald,at AUT,MF,22.0,21,6,718.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,3.0,33.0,4.0,0.0,0.25,0.25,0.0,0.25,0.0,0.04,0.04,0.0,0.04,Matches
Emil Forsberg,se SWE,"MF,FW",31.0,14,5,464.0,5.2,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.4,0.6,0.9,1.5,8.0,22.0,38.0,0.39,0.19,0.58,0.39,0.58,0.27,0.17,0.44,0.11,0.28,Matches
Elif Elmas,mk MKD,"MF,FW",23.0,14,2,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.27,0.04,0.31,0.27,0.31,Matches
Timo Werner,de GER,"FW,MF",27.0,8,2,207.0,2.3,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.4,1.6,0.0,1.6,10.0,6.0,32.0,0.87,0.0,0.87,0.43,0.43,1.02,0.02,1.04,0.68,0.7,Matches
Fabio Carvalho,pt POR,MF,20.0,9,1,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.5,8.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25,Matches
Christopher Lenz,de GER,"DF,MF",28.0,5,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
El Chadaille Bitshiabu,fr FRA,"DF,MF",18.0,6,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nuha Jatta,gm GAM,FW,17.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathan Norbye,no NOR,MF,16.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yannick Eduardo,0,FW,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tim Köhler,de GER,DF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
