Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Chris Führich,de GER,"FW,MF",25.0,28.5,30,19,6,14,10,16,37,43.2,21,31,0,31,7,37,7,0,Matches
Waldemar Anton,de GER,DF,27.0,32.1,39,25,21,16,2,23,42,54.8,19,33,20,13,40,79,150,1,Matches
Atakan Karazor,de GER,MF,26.0,29.1,72,44,23,38,11,29,60,48.3,31,37,8,29,27,99,43,0,Matches
Alexander Nübel,de GER,GK,26.0,30.0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,13,4,Matches
Angelo Stiller,de GER,MF,22.0,29.9,55,33,15,34,6,24,42,57.1,18,41,13,28,28,83,25,2,Matches
Enzo Millot,fr FRA,"MF,FW",21.0,24.9,40,22,9,21,10,18,39,46.2,21,24,2,22,16,56,7,1,Matches
Hiroki Ito,jp JPN,DF,24.0,24.8,19,18,13,6,0,11,26,42.3,15,29,17,12,29,48,86,2,Matches
Serhou Guirassy,gn GUI,FW,27.0,24.5,6,3,1,4,1,2,5,40.0,3,8,1,7,6,12,29,0,Matches
Maximilian Mittelstädt,de GER,DF,26.0,23.4,91,51,46,39,6,53,89,59.6,36,36,6,30,46,137,65,0,Matches
Deniz Undav,de GER,"FW,MF",27.0,23.2,28,13,6,8,14,4,15,26.7,11,17,0,17,6,34,5,0,Matches
Jamie Leweling,de GER,"FW,MF",22.0,16.9,18,10,4,6,8,5,17,29.4,12,21,1,20,5,23,13,0,Matches
Dan-Axel Zagadou,fr FRA,DF,24.0,16.1,21,14,16,5,0,4,8,50.0,4,23,18,5,20,41,78,1,Matches
Pascal Stenzel,de GER,DF,27.0,11.8,18,8,7,9,2,10,30,33.3,20,22,8,14,15,33,26,0,Matches
Josha Vagnoman,de GER,DF,22.0,13.1,28,18,15,11,2,15,30,50.0,15,11,5,6,2,30,16,1,Matches
Anthony Rouault,fr FRA,DF,22.0,11.2,21,12,14,5,2,13,21,61.9,8,14,8,6,8,29,28,0,Matches
Silas Katompa,cd COD,"FW,MF",24.0,10.0,5,3,3,2,0,3,12,25.0,9,9,0,9,0,5,4,0,Matches
Leonidas Stergiou,ch SUI,DF,21.0,6.6,15,8,7,7,1,9,13,69.2,4,8,1,7,5,20,13,0,Matches
Jeong Woo-yeong,kr KOR,"MF,FW",23.0,7.0,15,9,6,8,1,6,8,75.0,2,5,0,5,7,22,5,0,Matches
Fabian Bredlow,de GER,GK,28.0,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
Mahmoud Dahoud,de GER,MF,27.0,2.5,5,1,1,4,0,3,7,42.9,4,4,0,4,0,5,1,0,Matches
Lilian Egloff,de GER,"MF,DF",20.0,1.2,4,1,3,1,0,2,4,50.0,2,3,1,2,1,5,0,0,Matches
Roberto Massimo,de GER,"FW,DF",22.0,0.9,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
Borna Sosa,hr CRO,"FW,DF",25.0,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Luca Raimund,de GER,"FW,MF",18.0,0.3,3,1,2,1,0,0,0,0.0,0,2,0,2,0,3,0,0,Matches
Jovan Milošević,rs SRB,"FW,MF",18.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Genki Haraguchi,jp JPN,MF,32.0,0.3,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,1,0,Matches
Samuele Di Benedetto,de GER,MF,18.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,Matches
Squad Total,0,0,25.0,34.0,537,316,222,239,76,253,513,49.3,260,378,109,269,269,806,619,12,0
Opponent Total,0,0,26.6,34.0,608,370,313,247,48,279,613,45.5,334,435,124,311,328,936,618,13,0
