Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Chris Führich,de GER,"FW,MF",25.0,28.5,1112,1370,81.2,15384,4203,666,737,90.4,325,391,83.1,52,121,43.0,7,8.0,9.2,-1.0,53,59,61,9,145,Matches
Waldemar Anton,de GER,DF,27.0,32.1,2330,2624,88.8,41479,15026,904,955,94.7,1251,1342,93.2,143,260,55.0,3,1.0,1.5,2.0,9,163,7,2,172,Matches
Atakan Karazor,de GER,MF,26.0,29.1,1698,1900,89.4,24791,6910,946,1027,92.1,637,684,93.1,55,75,73.3,4,2.6,2.5,1.4,29,138,19,3,142,Matches
Alexander Nübel,de GER,GK,26.0,30.0,998,1218,81.9,24812,17557,199,200,99.5,539,556,96.9,258,456,56.6,0,0.0,0.0,0.0,0,13,1,0,1,Matches
Angelo Stiller,de GER,MF,22.0,29.9,2346,2637,89.0,37536,11544,1147,1231,93.2,981,1047,93.7,141,243,58.0,5,5.1,5.4,-0.1,51,229,29,6,220,Matches
Enzo Millot,fr FRA,"MF,FW",21.0,24.9,1238,1456,85.0,17707,4172,710,775,91.6,412,480,85.8,57,94,60.6,4,3.9,5.3,0.1,33,97,31,4,127,Matches
Hiroki Ito,jp JPN,DF,24.0,24.8,1833,2066,88.7,30156,11234,915,962,95.1,774,842,91.9,118,211,55.9,2,2.0,2.4,0.0,19,119,21,7,121,Matches
Serhou Guirassy,gn GUI,FW,27.0,24.5,629,777,81.0,7427,1176,430,489,87.9,129,163,79.1,17,23,73.9,3,6.6,5.4,-3.6,53,38,25,0,56,Matches
Maximilian Mittelstädt,de GER,DF,26.0,23.4,1447,1708,84.7,21937,6603,799,864,92.5,521,611,85.3,74,133,55.6,4,4.2,6.7,-0.2,30,107,33,20,123,Matches
Deniz Undav,de GER,"FW,MF",27.0,23.2,595,799,74.5,8387,2679,342,420,81.4,186,230,80.9,27,47,57.4,10,6.5,6.1,3.5,39,67,44,2,120,Matches
Jamie Leweling,de GER,"FW,MF",22.0,16.9,470,599,78.5,6491,1524,291,337,86.4,136,175,77.7,21,41,51.2,4,3.2,3.1,0.8,23,19,18,10,35,Matches
