D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,L,2,3,Viktoria Köln,0.0,0.0,38,8343,Niclas Füllkrug,3-4-3,Frank Willenborg,Match Report,0.0
2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Home,L,0,4,Bayern Munich,0.6,2.8,28,42100,Marco Friedl,3-1-4-2,Felix Zwayer,Match Report,0.0
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,L,0,1,Freiburg,1.0,2.4,51,34700,Marco Friedl,3-1-4-2,Benjamin Brand,Match Report,0.0
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,4,0,Mainz 05,2.7,0.5,45,41000,Marco Friedl,3-5-2,Robert Schröder,Match Report,0.0
2023-09-17,15:30,Bundesliga,Matchweek 4,Sun,Away,L,2,4,Heidenheim,3.0,2.2,59,15000,Marco Friedl,3-5-2,Patrick Ittrich,Match Report,0.0
2023-09-23,18:30,Bundesliga,Matchweek 5,Sat,Home,W,2,1,Köln,2.1,1.3,47,42100,Niklas Stark,3-1-4-2,Bastian Dankert,Match Report,0.0
2023-10-01,15:30,Bundesliga,Matchweek 6,Sun,Away,L,2,4,Darmstadt 98,1.5,2.4,57,17810,Christian Groß,3-5-2,Martin Petersen,Match Report,0.0
2023-10-07,18:30,Bundesliga,Matchweek 7,Sat,Home,L,2,3,Hoffenheim,0.8,1.9,48,41000,Marco Friedl,3-1-4-2,Christian Dingert,Match Report,0.0
2023-10-20,20:30,Bundesliga,Matchweek 8,Fri,Away,L,0,1,Dortmund,0.4,2.6,43,81365,Marco Friedl,3-5-2,Felix Brych,Match Report,0.0
2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,W,2,0,Union Berlin,0.8,0.6,56,42100,Marco Friedl,3-5-2,Tobias Stieler,Match Report,0.0
2023-11-05,15:30,Bundesliga,Matchweek 10,Sun,Away,D,2,2,Wolfsburg,1.2,1.6,44,28917,Marco Friedl,3-5-2,Tobias Reichel,Match Report,0.0
2023-11-12,17:30,Bundesliga,Matchweek 11,Sun,Home,D,2,2,Eint Frankfurt,1.5,2.0,49,42100,Marco Friedl,3-5-2,Benjamin Brand,Match Report,0.0
2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Home,L,0,3,Leverkusen,0.2,1.0,41,42100,Marco Friedl,3-5-2,Martin Petersen,Match Report,0.0
2023-12-02,18:30,Bundesliga,Matchweek 13,Sat,Away,L,0,2,Stuttgart,0.8,3.5,42,54500,Marco Friedl,3-5-2,Bastian Dankert,Match Report,0.0
2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Home,W,2,0,Augsburg,1.5,0.7,48,41000,Leonardo Bittencourt,3-5-2,Sascha Stegemann,Match Report,0.0
2023-12-15,20:30,Bundesliga,Matchweek 15,Fri,Away,D,2,2,Gladbach,1.6,1.4,50,50660,Leonardo Bittencourt,3-4-3,Felix Zwayer,Match Report,0.0
2023-12-19,18:30,Bundesliga,Matchweek 16,Tue,Home,D,1,1,RB Leipzig,1.5,1.7,45,41000,Marco Friedl,3-4-3,Tobias Reichel,Match Report,0.0
2024-01-14,15:30,Bundesliga,Matchweek 17,Sun,Away,D,1,1,Bochum,0.8,0.7,51,26000,Marco Friedl,3-4-3,Tobias Stieler,Match Report,0.0
2024-01-21,15:30,Bundesliga,Matchweek 18,Sun,Away,W,1,0,Bayern Munich,0.4,1.9,32,75000,Marco Friedl,3-5-2,Marco Fritz,Match Report,0.0
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,W,3,1,Freiburg,2.5,1.2,42,41500,Marco Friedl,3-5-2,Robert Hartmann,Match Report,0.0
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,W,1,0,Mainz 05,0.6,0.8,41,31800,Marco Friedl,3-5-2,Benjamin Brand,Match Report,0.0
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,L,1,2,Heidenheim,1.7,1.8,65,41000,Marco Friedl,3-5-2,Robert Schröder,Match Report,0.0
2024-02-16,20:30,Bundesliga,Matchweek 22,Fri,Away,W,1,0,Köln,1.8,0.8,43,50000,Marco Friedl,3-5-2,Daniel Siebert,Match Report,0.0
2024-02-24,15:30,Bundesliga,Matchweek 23,Sat,Home,D,1,1,Darmstadt 98,1.8,1.0,55,42358,Christian Groß,3-5-2,Florian Badstübner,Match Report,0.0
2024-03-03,17:30,Bundesliga,Matchweek 24,Sun,Away,L,1,2,Hoffenheim,1.3,1.7,53,25000,Christian Groß,3-5-2,Matthias Jöllenbeck,Match Report,0.0
2024-03-09,18:30,Bundesliga,Matchweek 25,Sat,Home,L,1,2,Dortmund,1.8,1.2,46,42100,Niklas Stark,3-5-2,Deniz Aytekin,Match Report,0.0
2024-03-16,15:30,Bundesliga,Matchweek 26,Sat,Away,L,1,2,Union Berlin,1.1,1.1,50,22012,Miloš Veljković,3-4-3,Daniel Schlager,Match Report,0.0
2024-03-30,15:30,Bundesliga,Matchweek 27,Sat,Home,L,0,2,Wolfsburg,0.5,2.3,49,41500,Marco Friedl,3-5-2,Sascha Stegemann,Match Report,0.0
2024-04-05,20:30,Bundesliga,Matchweek 28,Fri,Away,D,1,1,Eint Frankfurt,1.6,2.1,34,58000,Marco Friedl,3-5-2,Robert Hartmann,Match Report,0.0
2024-04-14,17:30,Bundesliga,Matchweek 29,Sun,Away,L,0,5,Leverkusen,0.7,3.2,44,30210,Leonardo Bittencourt,3-5-2,Harm Osmers,Match Report,0.0
2024-04-21,15:30,Bundesliga,Matchweek 30,Sun,Home,W,2,1,Stuttgart,1.5,2.2,31,42100,Marco Friedl,3-4-3,Robert Schröder,Match Report,0.0
2024-04-27,15:30,Bundesliga,Matchweek 31,Sat,Away,W,3,0,Augsburg,2.0,0.6,46,30660,Marco Friedl,3-4-3,Tobias Welz,Match Report,0.0
2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Home,D,2,2,Gladbach,1.4,1.9,56,42100,Marco Friedl,3-4-3,Timo Gerach,Match Report,0.0
2024-05-11,15:30,Bundesliga,Matchweek 33,Sat,Away,D,1,1,RB Leipzig,1.1,1.4,55,47069,Marco Friedl,3-4-3,Sascha Stegemann,Match Report,0.0
2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,W,4,1,Bochum,3.0,2.1,46,42100,Marco Friedl,3-5-2,Martin Petersen,Match Report,0.0
