Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Marvin Ducksch,de GER,FW,29.0,33,2696.0,82.0,88.1,30.0,32,83.0,15,1,45.0,0,1.18,41.0,50.0,-9.0,-0.3,-1.04,39.3,49.7,-10.4,-0.35,-0.54,Matches
Mitchell Weiser,de GER,"DF,MF",29.0,30,2636.0,88.0,86.1,29.3,30,88.0,26,0,0.0,1,1.2,43.0,45.0,-2.0,-0.07,0.78,41.3,47.7,-6.4,-0.22,0.46,Matches
Romano Schmid,at AUT,"MF,FW",23.0,33,2601.0,79.0,85.0,28.9,30,84.0,13,3,23.0,0,1.27,43.0,48.0,-5.0,-0.17,0.02,38.6,48.4,-9.9,-0.34,-0.4,Matches
Anthony Jung,de GER,DF,31.0,31,2579.0,83.0,84.3,28.7,30,86.0,24,1,11.0,1,1.32,41.0,36.0,5.0,0.17,2.23,38.4,42.7,-4.3,-0.15,0.84,Matches
Michael Zetterer,de GER,GK,28.0,27,2430.0,90.0,79.4,27.0,27,90.0,27,0,0.0,7,1.33,36.0,37.0,-1.0,-0.04,0.68,35.1,43.0,-7.9,-0.29,-0.05,Matches
Jens Stage,dk DEN,MF,26.0,30,2327.0,78.0,76.0,25.9,26,85.0,15,4,29.0,0,1.2,32.0,39.0,-7.0,-0.27,-0.39,34.6,41.5,-6.9,-0.27,0.06,Matches
Marco Friedl,at AUT,DF,25.0,25,2197.0,88.0,71.8,24.4,25,88.0,23,0,0.0,0,1.36,33.0,32.0,1.0,0.04,0.77,31.3,41.7,-10.4,-0.43,-0.52,Matches
Miloš Veljković,rs SRB,DF,27.0,23,1920.0,83.0,62.7,21.3,21,88.0,19,2,36.0,1,1.04,33.0,40.0,-7.0,-0.33,-0.41,27.8,38.9,-11.1,-0.52,-0.64,Matches
Senne Lynen,be BEL,MF,24.0,32,1797.0,56.0,58.7,20.0,20,80.0,10,12,16.0,1,1.31,29.0,28.0,1.0,0.05,0.55,27.5,30.7,-3.2,-0.16,0.3,Matches
Felix Agu,de GER,"DF,MF",23.0,24,1614.0,67.0,52.7,17.9,19,81.0,4,5,14.0,5,1.42,21.0,23.0,-2.0,-0.11,0.14,22.5,28.7,-6.3,-0.35,-0.14,Matches
Leonardo Bittencourt,de GER,MF,29.0,29,1578.0,54.0,51.6,17.5,19,75.0,1,10,15.0,3,1.24,23.0,23.0,0.0,0.0,0.36,22.2,28.3,-6.1,-0.35,-0.13,Matches
Olivier Deman,be BEL,DF,23.0,29,1365.0,47.0,44.6,15.2,14,82.0,7,15,14.0,1,1.34,26.0,27.0,-1.0,-0.07,0.2,21.4,25.0,-3.6,-0.23,0.08,Matches
Nick Woltemade,de GER,"FW,MF",21.0,30,1189.0,40.0,38.9,13.2,12,73.0,1,18,18.0,3,1.37,20.0,17.0,3.0,0.23,0.66,20.9,20.9,0.0,0.0,0.46,Matches
Niklas Stark,de GER,DF,28.0,17,1088.0,64.0,35.6,12.1,12,85.0,10,5,13.0,3,1.47,20.0,16.0,4.0,0.33,0.79,20.3,17.9,2.5,0.21,0.76,Matches
Rafael Borré,co COL,FW,27.0,19,991.0,52.0,32.4,11.0,11,77.0,2,8,19.0,1,1.37,13.0,18.0,-5.0,-0.45,-0.41,12.8,17.4,-4.6,-0.42,-0.21,Matches
Justin Njinmah,de GER,FW,22.0,24,1016.0,42.0,33.2,11.3,10,75.0,1,14,19.0,2,1.25,18.0,16.0,2.0,0.18,0.53,16.7,16.3,0.4,0.04,0.48,Matches
Christian Groß,de GER,"DF,MF",34.0,20,797.0,40.0,26.0,8.9,8,83.0,2,12,11.0,11,1.4,14.0,23.0,-9.0,-1.02,-1.14,15.5,19.0,-3.5,-0.39,-0.15,Matches
Jiří Pavlenka,cz CZE,GK,31.0,7,630.0,90.0,20.6,7.0,7,90.0,7,0,0.0,17,0.86,12.0,17.0,-5.0,-0.71,-0.68,11.8,13.5,-1.7,-0.24,0.05,Matches
Amos Pieper,de GER,DF,25.0,7,590.0,84.0,19.3,6.6,7,84.0,6,0,0.0,5,1.0,10.0,14.0,-4.0,-0.61,-0.54,11.6,12.3,-0.7,-0.11,0.21,Matches
Julián Malatini,ar ARG,DF,22.0,11,602.0,55.0,19.7,6.7,6,85.0,4,5,19.0,6,1.27,6.0,13.0,-7.0,-1.05,-1.08,10.3,10.1,0.2,0.02,0.38,Matches
Dawid Kownacki,pl POL,FW,26.0,22,380.0,17.0,12.4,4.2,3,62.0,0,19,10.0,10,0.95,9.0,9.0,0.0,0.0,0.2,9.1,8.8,0.3,0.07,0.4,Matches
Niclas Füllkrug,de GER,FW,30.0,2,180.0,90.0,5.9,2.0,2,90.0,2,0,0.0,0,0.0,0.0,5.0,-5.0,-2.5,-2.47,1.6,5.2,-3.6,-1.82,-1.63,Matches
Skelly Alvero,fr FRA,MF,21.0,6,123.0,21.0,4.0,1.4,1,78.0,0,5,9.0,3,0.5,1.0,1.0,0.0,0.0,0.18,2.0,1.7,0.3,0.18,0.49,Matches
Naby Keïta,gn GUI,"MF,DF",28.0,5,109.0,22.0,3.6,1.2,1,58.0,0,4,13.0,7,0.6,3.0,3.0,0.0,0.0,0.18,1.8,2.3,-0.4,-0.35,-0.07,Matches
Nicolai Rapp,de GER,DF,26.0,2,76.0,38.0,2.5,0.8,1,71.0,0,1,5.0,9,0.0,1.0,2.0,-1.0,-1.18,-1.03,0.8,1.4,-0.6,-0.72,-0.45,Matches
