D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,W,6,0,TuS Makkabi Berlin,0.0,0.0,66,4800,Koen Casteels,4-2-3-1,Riem Hussein,Match Report,0
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,2,0,Heidenheim,2.2,1.2,48,22620,Koen Casteels,4-3-3,Florian Badstübner,Match Report,0
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,1,Köln,1.7,0.9,50,49500,Koen Casteels,4-3-3,Matthias Jöllenbeck,Match Report,0
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1,3,Hoffenheim,1.2,2.0,60,17500,Maximilian Arnold,4-3-3,Felix Zwayer,Match Report,0
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,2,1,Union Berlin,0.4,1.1,44,21917,Maximilian Arnold,4-2-3-1,Felix Brych,Match Report,0
2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,1,Dortmund,0.5,1.7,37,81365,Maximilian Arnold,4-2-3-1,Sven Jablonski,Match Report,0
2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,W,2,0,Eint Frankfurt,3.2,1.3,54,28323,Maximilian Arnold,4-2-3-1,Frank Willenborg,Match Report,0
2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1,3,Stuttgart,1.2,2.7,41,52000,Maximilian Arnold,4-2-3-1,Daniel Siebert,Match Report,0
2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Home,L,1,2,Leverkusen,1.4,1.9,42,28917,Maximilian Arnold,3-4-3,Marco Fritz,Match Report,0
2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Away,L,2,3,Augsburg,1.4,1.4,60,28000,Maximilian Arnold,4-2-3-1,Daniel Schlager,Match Report,0
