Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Jonas Wind,dk DEN,FW,24.0,34,31,2651.0,29.5,11.0,7.0,18.0,11.0,0.0,1.0,3.0,0.0,9.4,8.5,5.1,13.6,17.0,88.0,115.0,0.37,0.24,0.61,0.37,0.61,0.32,0.17,0.49,0.29,0.46,Matches
Maximilian Arnold,de GER,MF,29.0,30,27,2506.0,27.8,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,1.0,1.0,3.9,4.9,20.0,143.0,19.0,0.07,0.04,0.11,0.07,0.11,0.04,0.14,0.18,0.04,0.18,Matches
Joakim Mæhle,dk DEN,"DF,MF",26.0,30,27,2452.0,27.2,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.4,1.4,2.7,4.0,84.0,119.0,137.0,0.07,0.11,0.18,0.07,0.18,0.05,0.1,0.15,0.05,0.15,Matches
Maxence Lacroix,fr FRA,DF,23.0,28,27,2362.0,26.2,4.0,1.0,5.0,4.0,0.0,0.0,5.0,3.0,0.8,0.8,0.8,1.7,5.0,79.0,5.0,0.15,0.04,0.19,0.15,0.19,0.03,0.03,0.06,0.03,0.06,Matches
Koen Casteels,be BEL,GK,31.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Lovro Majer,hr CRO,"MF,FW",25.0,32,25,2106.0,23.4,5.0,5.0,10.0,3.0,2.0,2.0,5.0,0.0,5.4,3.8,3.2,7.0,61.0,124.0,140.0,0.21,0.21,0.43,0.13,0.34,0.23,0.14,0.37,0.16,0.3,Matches
Ridle Baku,de GER,"DF,MF",25.0,33,22,2013.0,22.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,3.0,4.8,37.0,85.0,130.0,0.04,0.0,0.04,0.04,0.04,0.08,0.13,0.21,0.08,0.21,Matches
Moritz Jenz,de GER,DF,24.0,22,21,1742.0,19.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,0.3,0.6,2.0,47.0,4.0,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,Matches
Mattias Svanberg,se SWE,MF,24.0,25,20,1715.0,19.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,3.0,3.0,2.3,5.3,28.0,84.0,52.0,0.05,0.16,0.21,0.05,0.21,0.15,0.12,0.28,0.15,0.28,Matches
Cedric Zesiger,ch SUI,DF,25.0,23,18,1634.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.3,1.3,0.0,1.4,14.0,81.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.07,0.08,Matches
Yannick Gerhardt,de GER,"MF,DF",29.0,25,18,1630.0,18.1,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.9,1.9,0.9,2.8,17.0,49.0,73.0,0.11,0.06,0.17,0.11,0.17,0.11,0.05,0.15,0.11,0.15,Matches
Sebastiaan Bornauw,be BEL,DF,24.0,20,16,1431.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.4,1.2,2.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,Matches
Kevin Paredes,us USA,"FW,MF",20.0,28,15,1432.0,15.9,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,1.4,4.3,34.0,50.0,112.0,0.19,0.0,0.19,0.19,0.19,0.19,0.09,0.27,0.19,0.27,Matches
