Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Jonas Wind,dk DEN,FW,24.0,34,2651.0,78.0,86.6,29.5,31,84.0,16,3,16.0,0,1.09,38.0,47.0,-9.0,-0.31,1.01,34.6,38.3,-3.8,-0.13,0.26,Matches
Maximilian Arnold,de GER,MF,29.0,30,2506.0,84.0,81.9,27.8,27,90.0,26,3,26.0,0,1.0,32.0,49.0,-17.0,-0.61,-0.94,30.6,37.4,-6.7,-0.24,-0.43,Matches
Joakim Mæhle,dk DEN,"DF,MF",26.0,30,2452.0,82.0,80.1,27.2,27,87.0,22,3,33.0,1,1.03,34.0,44.0,-10.0,-0.37,0.37,33.4,34.2,-0.8,-0.03,0.67,Matches
Maxence Lacroix,fr FRA,DF,23.0,28,2362.0,84.0,77.2,26.2,27,87.0,23,1,15.0,0,1.25,33.0,40.0,-7.0,-0.27,0.76,32.5,34.3,-1.8,-0.07,0.41,Matches
Koen Casteels,be BEL,GK,31.0,25,2250.0,90.0,73.5,25.0,25,90.0,25,0,0.0,0,1.2,31.0,39.0,-8.0,-0.32,0.46,27.4,34.8,-7.3,-0.29,-0.49,Matches
Lovro Majer,hr CRO,"MF,FW",25.0,32,2106.0,66.0,68.8,23.4,25,76.0,4,7,30.0,2,0.97,32.0,38.0,-6.0,-0.26,0.59,28.8,30.5,-1.7,-0.07,0.29,Matches
Ridle Baku,de GER,"DF,MF",25.0,33,2013.0,61.0,65.8,22.4,22,81.0,10,11,20.0,0,1.09,28.0,34.0,-6.0,-0.27,0.51,24.8,29.9,-5.2,-0.23,-0.2,Matches
Moritz Jenz,de GER,DF,24.0,22,1742.0,79.0,56.9,19.4,21,81.0,16,1,45.0,6,0.82,23.0,32.0,-9.0,-0.46,-0.06,20.2,23.3,-3.1,-0.16,0.01,Matches
Mattias Svanberg,se SWE,MF,24.0,25,1715.0,69.0,56.0,19.1,20,80.0,5,5,25.0,4,1.16,25.0,33.0,-8.0,-0.42,0.05,23.4,27.8,-4.4,-0.23,-0.15,Matches
Cedric Zesiger,ch SUI,DF,25.0,23,1634.0,71.0,53.4,18.2,18,84.0,14,5,24.0,10,1.35,20.0,32.0,-12.0,-0.66,-0.47,22.4,27.4,-5.0,-0.27,-0.24,Matches
Yannick Gerhardt,de GER,"MF,DF",29.0,25,1630.0,65.0,53.3,18.1,18,84.0,8,7,18.0,5,1.36,23.0,23.0,0.0,0.0,0.94,22.5,21.6,1.0,0.05,0.46,Matches
Sebastiaan Bornauw,be BEL,DF,24.0,20,1431.0,72.0,46.8,15.9,16,84.0,12,4,20.0,7,1.1,17.0,30.0,-13.0,-0.82,-0.71,14.0,22.9,-8.9,-0.56,-0.74,Matches
Kevin Paredes,us USA,"FW,MF",20.0,28,1432.0,51.0,46.8,15.9,15,80.0,6,13,18.0,3,1.07,20.0,27.0,-7.0,-0.44,0.0,20.1,18.1,2.0,0.12,0.54,Matches
Aster Vranckx,be BEL,MF,20.0,24,1153.0,48.0,37.7,12.8,12,84.0,9,12,13.0,3,1.21,13.0,24.0,-11.0,-0.86,-0.67,12.6,20.6,-8.0,-0.62,-0.74,Matches
Václav Černý,cz CZE,"FW,MF",25.0,22,921.0,42.0,30.1,10.2,12,67.0,0,10,12.0,8,0.91,13.0,17.0,-4.0,-0.39,0.07,12.5,13.4,-0.9,-0.09,0.1,Matches
Tiago Tomás,pt POR,"FW,MF",21.0,26,1032.0,40.0,33.7,11.5,11,63.0,0,15,23.0,2,1.08,11.0,20.0,-9.0,-0.78,-0.52,12.5,18.2,-5.7,-0.5,-0.51,Matches
Rogério,br BRA,DF,25.0,13,906.0,70.0,29.6,10.1,10,83.0,7,3,26.0,3,0.77,10.0,15.0,-5.0,-0.5,-0.08,9.6,13.7,-4.1,-0.41,-0.35,Matches
Pavao Pervan,at AUT,GK,35.0,9,810.0,90.0,26.5,9.0,9,90.0,9,0,0.0,25,0.78,10.0,17.0,-7.0,-0.78,-0.46,11.7,10.0,1.8,0.2,0.49,Matches
Patrick Wimmer,at AUT,"FW,MF",22.0,14,589.0,42.0,19.2,6.5,8,61.0,0,6,17.0,4,1.36,14.0,8.0,6.0,0.92,1.68,8.3,5.7,2.6,0.4,0.69,Matches
Kevin Behrens,de GER,FW,32.0,13,616.0,47.0,20.1,6.8,7,78.0,1,6,12.0,2,1.15,8.0,11.0,-3.0,-0.44,0.0,9.6,7.6,2.0,0.29,0.56,Matches
Jakub Kamiński,pl POL,"FW,MF",21.0,17,473.0,28.0,15.5,5.3,4,69.0,1,13,15.0,12,1.24,4.0,9.0,-5.0,-0.95,-0.6,4.6,6.3,-1.7,-0.31,-0.18,Matches
