Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
William Saliba,fr FRA,DF,22.0,38.0,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3,Matches
Declan Rice,eng ENG,MF,24.0,35.8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0,Matches
Martin Ødegaard,no NOR,MF,24.0,34.3,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0,Matches
Ben White,eng ENG,DF,25.0,33.2,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1,Matches
Bukayo Saka,eng ENG,FW,21.0,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1,Matches
Gabriel Magalhães,br BRA,DF,25.0,33.8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1,Matches
David Raya,es ESP,GK,27.0,32.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,5,Matches
Kai Havertz,de GER,"MF,FW",24.0,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0,Matches
Gabriel Martinelli,br BRA,FW,22.0,22.4,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1,Matches
Oleksandr Zinchenko,ua UKR,DF,26.0,19.1,50,30,19,24,7,35,52,67.3,17,18,3,15,20,70,26,2,Matches
Leandro Trossard,be BEL,"FW,MF",28.0,18.3,27,16,8,9,10,9,25,36.0,16,27,1,26,8,35,6,0,Matches
Gabriel Jesus,br BRA,FW,26.0,16.4,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0,Matches
Jakub Kiwior,pl POL,DF,23.0,10.5,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1,Matches
Takehiro Tomiyasu,jp JPN,DF,24.0,12.8,20,9,15,4,1,11,18,61.1,7,10,4,6,18,38,33,0,Matches
Eddie Nketiah,eng ENG,FW,24.0,12.0,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0,Matches
Jorginho,it ITA,MF,31.0,10.2,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1,Matches
Thomas Partey,gh GHA,"MF,DF",30.0,8.8,14,11,9,4,1,5,10,50.0,5,9,3,6,11,25,9,0,Matches
Aaron Ramsdale,eng ENG,GK,25.0,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,Matches
Emile Smith Rowe,eng ENG,MF,23.0,3.9,4,1,2,2,0,2,4,50.0,2,3,1,2,3,7,1,0,Matches
Fabio Vieira,pt POR,"MF,FW",23.0,3.3,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,2,0,Matches
Reiss Nelson,eng ENG,FW,23.0,3.0,9,6,5,1,3,8,10,80.0,2,5,1,4,1,10,5,0,Matches
Jurriën Timber,nl NED,DF,22.0,0.8,2,2,1,1,0,0,0,0.0,0,1,0,1,0,2,1,0,Matches
Cédric Soares,pt POR,DF,31.0,0.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Mohamed Elneny,eg EGY,MF,31.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Ethan Nwaneri,eng ENG,FW,16.0,0.2,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,Matches
Squad Total,0,0,25.0,38.0,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,0
Opponent Total,0,0,26.3,38.0,679,376,396,205,78,304,587,51.8,283,492,220,272,299,978,875,23,0
