Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
William Saliba,fr FRA,DF,22.0,38.0,4,0,0,22,16,0,3,29,26,0,1,0,213,72,49,59.5,Matches
Declan Rice,eng ENG,MF,24.0,35.8,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6,Matches
Martin Ødegaard,no NOR,MF,24.0,34.3,2,0,0,30,36,3,77,15,17,1,0,0,158,3,9,25.0,Matches
Ben White,eng ENG,DF,25.0,33.2,8,0,0,19,12,11,57,32,28,0,0,0,120,36,22,62.1,Matches
Bukayo Saka,eng ENG,FW,21.0,32.4,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39.0,Matches
Gabriel Magalhães,br BRA,DF,25.0,33.8,4,0,0,35,34,1,4,31,28,0,0,1,136,77,62,55.4,Matches
David Raya,es ESP,GK,27.0,32.0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3,Matches
Kai Havertz,de GER,"MF,FW",24.0,29.3,11,0,0,49,44,15,12,20,15,1,0,0,122,102,101,50.2,Matches
Gabriel Martinelli,br BRA,FW,22.0,22.4,1,0,0,23,24,9,109,5,24,0,0,0,95,15,26,36.6,Matches
Oleksandr Zinchenko,ua UKR,DF,26.0,19.1,2,0,0,7,9,1,30,20,30,0,0,0,104,27,16,62.8,Matches
Leandro Trossard,be BEL,"FW,MF",28.0,18.3,2,0,0,15,20,9,57,8,16,1,0,0,88,5,10,33.3,Matches
Gabriel Jesus,br BRA,FW,26.0,16.4,6,0,0,26,32,16,9,13,17,1,0,0,59,15,38,28.3,Matches
Jakub Kiwior,pl POL,DF,23.0,10.5,1,0,0,10,3,0,12,8,12,0,0,0,35,15,11,57.7,Matches
Takehiro Tomiyasu,jp JPN,DF,24.0,12.8,2,1,1,14,8,1,14,18,9,0,0,0,54,25,20,55.6,Matches
Eddie Nketiah,eng ENG,FW,24.0,12.0,3,0,0,24,28,8,5,4,7,2,0,0,24,23,27,46.0,Matches
Jorginho,it ITA,MF,31.0,10.2,1,0,0,9,15,0,3,12,10,0,0,0,49,7,7,50.0,Matches
Thomas Partey,gh GHA,"MF,DF",30.0,8.8,3,0,0,10,6,0,2,11,11,0,0,0,56,7,8,46.7,Matches
Aaron Ramsdale,eng ENG,GK,25.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0.0,Matches
Emile Smith Rowe,eng ENG,MF,23.0,3.9,0,0,0,5,2,0,1,3,1,0,0,0,15,3,5,37.5,Matches
Fabio Vieira,pt POR,"MF,FW",23.0,3.3,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100.0,Matches
Reiss Nelson,eng ENG,FW,23.0,3.0,1,0,0,5,6,0,14,1,6,0,0,0,22,0,5,0.0,Matches
Jurriën Timber,nl NED,DF,22.0,0.8,2,0,0,3,0,1,1,0,2,0,0,0,4,1,1,50.0,Matches
Cédric Soares,pt POR,DF,31.0,0.7,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0.0,Matches
Mohamed Elneny,eg EGY,MF,31.0,0.3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,50.0,Matches
Ethan Nwaneri,eng ENG,FW,16.0,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,0,0,25.0,38.0,64,2,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2,0
Opponent Total,0,0,26.3,38.0,82,2,2,407,365,60,476,299,376,2,10,5,1585,499,503,49.8,0
