Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Ollie Watkins,eng ENG,FW,27.0,37,3217.0,87.0,94.1,35.7,37,87.0,27,0,0.0,0,1.84,72.0,56.0,16.0,0.45,0.89,60.6,54.9,5.6,0.16,1.16,Matches
Ezri Konsa,eng ENG,DF,25.0,35,3069.0,88.0,89.7,34.1,35,88.0,30,0,0.0,0,1.77,68.0,54.0,14.0,0.41,0.15,55.1,52.2,2.9,0.08,-0.05,Matches
John McGinn,sct SCO,"MF,FW",28.0,35,2999.0,86.0,87.7,33.3,35,86.0,24,0,0.0,0,1.83,68.0,52.0,16.0,0.48,0.69,56.6,48.6,8.0,0.24,1.22,Matches
Douglas Luiz,br BRA,MF,25.0,35,2993.0,86.0,87.5,33.3,35,86.0,26,0,0.0,0,1.69,65.0,57.0,8.0,0.24,-1.23,56.4,52.7,3.7,0.11,0.18,Matches
Emiliano Martínez,ar ARG,GK,30.0,34,3015.0,89.0,88.2,33.5,34,89.0,33,0,0.0,0,1.91,72.0,48.0,24.0,0.72,2.72,58.8,49.8,9.0,0.27,1.52,Matches
Pau Torres,es ESP,DF,26.0,29,2464.0,85.0,72.0,27.4,27,88.0,25,2,45.0,5,2.07,57.0,37.0,20.0,0.73,1.2,46.4,39.9,6.5,0.24,0.53,Matches
Lucas Digne,fr FRA,DF,30.0,33,2410.0,73.0,70.5,26.8,27,85.0,18,6,19.0,0,1.76,54.0,41.0,13.0,0.49,0.31,43.6,41.9,1.7,0.06,-0.08,Matches
Moussa Diaby,fr FRA,"FW,MF",24.0,38,2174.0,57.0,63.6,24.2,25,75.0,4,13,23.0,0,1.79,41.0,40.0,1.0,0.04,-0.97,35.9,36.1,-0.1,-0.01,-0.26,Matches
Matty Cash,pl POL,DF,25.0,29,2142.0,74.0,62.6,23.8,23,84.0,16,6,34.0,2,1.86,49.0,36.0,13.0,0.55,0.41,41.2,36.6,4.6,0.19,0.28,Matches
Leon Bailey,jm JAM,"MF,FW",25.0,35,2068.0,59.0,60.5,23.0,22,76.0,3,13,31.0,1,1.77,53.0,32.0,21.0,0.91,1.31,43.0,35.8,7.2,0.31,0.56,Matches
Diego Carlos,br BRA,DF,30.0,27,1816.0,67.0,53.1,20.2,20,86.0,18,7,15.0,5,1.56,35.0,36.0,-1.0,-0.05,-0.95,31.4,33.8,-2.4,-0.12,-0.44,Matches
Boubacar Kamara,fr FRA,MF,23.0,20,1652.0,83.0,48.3,18.4,20,83.0,10,0,0.0,0,2.05,36.0,22.0,14.0,0.76,0.71,31.1,24.7,6.4,0.35,0.5,Matches
Youri Tielemans,be BEL,"MF,FW",26.0,32,1622.0,51.0,47.4,18.0,17,77.0,6,15,21.0,0,1.91,40.0,27.0,13.0,0.72,0.62,33.5,30.5,3.0,0.17,0.15,Matches
Clément Lenglet,fr FRA,DF,28.0,14,1153.0,82.0,33.7,12.8,14,82.0,11,0,0.0,20,1.29,22.0,27.0,-5.0,-0.39,-1.18,20.4,23.4,-3.0,-0.23,-0.49,Matches
Álex Moreno,es ESP,DF,30.0,21,1031.0,49.0,30.1,11.5,11,80.0,5,10,16.0,4,1.67,24.0,20.0,4.0,0.35,-0.07,20.3,18.2,2.1,0.18,0.13,Matches
Nicolò Zaniolo,it ITA,"FW,MF",24.0,25,839.0,34.0,24.5,9.3,9,61.0,0,16,18.0,5,1.6,17.0,13.0,4.0,0.43,0.05,13.1,14.7,-1.6,-0.18,-0.35,Matches
Jacob Ramsey,eng ENG,"FW,MF",22.0,16,853.0,53.0,24.9,9.5,8,80.0,5,8,26.0,0,2.19,22.0,12.0,10.0,1.06,0.88,18.5,13.2,5.3,0.56,0.62,Matches
Morgan Rogers,eng ENG,"MF,FW",21.0,11,638.0,58.0,18.7,7.1,8,72.0,4,3,20.0,3,1.91,12.0,13.0,-1.0,-0.14,-0.66,8.0,14.3,-6.3,-0.89,-1.2,Matches
Robin Olsen,se SWE,GK,33.0,5,405.0,81.0,11.8,4.5,4,90.0,4,1,45.0,26,0.8,4.0,13.0,-9.0,-2.0,-2.72,4.5,10.1,-5.6,-1.25,-1.52,Matches
Jhon Durán,co COL,"FW,MF",19.0,23,475.0,21.0,13.9,5.3,3,68.0,1,20,14.0,5,1.74,15.0,12.0,3.0,0.57,0.2,8.6,11.3,-2.6,-0.5,-0.68,Matches
