Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Illia Zabarnyi,ua UKR,DF,20.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,0.0,0,1.22,51.0,67.0,-16.0,-0.43,-3.43,54.0,57.2,-3.2,-0.09,-1.07,Matches
Dominic Solanke,eng ENG,FW,25.0,38,3325.0,88.0,97.2,36.9,37,89.0,28,1,32.0,0,1.26,51.0,61.0,-10.0,-0.27,2.57,52.6,55.1,-2.5,-0.07,-0.35,Matches
Ryan Christie,sct SCO,MF,28.0,37,2907.0,79.0,85.0,32.3,35,81.0,18,2,29.0,0,1.22,44.0,56.0,-12.0,-0.37,-0.2,46.3,48.3,-2.0,-0.06,-0.03,Matches
Neto,br BRA,GK,34.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,0.0,4,1.22,46.0,55.0,-9.0,-0.28,0.39,49.0,49.5,-0.5,-0.02,0.27,Matches
Lewis Cook,eng ENG,MF,26.0,33,2786.0,84.0,81.5,31.0,32,86.0,26,1,45.0,0,1.24,43.0,50.0,-7.0,-0.23,0.63,46.1,45.8,0.3,0.01,0.36,Matches
Marcos Senesi,ar ARG,DF,26.0,31,2242.0,72.0,65.6,24.9,26,83.0,17,5,16.0,1,1.13,37.0,44.0,-7.0,-0.28,0.18,38.0,39.7,-1.7,-0.07,-0.03,Matches
Justin Kluivert,nl NED,"MF,FW",24.0,32,1916.0,60.0,56.0,21.3,26,68.0,0,6,24.0,6,1.22,29.0,23.0,6.0,0.28,1.42,33.5,28.7,4.9,0.23,0.65,Matches
Adam Smith,eng ENG,DF,32.0,28,2150.0,77.0,62.9,23.9,25,85.0,15,3,12.0,6,1.61,39.0,33.0,6.0,0.25,1.6,37.6,31.6,6.0,0.25,0.83,Matches
Marcus Tavernier,eng ENG,FW,24.0,30,2118.0,71.0,61.9,23.5,25,78.0,7,5,33.0,0,1.33,37.0,38.0,-1.0,-0.04,0.79,34.5,32.0,2.5,0.11,0.43,Matches
Antoine Semenyo,gh GHA,FW,23.0,33,2105.0,64.0,61.5,23.4,25,76.0,10,8,25.0,3,1.39,41.0,33.0,8.0,0.34,1.78,38.4,33.0,5.3,0.23,0.74,Matches
