Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Illia Zabarnyi,ua UKR,DF,20.0,37.0,1,8,2,25.0,0.22,0.05,0.13,0.5,7.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches
Dominic Solanke,eng ENG,FW,25.0,36.9,19,106,35,33.0,2.87,0.95,0.16,0.49,12.2,0,2,3,19.6,17.2,0.16,-0.6,-0.2,Matches
Ryan Christie,sct SCO,MF,28.0,32.3,0,43,13,30.2,1.33,0.4,0.0,0.0,20.0,0,0,0,2.3,2.3,0.05,-2.3,-2.3,Matches
Neto,br BRA,GK,34.0,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Lewis Cook,eng ENG,MF,26.0,31.0,0,12,4,33.3,0.39,0.13,0.0,0.0,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Marcos Senesi,ar ARG,DF,26.0,24.9,4,13,4,30.8,0.52,0.16,0.31,1.0,12.3,0,0,0,2.0,2.0,0.16,2.0,2.0,Matches
Justin Kluivert,nl NED,"MF,FW",24.0,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,17.4,3,0,0,6.2,6.2,0.11,0.8,0.8,Matches
Adam Smith,eng ENG,DF,32.0,23.9,0,2,0,0.0,0.08,0.0,0.0,0.0,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Marcus Tavernier,eng ENG,FW,24.0,23.5,3,53,16,30.2,2.25,0.68,0.06,0.19,20.0,4,0,0,3.9,3.9,0.07,-0.9,-0.9,Matches
Antoine Semenyo,gh GHA,FW,23.0,23.4,8,70,30,42.9,2.99,1.28,0.11,0.27,17.8,0,0,0,4.6,4.6,0.07,3.4,3.4,Matches
Milos Kerkez,hu HUN,DF,19.0,21.9,0,16,5,31.3,0.73,0.23,0.0,0.0,19.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Lloyd Kelly,eng ENG,DF,24.0,17.3,0,4,1,25.0,0.23,0.06,0.0,0.0,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Philip Billing,dk DEN,MF,27.0,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,20.6,7,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches
Max Aarons,eng ENG,DF,23.0,13.7,0,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Dango Ouattara,bf BFA,"FW,DF",21.0,13.7,1,30,7,23.3,2.2,0.51,0.03,0.14,15.2,0,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
Alex Scott,eng ENG,MF,19.0,11.3,1,15,3,20.0,1.33,0.27,0.07,0.33,22.8,2,0,0,0.7,0.7,0.05,0.3,0.3,Matches
Luis Sinisterra,co COL,"FW,MF",24.0,7.8,2,27,8,29.6,3.48,1.03,0.07,0.25,13.9,0,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches
Chris Mepham,wls WAL,DF,25.0,6.9,0,1,1,100.0,0.15,0.15,0.0,0.0,8.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Mark Travers,ie IRL,GK,24.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Joe Rothwell,eng ENG,MF,28.0,4.3,0,2,0,0.0,0.47,0.0,0.0,0.0,22.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Enes Ünal,tr TUR,"FW,MF",26.0,3.6,2,23,8,34.8,6.31,2.2,0.09,0.25,12.5,2,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches
David Brooks,wls WAL,"FW,MF",26.0,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches
Ionuț Radu,ro ROU,GK,26.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jaidon Anthony,eng ENG,FW,23.0,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Tyler Adams,us USA,MF,24.0,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
James Hill,eng ENG,DF,21.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Kieffer Moore,wls WAL,"FW,MF",30.0,1.2,1,6,2,33.3,5.0,1.67,0.17,0.5,12.5,0,0,0,1.5,1.5,0.25,-0.5,-0.5,Matches
Hamed Junior Traorè,ci CIV,MF,23.0,0.5,0,3,2,66.7,5.74,3.83,0.0,0.0,25.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Romain Faivre,fr FRA,"MF,FW",25.0,0.5,0,2,0,0.0,4.39,0.0,0.0,0.0,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Dominic Sadi,eng ENG,FW,19.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,25.7,38.0,52,539,175,32.5,14.18,4.61,0.09,0.29,16.7,18,2,3,55.9,53.6,0.1,-3.9,-3.6,0
Opponent Total,0,0,26.2,38.0,66,527,187,35.5,13.87,4.92,0.11,0.32,16.6,9,6,7,58.1,52.5,0.1,7.9,7.5,0
