Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Mark Flekken,nl NED,GK,30.0,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17,1,Matches
Vitaly Janelt,de GER,"MF,DF",25.0,33.9,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3,Matches
Christian Nørgaard,dk DEN,MF,29.0,27.8,81,50,42,31,8,32,87,36.8,55,48,6,42,54,135,50,0,Matches
Nathan Collins,ie IRL,DF,22.0,29.5,38,20,24,12,2,19,29,65.5,10,46,30,16,44,82,141,4,Matches
Yoane Wissa,cd COD,FW,26.0,27.7,28,16,13,10,5,5,20,25.0,15,24,3,21,9,37,15,0,Matches
Ethan Pinnock,jm JAM,DF,30.0,28.0,35,23,22,13,0,9,20,45.0,11,40,24,16,43,78,170,3,Matches
Mathias Jensen,dk DEN,MF,27.0,24.5,54,32,25,22,7,26,95,27.4,69,41,6,35,23,77,25,1,Matches
Mads Roerslev,dk DEN,DF,24.0,22.1,48,31,34,9,5,27,54,50.0,27,15,3,12,19,67,71,0,Matches
Bryan Mbeumo,cm CMR,FW,23.0,21.8,15,10,6,6,3,5,19,26.3,14,26,2,24,7,22,13,0,Matches
Kristoffer Ajer,no NOR,DF,25.0,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,Matches
Ivan Toney,eng ENG,FW,27.0,16.1,15,5,2,7,6,6,14,42.9,8,5,1,4,10,25,18,0,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",22.0,16.0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0,Matches
Ben Mee,eng ENG,DF,33.0,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1,Matches
Sergio Reguilón,es ESP,DF,26.0,12.4,45,20,26,18,1,24,40,60.0,16,23,6,17,16,61,41,1,Matches
Neal Maupay,fr FRA,FW,26.0,14.7,10,7,4,5,1,3,13,23.1,10,11,0,11,2,12,3,0,Matches
Mathias Jørgensen,dk DEN,DF,33.0,12.1,17,12,15,1,1,11,19,57.9,8,9,5,4,12,29,40,0,Matches
Frank Onyeka,ng NGA,MF,25.0,12.9,37,24,9,23,5,16,29,55.2,13,15,7,8,23,60,17,0,Matches
Aaron Hickey,sct SCO,DF,21.0,7.9,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0,Matches
Mikkel Damsgaard,dk DEN,MF,23.0,9.4,29,17,13,9,7,14,40,35.0,26,23,1,22,11,40,10,1,Matches
Saman Ghoddos,ir IRN,DF,29.0,8.2,28,19,19,7,2,17,31,54.8,14,9,2,7,5,33,12,0,Matches
Yehor Yarmoliuk,ua UKR,MF,19.0,7.6,17,11,6,8,3,7,17,41.2,10,17,4,13,6,23,5,0,Matches
Rico Henry,eng ENG,DF,26.0,4.5,7,5,3,3,1,6,7,85.7,1,8,3,5,5,12,5,1,Matches
Kevin Schade,de GER,"FW,MF",21.0,3.7,3,1,1,2,0,0,5,0.0,5,2,0,2,1,4,4,0,Matches
Shandon Baptiste,gd GRN,MF,25.0,2.5,4,4,2,2,0,1,5,20.0,4,5,1,4,3,7,6,0,Matches
Thomas Strakosha,al ALB,GK,28.0,1.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Michael Olakigbe,eng ENG,"DF,FW",19.0,0.7,3,0,2,1,0,2,4,50.0,2,7,0,7,1,4,0,1,Matches
Josh Dasilva,eng ENG,"DF,FW",24.0,0.3,2,1,0,1,1,0,0,0.0,0,0,0,0,0,2,0,0,Matches
Myles Peart-Harris,eng ENG,"DF,MF",20.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Squad Total,0,0,26.6,38.0,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,0
Opponent Total,0,0,26.1,38.0,540,329,251,183,106,269,512,52.5,243,444,125,319,293,833,916,17,0
