Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Pascal Groß,de GER,"MF,DF",32.0,34.6,3223,2903,309,120,5,16,238,47,133,56,57,3,2774,11,41,Matches
Lewis Dunk,eng ENG,DF,31.0,31.9,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5,Matches
Jan Paul van Hecke,nl NED,DF,23.0,26.3,2415,2344,65,42,3,6,4,6,0,0,0,0,2225,6,4,Matches
Simon Adingra,ci CIV,FW,21.0,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,Matches
Billy Gilmour,sct SCO,MF,22.0,23.6,2107,2036,64,34,9,8,34,1,20,11,9,0,1915,7,15,Matches
Bart Verbruggen,nl NED,GK,20.0,21.0,862,771,90,17,0,0,0,1,0,0,0,0,753,1,1,Matches
Danny Welbeck,eng ENG,"FW,MF",32.0,18.8,515,490,21,1,4,1,3,2,0,0,0,0,423,4,22,Matches
João Pedro,br BRA,"FW,MF",21.0,22.7,818,775,38,2,6,2,29,10,2,0,0,0,659,5,26,Matches
Igor,br BRA,DF,25.0,18.2,1497,1388,105,25,2,3,1,75,0,0,0,0,1398,4,13,Matches
Joël Veltman,nl NED,DF,31.0,17.6,906,786,118,35,2,0,11,83,0,0,0,0,758,2,16,Matches
Jason Steele,eng ENG,GK,32.0,17.0,673,607,64,10,0,1,0,0,0,0,0,0,570,2,0,Matches
Facundo Buonanotte,ar ARG,"FW,MF",18.0,15.2,478,467,11,6,1,1,6,3,1,1,0,0,404,0,9,Matches
Kaoru Mitoma,jp JPN,FW,26.0,16.5,650,639,9,1,3,0,44,7,1,0,0,0,509,2,18,Matches
Evan Ferguson,ie IRL,FW,18.0,15.2,303,269,32,0,1,0,1,0,0,0,0,0,244,2,13,Matches
Carlos Baleba,cm CMR,MF,19.0,14.7,775,767,6,6,0,5,0,0,0,0,0,0,713,2,10,Matches
Pervis Estupiñán,ec ECU,DF,25.0,13.8,962,851,107,22,1,3,65,73,12,6,2,0,809,4,20,Matches
Adam Webster,eng ENG,DF,28.0,12.7,1096,1063,31,23,1,4,1,7,0,0,0,0,997,2,2,Matches
Adam Lallana,eng ENG,"MF,FW",35.0,9.4,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9,Matches
James Milner,eng ENG,"DF,MF",37.0,8.6,585,516,66,7,4,2,29,53,6,3,0,0,492,3,10,Matches
Tariq Lamptey,gh GHA,"DF,FW",22.0,10.2,454,400,51,2,0,0,31,49,0,0,0,0,379,3,9,Matches
Jack Hinshelwood,eng ENG,DF,18.0,9.7,498,431,67,14,0,3,10,53,0,0,0,0,418,0,4,Matches
Solly March,eng ENG,"FW,DF",29.0,6.2,261,222,39,8,1,1,21,19,12,6,2,0,203,0,7,Matches
Jakub Moder,pl POL,"MF,DF",24.0,6.9,304,292,9,2,1,0,6,6,0,0,0,0,243,3,11,Matches
Mahmoud Dahoud,de GER,MF,27.0,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8,Matches
Julio Enciso,py PAR,"MF,FW",19.0,5.3,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5,Matches
Ansu Fati,es ESP,"MF,FW",20.0,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,Matches
Valentín Barco,ar ARG,"DF,FW",19.0,3.4,233,204,28,5,2,1,30,15,8,3,2,2,179,1,5,Matches
Odeluga Offiah,eng ENG,DF,20.0,1.4,80,70,9,0,0,0,3,9,0,0,0,0,63,1,5,Matches
Mark O'Mahony,ie IRL,FW,18.0,0.7,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
Benicio Boaitey,eng ENG,"FW,DF",19.0,0.4,20,19,1,0,0,0,0,1,0,0,0,0,13,0,0,Matches
Squad Total,0,0,25.9,38.0,25029,23334,1611,511,62,76,671,541,206,86,73,5,21810,84,327,0
Opponent Total,0,0,26.3,38.0,16750,15107,1572,466,50,72,526,560,167,98,38,9,13433,71,331,0
