Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Pascal Groß,de GER,"MF,DF",32.0,36,3114.0,87.0,91.1,34.6,34,90.0,32,2,33.0,0,1.25,50.0,50.0,0.0,0.0,2.06,52.1,50.3,1.8,0.05,0.18,Matches
Lewis Dunk,eng ENG,DF,31.0,33,2869.0,87.0,83.9,31.9,33,87.0,29,0,0.0,0,1.3,49.0,52.0,-3.0,-0.09,0.56,46.0,46.4,-0.4,-0.01,-0.31,Matches
Jan Paul van Hecke,nl NED,DF,23.0,28,2369.0,85.0,69.3,26.3,26,90.0,26,2,15.0,4,1.32,40.0,38.0,2.0,0.08,0.85,38.7,37.2,1.5,0.06,0.06,Matches
Simon Adingra,ci CIV,FW,21.0,31,2222.0,72.0,65.0,24.7,25,83.0,10,6,26.0,1,1.19,34.0,38.0,-4.0,-0.16,0.06,33.9,35.9,-2.0,-0.08,-0.34,Matches
Billy Gilmour,sct SCO,MF,22.0,30,2120.0,71.0,62.0,23.6,24,83.0,13,6,22.0,1,1.4,40.0,37.0,3.0,0.13,0.82,40.2,34.5,5.7,0.24,0.54,Matches
Bart Verbruggen,nl NED,GK,20.0,21,1890.0,90.0,55.3,21.0,21,90.0,21,0,0.0,17,1.38,31.0,28.0,3.0,0.14,0.73,28.4,30.5,-2.1,-0.1,-0.3,Matches
Danny Welbeck,eng ENG,"FW,MF",32.0,29,1693.0,58.0,49.5,18.8,21,70.0,4,8,28.0,1,1.21,25.0,28.0,-3.0,-0.16,0.05,30.8,27.6,3.2,0.17,0.27,Matches
João Pedro,br BRA,"FW,MF",21.0,31,2045.0,66.0,59.8,22.7,19,85.0,9,12,36.0,0,1.29,32.0,38.0,-6.0,-0.26,-0.2,36.3,32.0,4.2,0.19,0.37,Matches
Igor,br BRA,DF,25.0,24,1637.0,68.0,47.9,18.2,17,82.0,11,7,34.0,10,1.17,22.0,26.0,-4.0,-0.22,-0.07,26.6,24.3,2.3,0.13,0.17,Matches
Joël Veltman,nl NED,DF,31.0,27,1588.0,59.0,46.4,17.6,17,80.0,13,10,22.0,2,1.3,28.0,32.0,-4.0,-0.23,-0.08,23.6,25.6,-2.0,-0.11,-0.28,Matches
Jason Steele,eng ENG,GK,32.0,17,1530.0,90.0,44.7,17.0,17,90.0,17,0,0.0,21,1.12,24.0,34.0,-10.0,-0.59,-0.73,28.4,24.9,3.5,0.2,0.3,Matches
Facundo Buonanotte,ar ARG,"FW,MF",18.0,27,1364.0,51.0,39.9,15.2,17,65.0,1,10,25.0,6,1.19,18.0,19.0,-1.0,-0.07,0.2,23.2,21.1,2.1,0.14,0.17,Matches
Kaoru Mitoma,jp JPN,FW,26.0,19,1486.0,78.0,43.5,16.5,15,88.0,12,4,42.0,0,1.42,32.0,27.0,5.0,0.3,0.86,29.2,23.8,5.4,0.32,0.51,Matches
