Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Conor Gallagher,eng ENG,MF,23.0,34.8,9,1,1,83,64,1,64,43,52,0,0,0,221,25,28,47.2,Matches
Moisés Caicedo,ec ECU,MF,21.0,31.8,11,0,0,50,49,0,10,37,46,0,1,0,200,30,31,49.2,Matches
Nicolas Jackson,sn SEN,FW,22.0,31.1,10,0,0,28,40,28,5,4,13,0,0,0,98,35,63,35.7,Matches
Cole Palmer,eng ENG,"FW,MF",21.0,29.0,7,0,0,23,26,6,81,20,12,1,0,0,105,1,4,20.0,Matches
Axel Disasi,fr FRA,DF,25.0,28.7,6,0,0,17,17,4,10,18,19,0,0,1,150,72,31,69.9,Matches
Thiago Silva,br BRA,DF,38.0,28.1,4,0,0,10,8,1,4,26,15,0,0,0,140,51,26,66.2,Matches
Enzo Fernández,ar ARG,MF,22.0,24.5,7,0,0,33,31,4,45,17,22,1,1,0,122,21,23,47.7,Matches
Đorđe Petrović,rs SRB,GK,23.0,22.1,2,0,0,0,1,0,0,0,0,0,0,0,17,5,0,100.0,Matches
Raheem Sterling,eng ENG,"FW,MF",28.0,22.0,7,0,0,34,41,10,59,13,10,3,0,0,92,2,14,12.5,Matches
Levi Colwill,eng ENG,DF,20.0,20.0,2,0,0,25,14,4,12,26,30,0,0,0,96,43,20,68.3,Matches
Marc Cucurella,es ESP,DF,25.0,19.8,10,0,0,23,35,1,16,22,38,1,1,1,96,22,17,56.4,Matches
Malo Gusto,fr FRA,DF,20.0,19.5,7,1,0,22,30,6,64,17,27,0,1,0,126,8,19,29.6,Matches
Mykhailo Mudryk,ua UKR,FW,22.0,17.5,5,0,0,22,27,1,78,9,12,2,0,0,50,7,13,35.0,Matches
Robert Sánchez,es ESP,GK,25.0,15.9,2,0,0,0,1,0,0,0,0,0,0,0,20,3,0,100.0,Matches
Benoît Badiashile,fr FRA,DF,22.0,14.9,3,0,0,17,6,1,2,18,15,0,1,1,82,28,22,56.0,Matches
Noni Madueke,eng ENG,FW,21.0,11.7,2,0,0,8,19,3,22,4,10,2,0,0,54,7,10,41.2,Matches
Trevoh Chalobah,eng ENG,DF,24.0,10.6,1,0,0,3,3,0,0,8,12,0,0,0,46,19,22,46.3,Matches
Ben Chilwell,eng ENG,DF,26.0,8.4,5,0,0,11,12,4,43,4,10,0,0,0,33,12,15,44.4,Matches
Armando Broja,al ALB,FW,21.0,5.0,0,0,0,4,8,6,1,0,0,1,0,0,13,4,14,22.2,Matches
Reece James,eng ENG,DF,23.0,4.7,2,2,1,4,5,2,28,3,9,0,0,0,28,8,5,61.5,Matches
Lesley Ugochukwu,fr FRA,MF,19.0,3.3,2,0,0,4,2,0,0,1,10,0,0,0,12,9,2,81.8,Matches
Christopher Nkunku,fr FRA,"FW,MF",25.0,4.9,0,0,0,8,7,3,4,2,4,0,0,0,12,10,6,62.5,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",19.0,2.5,2,0,0,3,2,0,1,0,4,0,0,0,11,1,3,25.0,Matches
Alfie Gilchrist,eng ENG,DF,19.0,2.3,1,0,0,4,0,0,1,3,0,0,0,0,9,2,4,33.3,Matches
Ian Maatsen,nl NED,"FW,MF",21.0,2.3,1,0,0,5,1,0,8,3,2,0,0,0,11,3,5,37.5,Matches
Cesare Casadei,it ITA,"FW,MF",20.0,0.9,0,0,0,4,1,0,0,0,3,0,0,0,1,12,4,75.0,Matches
Roméo Lavia,be BEL,MF,19.0,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Deivid Washington,br BRA,"DF,FW",18.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,Matches
Mason Burstow,eng ENG,FW,19.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Joshua Acheampong,eng ENG,DF,17.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Alex Matos,eng ENG,MF,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Jimi Tauriainen,eng ENG,FW,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,24.2,38.0,109,4,2,446,451,85,558,298,376,11,5,3,1846,440,402,52.3,0
Opponent Total,0,0,26.3,38.0,100,4,3,466,430,70,683,374,438,5,12,1,1808,402,440,47.7,0
