Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Joachim Andersen,dk DEN,DF,27.0,37.9,1731,2209,78.4,37874,14700,488,559,87.3,950,1041,91.3,281,547,51.4,3,2.8,2.3,0.2,20,171,17,8,147,Matches
Tyrick Mitchell,eng ENG,"DF,MF",23.0,35.6,1177,1627,72.3,18588,7927,605,718,84.3,486,654,74.3,63,142,44.4,3,2.8,2.4,0.2,24,74,29,12,94,Matches
Jordan Ayew,gh GHA,"FW,MF",31.0,28.3,681,920,74.0,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,7,4.2,2.7,2.8,25,43,26,10,63,Matches
Jefferson Lerma,co COL,"MF,DF",28.0,26.7,1018,1250,81.4,15825,5095,554,625,88.6,371,448,82.8,65,114,57.0,1,2.2,2.0,-1.2,24,109,20,3,106,Matches
Jean-Philippe Mateta,fr FRA,FW,26.0,25.4,309,433,71.4,4043,785,195,245,79.6,75,112,67.0,13,14,92.9,5,3.1,1.3,1.9,32,11,14,4,25,Matches
Eberechi Eze,eng ENG,"MF,FW",25.0,22.8,700,909,77.0,11150,3226,353,405,87.2,253,301,84.1,61,134,45.5,4,5.2,5.6,-1.2,54,48,45,7,93,Matches
Chris Richards,us USA,"DF,MF",23.0,23.3,778,942,82.6,13337,4341,362,413,87.7,341,389,87.7,58,100,58.0,1,0.4,0.2,0.6,6,41,2,0,43,Matches
Marc Guéhi,eng ENG,DF,23.0,22.5,1138,1309,86.9,22770,7962,363,403,90.1,636,673,94.5,130,212,61.3,1,0.6,1.0,0.4,7,90,5,0,67,Matches
Joel Ward,eng ENG,DF,33.0,22.0,715,944,75.7,11829,5634,358,396,90.4,301,372,80.9,46,134,34.3,1,0.2,0.3,0.8,3,68,7,3,66,Matches
Will Hughes,eng ENG,MF,28.0,21.0,731,878,83.3,10742,3108,389,436,89.2,281,317,88.6,27,62,43.5,1,1.1,1.8,-0.1,21,71,16,2,76,Matches
Sam Johnstone,eng ENG,GK,30.0,20.0,343,599,57.3,11568,8793,45,46,97.8,143,147,97.3,155,401,38.7,0,0.0,0.0,0.0,0,13,0,0,0,Matches
Dean Henderson,eng ENG,GK,26.0,18.0,280,485,57.7,7596,5485,75,78,96.2,120,123,97.6,81,277,29.2,0,0.0,0.0,0.0,0,9,1,0,0,Matches
Odsonne Édouard,fr FRA,"FW,MF",25.0,17.3,249,350,71.1,3106,704,164,207,79.2,61,80,76.3,7,11,63.6,0,1.2,1.1,-1.2,18,12,15,1,36,Matches
Jeffrey Schlupp,gh GHA,"FW,MF",30.0,15.0,247,334,74.0,3498,903,146,182,80.2,88,106,83.0,7,25,28.0,2,2.3,1.4,-0.3,19,17,9,2,33,Matches
Daniel Muñoz,co COL,"DF,MF",27.0,16.0,561,720,77.9,7556,2865,365,417,87.5,164,228,71.9,14,35,40.0,4,2.4,1.3,1.6,21,25,4,0,38,Matches
Adam Wharton,eng ENG,MF,19.0,14.4,464,596,77.9,8091,2486,209,244,85.7,199,234,85.0,45,80,56.3,3,2.4,1.5,0.6,21,51,16,3,79,Matches
Nathaniel Clyne,eng ENG,DF,32.0,14.9,495,600,82.5,7555,3021,266,288,92.4,191,224,85.3,28,54,51.9,0,0.2,0.2,-0.2,3,33,4,2,33,Matches
Michael Olise,fr FRA,"FW,MF",21.0,14.2,540,721,74.9,8557,2634,300,339,88.5,154,195,79.0,55,116,47.4,6,5.8,5.0,0.2,36,43,34,3,78,Matches
Cheick Doucouré,ml MLI,MF,23.0,10.2,367,422,87.0,5725,1849,200,222,90.1,146,165,88.5,18,24,75.0,0,0.7,0.8,-0.7,10,39,5,0,49,Matches
Jaïro Riedewald,nl NED,"MF,FW",26.0,2.6,87,113,77.0,1422,331,37,42,88.1,40,46,87.0,5,13,38.5,0,0.0,0.1,0.0,0,5,2,0,10,Matches
Matheus França,br BRA,"MF,FW",19.0,2.6,51,79,64.6,910,256,20,29,69.0,24,29,82.8,5,13,38.5,1,0.9,0.5,0.1,6,4,2,0,8,Matches
Naouirou Ahamada,fr FRA,"MF,FW",21.0,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,Matches
David Ozoh,eng ENG,"MF,DF",18.0,1.7,48,51,94.1,695,112,21,22,95.5,25,25,100.0,0,0,0.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
Jesurun Rak Sakyi,eng ENG,"MF,FW",20.0,1.5,37,50,74.0,535,79,24,28,85.7,11,16,68.8,2,3,66.7,0,0.2,0.1,-0.2,2,2,0,0,2,Matches
James Tomkins,eng ENG,DF,34.0,0.1,18,21,85.7,362,142,8,9,88.9,6,8,75.0,4,4,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Remi Matthews,eng ENG,GK,29.0,0.0,0,5,0.0,0,0,0,0,0.0,0,0,0.0,0,5,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,0,0,26.7,38.0,12915,16754,77.1,225542,84922,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,43,38.7,31.5,4.3,353,995,273,60,1176,0
Opponent Total,0,0,26.3,38.0,19197,23229,82.6,324522,105926,9181,10206,90.0,8090,9172,88.2,1479,2729,54.2,46,40.3,37.3,5.7,345,1440,360,92,1713,0
