Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Bernd Leno,de GER,GK,31.0,38.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,14,1,Matches
Antonee Robinson,us USA,DF,25.0,36.3,93,58,60,26,7,52,110,47.3,58,56,8,48,80,173,117,3,Matches
Andreas Pereira,br BRA,MF,27.0,29.0,25,12,4,12,9,11,41,26.8,30,16,2,14,4,29,12,0,Matches
João Palhinha,pt POR,MF,28.0,30.0,152,75,80,60,12,103,152,67.8,49,57,9,48,46,198,58,0,Matches
Timothy Castagne,be BEL,DF,27.0,29.3,49,24,23,16,10,26,44,59.1,18,38,10,28,38,87,69,1,Matches
Calvin Bassey,ng NGA,DF,23.0,25.6,49,29,33,15,1,21,29,72.4,8,32,11,21,28,77,84,4,Matches
Alex Iwobi,ng NGA,"FW,MF",27.0,24.4,29,18,12,15,2,12,25,48.0,13,16,0,16,14,43,9,0,Matches
Willian,br BRA,FW,34.0,22.8,18,11,6,7,5,3,21,14.3,18,13,0,13,9,27,12,1,Matches
Tosin Adarabioyo,eng ENG,DF,25.0,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,Matches
Rodrigo Muniz,br BRA,FW,22.0,17.7,7,3,1,5,1,1,6,16.7,5,9,3,6,6,13,20,0,Matches
Raúl Jiménez,mx MEX,FW,32.0,15.5,18,12,4,8,6,7,20,35.0,13,11,3,8,4,22,13,0,Matches
Tim Ream,us USA,DF,35.0,16.7,20,9,13,5,2,9,18,50.0,9,23,15,8,25,45,61,2,Matches
Bobby Reid,jm JAM,FW,30.0,15.8,22,14,5,15,2,4,16,25.0,12,24,2,22,5,27,14,0,Matches
Harry Wilson,wls WAL,FW,26.0,18.0,21,14,9,8,4,11,28,39.3,17,27,3,24,10,31,12,0,Matches
Issa Diop,fr FRA,DF,26.0,15.8,30,16,23,5,2,15,20,75.0,5,28,19,9,17,47,80,1,Matches
Harrison Reed,eng ENG,MF,28.0,14.7,29,18,9,17,3,13,31,41.9,18,19,9,10,11,40,24,0,Matches
Tom Cairney,sct SCO,MF,32.0,16.5,24,16,10,12,2,13,25,52.0,12,16,4,12,13,37,6,0,Matches
Saša Lukić,rs SRB,MF,26.0,12.5,33,19,9,17,7,18,39,46.2,21,18,5,13,16,49,19,1,Matches
Kenny Tete,nl NED,DF,27.0,9.6,27,17,19,6,2,11,19,57.9,8,10,3,7,16,43,35,0,Matches
Carlos Vinícius,br BRA,FW,28.0,3.5,3,2,0,1,2,0,4,0.0,4,4,0,4,0,3,1,0,Matches
Adama Traoré,es ESP,"FW,MF",27.0,4.2,4,3,1,2,1,3,6,50.0,3,2,0,2,1,5,2,0,Matches
Armando Broja,al ALB,FW,21.0,1.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,Matches
Luke Harris,wls WAL,MF,18.0,0.8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,0.8,4,2,1,3,0,1,2,50.0,1,1,0,1,3,7,2,0,Matches
Aleksandar Mitrović,rs SRB,FW,28.0,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.4,38.0,679,384,339,260,80,346,678,51.0,332,437,117,320,371,1050,744,14,0
Opponent Total,0,0,26.1,38.0,557,333,222,237,98,232,503,46.1,271,505,124,381,321,878,815,16,0
