Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Bernd Leno,de GER,GK,31.0,38.0,1657,1275,1645,12,0,0,1657,0,0,0.0,0,0.0,1031,4482,2432,0,0,0,1,0,942,0,Matches
Antonee Robinson,us USA,DF,25.0,36.3,2536,165,930,977,660,63,2536,81,37,45.7,35,43.2,1267,7547,4004,99,70,9,47,16,1376,194,Matches
Andreas Pereira,br BRA,MF,27.0,29.0,1516,20,161,662,703,64,1516,41,19,46.3,22,53.7,829,4460,2016,56,51,13,49,41,1013,125,Matches
João Palhinha,pt POR,MF,28.0,30.0,1760,120,569,967,243,41,1760,22,11,50.0,9,40.9,802,2836,1054,8,12,0,29,26,1015,14,Matches
Timothy Castagne,be BEL,DF,27.0,29.3,1937,116,697,831,418,58,1937,30,17,56.7,10,33.3,879,3780,1855,48,25,6,25,10,1121,113,Matches
Calvin Bassey,ng NGA,DF,23.0,25.6,1901,305,1054,830,37,9,1901,14,11,78.6,2,14.3,1179,6037,3035,15,11,2,12,8,1291,4,Matches
Alex Iwobi,ng NGA,"FW,MF",27.0,24.4,1282,19,190,585,537,81,1282,72,37,51.4,32,44.4,866,5856,2979,109,80,27,50,28,1004,175,Matches
Willian,br BRA,FW,34.0,22.8,1333,17,160,519,671,73,1331,63,29,46.0,25,39.7,902,5906,2943,92,71,28,35,26,1040,181,Matches
Tosin Adarabioyo,eng ENG,DF,25.0,18.0,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5,Matches
Rodrigo Muniz,br BRA,FW,22.0,17.7,462,30,45,201,220,118,462,20,5,25.0,13,65.0,257,788,258,8,4,4,54,34,343,76,Matches
Raúl Jiménez,mx MEX,FW,32.0,15.5,567,22,58,269,240,67,567,24,10,41.7,12,50.0,317,1407,453,11,14,5,44,32,442,87,Matches
Tim Ream,us USA,DF,35.0,16.7,1206,160,585,600,30,7,1206,7,6,85.7,1,14.3,739,4157,2723,11,6,2,6,3,811,3,Matches
Bobby Reid,jm JAM,FW,30.0,15.8,671,23,98,301,277,55,671,25,8,32.0,12,48.0,389,1875,900,35,18,11,33,10,475,95,Matches
Harry Wilson,wls WAL,FW,26.0,18.0,828,24,118,352,371,53,828,34,15,44.1,16,47.1,505,3258,1513,41,25,17,32,12,606,130,Matches
Issa Diop,fr FRA,DF,26.0,15.8,1258,168,669,568,24,7,1258,1,1,100.0,0,0.0,794,4396,2661,11,8,0,3,5,884,1,Matches
Harrison Reed,eng ENG,MF,28.0,14.7,883,34,214,488,182,10,883,10,5,50.0,5,50.0,449,1715,590,10,10,1,19,13,603,40,Matches
Tom Cairney,sct SCO,MF,32.0,16.5,1398,27,243,761,422,31,1398,33,26,78.8,5,15.2,931,4502,2261,35,42,6,29,24,1128,72,Matches
Saša Lukić,rs SRB,MF,26.0,12.5,625,36,167,361,109,23,625,8,5,62.5,3,37.5,342,1634,776,12,12,1,11,10,374,27,Matches
Kenny Tete,nl NED,DF,27.0,9.6,647,40,215,278,161,11,647,20,9,45.0,10,50.0,303,1400,650,20,15,2,10,3,366,38,Matches
Carlos Vinícius,br BRA,FW,28.0,3.5,102,1,11,49,45,15,102,8,2,25.0,6,75.0,66,322,91,3,4,2,11,7,80,13,Matches
Adama Traoré,es ESP,"FW,MF",27.0,4.2,194,4,28,51,118,24,194,17,9,52.9,6,35.3,134,1227,676,29,13,13,13,9,154,48,Matches
Armando Broja,al ALB,FW,21.0,1.0,43,0,5,15,23,4,43,6,2,33.3,4,66.7,23,162,62,2,2,0,3,4,37,7,Matches
Luke Harris,wls WAL,MF,18.0,0.8,19,1,8,6,5,1,19,2,0,0.0,2,100.0,9,39,6,0,1,0,0,0,11,0,Matches
Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,0.8,91,4,35,39,18,1,91,6,3,50.0,2,33.3,48,300,163,5,2,1,0,0,50,4,Matches
Aleksandar Mitrović,rs SRB,FW,28.0,0.4,12,0,1,6,6,4,12,3,3,100.0,0,0.0,5,29,15,0,0,0,0,0,8,0,Matches
Squad Total,0,0,28.4,38.0,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,16183,1452,0
Opponent Total,0,0,26.1,38.0,24273,2541,7724,10902,5864,1009,24265,758,332,43.8,346,45.6,14394,75437,39616,684,485,212,534,333,16060,1518,0
