Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Thomas Kaminski,be BEL,GK,30.0,38,38,3405.0,37.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alfie Doughty,eng ENG,DF,23.0,37,34,2925.0,32.5,2.0,8.0,10.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,6.3,7.6,94.0,106.0,164.0,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,Matches
Carlton Morris,eng ENG,"FW,MF",27.0,38,32,2862.0,31.8,11.0,4.0,15.0,6.0,5.0,5.0,4.0,0.0,11.4,7.5,2.8,10.2,37.0,56.0,120.0,0.35,0.13,0.47,0.19,0.31,0.36,0.09,0.45,0.23,0.32,Matches
Ross Barkley,eng ENG,MF,29.0,32,30,2618.0,29.1,5.0,4.0,9.0,5.0,0.0,0.0,6.0,0.0,4.1,4.1,3.7,7.9,48.0,163.0,39.0,0.17,0.14,0.31,0.17,0.31,0.14,0.13,0.27,0.14,0.27,Matches
Teden Mengi,eng ENG,DF,21.0,30,28,2469.0,27.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,0.9,15.0,54.0,1.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches
Gabriel Osho,ng NGA,DF,24.0,21,21,1846.0,20.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,0.1,1.2,10.0,37.0,4.0,0.1,0.0,0.1,0.1,0.1,0.05,0.01,0.06,0.05,0.06,Matches
Issa Kaboré,bf BFA,DF,22.0,24,21,1729.0,19.2,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,2.1,2.3,60.0,54.0,85.0,0.0,0.1,0.1,0.0,0.1,0.01,0.11,0.12,0.01,0.12,Matches
Amari'i Bell,jm JAM,DF,29.0,21,21,1720.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,32.0,76.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
Chiedozie Ogbene,ie IRL,"MF,DF",26.0,30,20,1995.0,22.2,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,4.2,4.2,3.1,7.4,127.0,53.0,150.0,0.18,0.05,0.23,0.18,0.23,0.19,0.14,0.33,0.19,0.33,Matches
Tahith Chong,nl NED,"MF,FW",23.0,33,20,1982.0,22.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,2.7,2.7,0.5,3.2,57.0,72.0,101.0,0.18,0.0,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15,Matches
