Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Thomas Kaminski,be BEL,GK,30.0,37.8,1580,1129,1553,30,1,0,1580,2,2,100.0,0,0.0,805,4663,2432,0,0,0,1,0,657,0,Matches
Alfie Doughty,eng ENG,DF,23.0,32.5,1998,102,541,665,818,76,1998,67,33,49.3,24,35.8,897,5522,2794,94,52,28,51,13,968,164,Matches
Carlton Morris,eng ENG,"FW,MF",27.0,31.8,1071,63,123,501,457,136,1066,55,31,56.4,20,36.4,548,2855,1152,37,32,18,54,53,799,120,Matches
Ross Barkley,eng ENG,MF,29.0,29.1,1778,73,374,1012,430,39,1778,104,66,63.5,34,32.7,1006,6416,2807,48,49,4,27,56,1115,39,Matches
Teden Mengi,eng ENG,DF,21.0,27.4,1288,218,673,554,70,24,1288,11,7,63.6,3,27.3,596,3222,1660,15,8,2,22,5,616,1,Matches
Gabriel Osho,ng NGA,DF,24.0,20.5,968,179,535,384,60,20,968,12,7,58.3,5,41.7,461,2186,1100,10,9,1,12,10,482,4,Matches
Issa Kaboré,bf BFA,DF,22.0,19.2,985,79,329,386,283,18,985,42,18,42.9,18,42.9,455,3134,1558,60,33,10,25,8,449,85,Matches
Amari'i Bell,jm JAM,DF,29.0,19.1,1070,101,480,486,117,5,1070,27,10,37.0,15,55.6,584,3640,2020,32,25,1,18,5,607,10,Matches
Chiedozie Ogbene,ie IRL,"MF,DF",26.0,22.2,1066,47,201,385,512,88,1066,121,61,50.4,44,36.4,650,6070,3710,127,74,45,59,21,660,150,Matches
Tahith Chong,nl NED,"MF,FW",23.0,22.0,819,30,160,351,324,52,819,72,25,34.7,32,44.4,520,3559,1880,57,47,9,59,40,560,101,Matches
Reece Burke,eng ENG,DF,26.0,18.4,929,98,378,440,117,20,929,8,4,50.0,2,25.0,455,2080,1210,11,8,0,18,5,508,14,Matches
Elijah Adebayo,eng ENG,FW,25.0,15.8,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,Matches
Albert Sambi Lokonga,be BEL,MF,23.0,14.5,899,54,223,513,170,11,899,22,11,50.0,7,31.8,529,3027,1707,29,19,2,12,11,597,13,Matches
Jordan Clark,eng ENG,MF,29.0,14.5,694,36,130,339,234,42,694,42,12,28.6,24,57.1,385,2122,1004,21,20,7,25,21,439,39,Matches
Andros Townsend,eng ENG,"MF,FW",32.0,13.4,582,21,89,223,280,21,582,34,16,47.1,14,41.2,347,2425,1099,47,31,7,35,26,366,71,Matches
Tom Lockyer,wls WAL,DF,28.0,13.0,586,108,316,242,32,18,586,6,4,66.7,2,33.3,269,1504,883,6,6,1,6,2,247,2,Matches
Marvelous Nakamba,zw ZIM,MF,29.0,12.6,546,30,133,320,101,3,546,10,3,30.0,5,50.0,224,1064,344,1,8,0,10,4,251,5,Matches
Jacob Brown,sct SCO,"MF,FW",25.0,11.3,427,30,103,152,181,50,427,25,6,24.0,16,64.0,200,1112,504,25,14,9,24,25,237,53,Matches
Pelly Ruddock Mpanzu,cd COD,MF,30.0,12.2,481,30,114,240,130,15,481,16,9,56.3,6,37.5,235,961,378,10,7,5,12,16,270,15,Matches
Daiki Hashioka,jp JPN,DF,24.0,6.6,355,51,165,137,55,2,355,2,1,50.0,1,50.0,184,799,303,3,3,0,8,6,206,16,Matches
Ryan John Giles,eng ENG,"DF,MF",23.0,5.6,273,20,81,74,119,4,273,8,4,50.0,3,37.5,116,517,241,9,5,2,7,1,129,30,Matches
Fred Onyedinma,eng ENG,"DF,MF",26.0,4.5,198,13,55,69,76,16,198,11,2,18.2,8,72.7,85,514,219,9,6,4,12,10,90,21,Matches
Mads Juel Andersen,dk DEN,DF,25.0,4.4,182,56,118,57,7,4,182,1,0,0.0,1,100.0,58,301,112,0,0,0,6,0,64,1,Matches
Cauley Woodrow,eng ENG,"FW,MF",28.0,4.7,223,18,42,85,99,21,223,3,2,66.7,1,33.3,117,527,204,7,7,1,9,8,156,22,Matches
Luke Berry,eng ENG,"MF,DF",31.0,3.6,143,5,28,70,46,13,143,3,2,66.7,0,0.0,56,141,30,1,2,0,5,4,70,7,Matches
Joseph Johnson,eng ENG,DF,17.0,0.9,36,4,18,16,2,0,36,0,0,0.0,0,0.0,18,75,9,0,0,0,0,1,26,1,Matches
James Shea,eng ENG,GK,32.0,0.2,11,8,11,0,0,0,11,0,0,0.0,0,0.0,3,29,26,0,0,0,0,0,3,0,Matches
Zack Nelson,eng ENG,"MF,DF",18.0,0.1,6,0,3,3,0,0,6,0,0,0.0,0,0.0,2,9,2,0,0,0,1,0,2,0,Matches
Squad Total,0,0,26.7,38.0,19656,2630,7028,7906,4964,780,19651,771,354,45.9,331,42.9,10070,59990,29813,675,480,169,580,385,10911,1094,0
Opponent Total,0,0,26.5,38.0,25426,2537,8035,10854,6765,1207,25422,697,317,45.5,299,42.9,14872,77087,38192,723,513,264,596,355,16771,1485,0
