Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Rodri,es ESP,MF,27.0,34,2931.0,86.0,85.7,32.6,34,86.0,27,0,0.0,1,2.59,87.0,26.0,61.0,1.87,1.69,72.0,28.7,43.3,1.33,1.02,Matches
Phil Foden,eng ENG,"FW,MF",23.0,35,2857.0,82.0,83.5,31.7,33,85.0,19,2,25.0,2,2.34,75.0,27.0,48.0,1.51,-0.73,65.4,28.8,36.6,1.15,-0.18,Matches
Ederson,br BRA,GK,29.0,33,2785.0,84.0,81.4,30.9,33,84.0,29,0,0.0,2,2.36,78.0,27.0,51.0,1.65,0.09,66.8,28.0,38.7,1.25,0.37,Matches
Julián Álvarez,ar ARG,"MF,FW",23.0,36,2647.0,74.0,77.4,29.4,31,83.0,15,5,13.0,2,2.42,76.0,24.0,52.0,1.77,0.6,61.4,25.9,35.5,1.21,0.11,Matches
Kyle Walker,eng ENG,DF,33.0,32,2767.0,86.0,80.9,30.7,30,89.0,27,2,52.0,3,2.34,78.0,29.0,49.0,1.59,-0.2,65.1,29.5,35.6,1.16,-0.12,Matches
Bernardo Silva,pt POR,"MF,FW",28.0,33,2578.0,78.0,75.4,28.6,29,87.0,22,4,14.0,2,2.39,71.0,26.0,45.0,1.57,-0.25,61.2,27.5,33.7,1.18,-0.03,Matches
Erling Haaland,no NOR,FW,23.0,31,2552.0,82.0,74.6,28.4,29,86.0,20,2,25.0,1,2.32,65.0,25.0,40.0,1.41,-0.87,59.5,26.2,33.4,1.18,-0.02,Matches
Rúben Dias,pt POR,DF,26.0,30,2559.0,85.0,74.8,28.4,28,90.0,28,2,20.0,5,2.3,65.0,28.0,37.0,1.3,-1.31,62.2,25.4,36.8,1.3,0.45,Matches
Manuel Akanji,ch SUI,"DF,MF",28.0,30,2511.0,84.0,73.4,27.9,28,88.0,25,2,23.0,4,2.4,72.0,23.0,49.0,1.76,0.47,57.1,26.8,30.4,1.09,-0.35,Matches
Joško Gvardiol,hr CRO,DF,21.0,28,2328.0,83.0,68.1,25.9,26,87.0,22,2,30.0,7,2.5,68.0,23.0,45.0,1.74,0.34,57.4,24.8,32.7,1.26,0.25,Matches
