Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
André Onana,cm CMR,GK,27.0,38.0,5,0,0,1,4,0,0,0,0,0,1,0,44,14,2,87.5,Matches
Diogo Dalot,pt POR,DF,24.0,35.3,6,1,1,45,14,2,80,37,51,0,1,0,195,32,25,56.1,Matches
Bruno Fernandes,pt POR,"MF,FW",28.0,34.6,9,0,0,41,28,13,223,27,38,0,0,0,200,21,25,45.7,Matches
Alejandro Garnacho,ar ARG,FW,19.0,28.5,4,0,0,20,54,15,58,18,15,2,0,0,106,6,25,19.4,Matches
Marcus Rashford,eng ENG,FW,25.0,25.2,2,0,0,13,21,12,35,4,12,1,0,0,81,15,26,36.6,Matches
Rasmus Højlund,dk DEN,FW,20.0,24.0,2,0,0,20,30,15,6,1,7,0,1,0,60,25,65,27.8,Matches
Casemiro,br BRA,"MF,DF",31.0,22.0,7,0,0,30,10,6,13,18,56,0,1,0,133,42,22,65.6,Matches
Kobbie Mainoo,eng ENG,MF,18.0,21.4,3,0,0,15,23,0,6,22,27,0,0,0,96,19,26,42.2,Matches
Aaron Wan-Bissaka,eng ENG,DF,25.0,19.8,4,0,0,17,9,0,14,41,25,0,1,0,94,21,19,52.5,Matches
Scott McTominay,sct SCO,"MF,FW",26.0,21.1,2,0,0,29,21,6,4,14,25,0,1,0,91,36,43,45.6,Matches
Harry Maguire,eng ENG,DF,30.0,18.4,4,0,0,21,10,6,3,25,17,1,0,0,78,69,19,78.4,Matches
Raphaël Varane,fr FRA,DF,30.0,15.3,2,0,0,8,3,2,0,15,11,0,0,0,67,21,5,80.8,Matches
Jonny Evans,nir NIR,DF,35.0,15.5,2,0,0,17,13,0,0,23,14,0,0,0,70,36,18,66.7,Matches
Antony,br BRA,FW,23.0,14.7,5,0,0,19,32,2,16,12,21,1,1,0,96,2,21,8.7,Matches
Victor Lindelöf,se SWE,DF,29.0,14.8,2,0,0,15,2,3,1,12,10,0,0,0,75,17,24,41.5,Matches
Christian Eriksen,dk DEN,MF,31.0,12.7,1,0,0,7,3,1,43,4,13,0,0,0,86,1,7,12.5,Matches
Luke Shaw,eng ENG,DF,28.0,10.7,6,0,0,14,3,0,33,6,8,0,0,0,59,13,10,56.5,Matches
Sofyan Amrabat,ma MAR,"MF,DF",26.0,10.4,6,0,0,24,10,0,7,8,16,0,0,0,60,5,6,45.5,Matches
Lisandro Martínez,ar ARG,DF,25.0,7.2,3,0,0,6,3,0,2,5,8,0,0,1,33,4,5,44.4,Matches
Mason Mount,eng ENG,"MF,FW",24.0,5.7,2,0,0,10,9,0,14,6,14,0,0,0,37,6,9,40.0,Matches
Anthony Martial,fr FRA,FW,27.0,5.0,0,0,0,3,6,3,0,0,1,1,0,0,9,8,18,30.8,Matches
Sergio Reguilón,es ESP,DF,26.0,4.6,3,0,0,4,11,3,29,5,8,0,0,0,21,5,9,35.7,Matches
Amad Diallo,ci CIV,"FW,MF",21.0,4.3,1,0,0,5,4,0,1,1,3,0,0,0,14,4,6,40.0,Matches
Willy Kambwala,fr FRA,DF,18.0,3.7,1,0,0,4,2,0,0,4,1,0,0,0,12,6,2,75.0,Matches
Facundo Pellistri,uy URU,"FW,MF",21.0,1.9,0,0,0,4,6,0,4,1,3,0,0,0,11,6,4,60.0,Matches
Hannibal Mejbri,tn TUN,"MF,FW",20.0,1.5,1,0,0,5,6,1,1,0,3,0,0,0,10,2,4,33.3,Matches
Omari Forson,eng ENG,FW,19.0,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
Jadon Sancho,eng ENG,"FW,MF",23.0,0.9,0,0,0,0,2,1,1,1,0,0,0,0,10,0,3,0.0,Matches
Ethan Wheatley,eng ENG,FW,17.0,0.2,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,0.0,Matches
Donny van de Beek,nl NED,DF,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Daniel Gore,eng ENG,MF,18.0,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.1,38.0,83,1,1,401,340,91,594,313,409,6,7,1,1851,436,450,49.2,0
Opponent Total,0,0,26.2,38.0,85,1,0,353,389,52,780,378,373,6,7,0,1889,450,436,50.8,0
