D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,17:30,Premier League,Matchweek 1,Sat,Home,W,5,1,Aston Villa,3.3,1.8,52,52207,Kieran Trippier,4-3-3,Andy Madley,Match Report,0
2023-08-19,20:00,Premier League,Matchweek 2,Sat,Away,L,0,1,Manchester City,0.3,1.0,41,53419,Kieran Trippier,4-3-3,Robert Jones,Match Report,0
2023-08-27,16:30,Premier League,Matchweek 3,Sun,Home,L,1,2,Liverpool,2.0,0.9,59,52214,Kieran Trippier,4-3-3,John Brooks,Match Report,0
2023-09-02,17:30,Premier League,Matchweek 4,Sat,Away,L,1,3,Brighton,1.2,1.3,44,31620,Kieran Trippier,4-3-3,Stuart Attwell,Match Report,0
2023-09-16,17:30,Premier League,Matchweek 5,Sat,Home,W,1,0,Brentford,1.4,0.5,56,51670,Kieran Trippier,4-3-3,Craig Pawson,Match Report,0
2023-09-19,18:45,Champions Lg,Group stage,Tue,Away,D,0,0,it Milan,0.3,1.9,47,65695,Kieran Trippier,4-3-3,José Sánchez,Match Report,0
2023-09-24,16:30,Premier League,Matchweek 6,Sun,Away,W,8,0,Sheffield Utd,3.9,0.9,58,31127,Kieran Trippier,4-3-3,Stuart Attwell,Match Report,0
2023-09-27,20:00,EFL Cup,Third round,Wed,Home,W,1,0,Manchester City,0.0,0.0,33,51692,Jamaal Lascelles,4-3-3,Chris Kavanagh,Match Report,0
2023-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Burnley,3.1,0.6,53,51687,Jamaal Lascelles,4-3-3,Thomas Bramall,Match Report,0
2023-10-04,20:00,Champions Lg,Group stage,Wed,Home,W,4,1,fr Paris S-G,0.9,0.9,27,52009,Jamaal Lascelles,4-3-3,István Kovács,Match Report,0
2023-10-08,14:00,Premier League,Matchweek 8,Sun,Away,D,2,2,West Ham,2.0,1.2,64,62473,Jamaal Lascelles,4-3-3,Peter Bankes,Match Report,0
2023-10-21,15:00,Premier League,Matchweek 9,Sat,Home,W,4,0,Crystal Palace,2.4,1.2,59,52189,Jamaal Lascelles,4-3-3,Tim Robinson,Match Report,0
2023-10-25,20:00,Champions Lg,Group stage,Wed,Home,L,0,1,de Dortmund,1.1,1.8,59,52024,Jamaal Lascelles,4-3-3,Artur Soares Dias,Match Report,0
2023-10-28,17:30,Premier League,Matchweek 10,Sat,Away,D,2,2,Wolves,2.2,0.9,57,31584,Jamaal Lascelles,4-3-3,Anthony Taylor,Match Report,0
2023-11-01,20:15,EFL Cup,Fourth round,Wed,Away,W,3,0,Manchester Utd,0.0,0.0,38,72484,Sean Longstaff,4-3-3,Robert Jones,Match Report,0
2023-11-04,17:30,Premier League,Matchweek 11,Sat,Home,W,1,0,Arsenal,1.0,0.6,42,52194,Jamaal Lascelles,4-3-3,Stuart Attwell,Match Report,0
2023-11-07,18:45,Champions Lg,Group stage,Tue,Away,L,0,2,de Dortmund,0.6,1.4,54,81365,Jamaal Lascelles,4-3-3,Alejandro Hernández,Match Report,0
2023-11-11,17:30,Premier League,Matchweek 12,Sat,Away,L,0,2,Bournemouth,0.5,2.4,52,11201,Jamaal Lascelles,4-3-3,Chris Kavanagh,Match Report,0
2023-11-25,15:00,Premier League,Matchweek 13,Sat,Home,W,4,1,Chelsea,2.4,0.5,54,52227,Jamaal Lascelles,4-3-3,Simon Hooper,Match Report,0
2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,D,1,1,fr Paris S-G,1.3,4.4,28,46435,Jamaal Lascelles,4-3-3,Szymon Marciniak,Match Report,0
2023-12-02,20:00,Premier League,Matchweek 14,Sat,Home,W,1,0,Manchester Utd,2.4,0.5,58,52214,Jamaal Lascelles,4-3-3,Robert Jones,Match Report,0
2023-12-07,19:30,Premier League,Matchweek 15,Thu,Away,L,0,3,Everton,1.5,3.3,62,38198,Jamaal Lascelles,4-3-3,Tim Robinson,Match Report,0
2023-12-10,16:30,Premier League,Matchweek 16,Sun,Away,L,1,4,Tottenham,1.7,3.8,44,61171,Jamaal Lascelles,4-3-3,Chris Kavanagh,Match Report,0
2023-12-13,20:00,Champions Lg,Group stage,Wed,Home,L,1,2,it Milan,1.8,1.9,58,52037,Jamaal Lascelles,4-3-3,Danny Makkelie,Match Report,0
2023-12-16,15:00,Premier League,Matchweek 17,Sat,Home,W,3,0,Fulham,3.5,0.3,70,52055,Jamaal Lascelles,4-3-3,Samuel Barrott,Match Report,0
2023-12-19,20:00,EFL Cup,Quarter-finals,Tue,Away,D,1 (2),1 (4),Chelsea,0.0,0.0,22,38058,Jamaal Lascelles,4-3-3,Jarred Gillett,Match Report,Chelsea won on penalty kicks following extra time
2023-12-23,15:00,Premier League,Matchweek 18,Sat,Away,L,0,1,Luton Town,1.4,1.4,65,11042,Jamaal Lascelles,4-3-3,Darren England,Match Report,0
2023-12-26,12:30,Premier League,Matchweek 19,Tue,Home,L,1,3,Nott'ham Forest,2.4,3.5,62,52207,Kieran Trippier,4-3-3,Chris Kavanagh,Match Report,0
2024-01-01,20:00,Premier League,Matchweek 20,Mon,Away,L,2,4,Liverpool,0.6,7.0,39,57471,Dan Burn,4-3-3,Anthony Taylor,Match Report,0
2024-01-06,12:45,FA Cup,Third round proper,Sat,Away,W,3,0,Sunderland,0.0,0.0,64,44814,Kieran Trippier,4-3-3,Craig Pawson,Match Report,0
2024-01-13,17:30,Premier League,Matchweek 21,Sat,Home,L,2,3,Manchester City,1.3,3.0,28,52190,Kieran Trippier,4-3-3,Chris Kavanagh,Match Report,0
2024-01-27,19:00,FA Cup,Fourth round proper,Sat,Away,W,2,0,Fulham,0.0,0.0,44,18960,Kieran Trippier,4-3-3,Jarred Gillett,Match Report,0
2024-01-30,20:15,Premier League,Matchweek 22,Tue,Away,W,3,1,Aston Villa,2.6,1.4,39,42191,Kieran Trippier,4-3-3,John Brooks,Match Report,0
2024-02-03,15:00,Premier League,Matchweek 23,Sat,Home,D,4,4,Luton Town,2.3,2.4,55,52211,Kieran Trippier,4-3-3,Thomas Bramall,Match Report,0
2024-02-10,17:30,Premier League,Matchweek 24,Sat,Away,W,3,2,Nott'ham Forest,0.5,1.5,61,29451,Kieran Trippier,4-3-3,Anthony Taylor,Match Report,0
2024-02-17,15:00,Premier League,Matchweek 25,Sat,Home,D,2,2,Bournemouth,2.2,2.2,62,52224,Kieran Trippier,4-3-3,Michael Salisbury,Match Report,0
2024-02-24,20:00,Premier League,Matchweek 26,Sat,Away,L,1,4,Arsenal,0.2,2.8,45,60298,Kieran Trippier,4-3-3,Paul Tierney,Match Report,0
2024-02-27,19:45,FA Cup,Fifth round proper,Tue,Away,D,1 (4),1 (3),Blackburn,0.0,0.0,62,22730,Jamaal Lascelles,4-3-3,Jarred Gillett,Match Report,Newcastle Utd won on penalty kicks following extra time
2024-03-02,15:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Wolves,2.1,0.8,44,52206,Kieran Trippier,4-3-3,Tim Robinson,Match Report,0
2024-03-11,20:00,Premier League,Matchweek 28,Mon,Away,L,2,3,Chelsea,0.7,1.6,56,37753,Dan Burn,4-3-3,John Brooks,Match Report,0
2024-03-16,17:30,FA Cup,Quarter-finals,Sat,Away,L,0,2,Manchester City,0.0,0.0,28,52126,Jamaal Lascelles,5-3-2,Simon Hooper,Match Report,0
2024-03-30,12:30,Premier League,Matchweek 30,Sat,Home,W,4,3,West Ham,4.1,1.4,60,52199,Jamaal Lascelles,4-3-3,Robert Jones,Match Report,0
2024-04-02,19:30,Premier League,Matchweek 31,Tue,Home,D,1,1,Everton,2.4,1.4,57,52135,Dan Burn,4-3-3,Tony Harrington,Match Report,0
2024-04-06,15:00,Premier League,Matchweek 32,Sat,Away,W,1,0,Fulham,1.0,1.2,34,24418,Dan Burn,4-3-3,Samuel Allison,Match Report,0
2024-04-13,12:30,Premier League,Matchweek 33,Sat,Home,W,4,0,Tottenham,2.8,0.8,28,52147,Dan Burn,4-3-3,Tim Robinson,Match Report,0
