Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Bruno Guimarães,br BRA,MF,25.0,36.3,1941,2313,83.9,33351,9336,915,1011,90.5,789,902,87.5,181,285,63.5,8,6.4,6.3,1.6,62,184,70,5,283,Matches
Fabian Schär,ch SUI,DF,31.0,33.9,1762,2128,82.8,36227,14874,588,647,90.9,894,985,90.8,261,437,59.7,1,0.7,1.4,0.3,10,145,18,3,133,Matches
Anthony Gordon,eng ENG,FW,22.0,32.1,803,1055,76.1,12020,3500,486,559,86.9,214,282,75.9,70,136,51.5,10,8.0,5.6,2.0,57,54,39,12,101,Matches
Dan Burn,eng ENG,DF,31.0,30.3,1351,1667,81.0,22402,8237,606,702,86.3,676,788,85.8,54,111,48.6,2,1.1,1.1,0.9,10,67,7,3,75,Matches
Sean Longstaff,eng ENG,MF,25.0,30.5,991,1241,79.9,15314,4980,551,636,86.6,351,430,81.6,62,99,62.6,2,2.3,3.0,-0.3,20,82,26,4,145,Matches
Alexander Isak,se SWE,FW,23.0,25.1,385,493,78.1,5446,1167,237,280,84.6,117,142,82.4,15,22,68.2,2,3.7,2.8,-1.7,27,28,21,0,71,Matches
Kieran Trippier,eng ENG,DF,32.0,24.8,1624,2130,76.2,29797,10999,693,783,88.5,728,874,83.3,187,382,49.0,10,7.5,7.1,2.5,65,111,52,19,157,Matches
Miguel Almirón,py PAR,FW,29.0,21.5,668,801,83.4,9023,1846,411,456,90.1,208,250,83.2,21,38,55.3,1,2.6,2.4,-1.6,24,38,21,3,78,Matches
Martin Dúbravka,sk SVK,GK,34.0,22.1,519,651,79.7,11869,6941,133,135,98.5,273,278,98.2,109,232,47.0,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
Sven Botman,nl NED,DF,23.0,15.3,921,1017,90.6,17027,6760,357,382,93.5,459,489,93.9,98,132,74.2,2,1.0,0.6,1.0,5,38,1,0,35,Matches
Nick Pope,eng ENG,GK,31.0,14.9,307,399,76.9,7910,4836,59,60,98.3,168,172,97.7,79,165,47.9,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Joelinton,br BRA,"MF,FW",26.0,14.2,524,627,83.6,7295,1898,312,350,89.1,166,191,86.9,19,25,76.0,1,2.8,1.1,-1.8,23,38,9,0,56,Matches
Lewis Miley,eng ENG,MF,17.0,13.4,441,535,82.4,6580,1615,255,296,86.1,143,165,86.7,24,40,60.0,3,1.7,1.4,1.3,12,26,12,2,53,Matches
Jacob Murphy,eng ENG,"FW,DF",28.0,13.2,343,519,66.1,5229,2012,200,244,82.0,117,175,66.9,19,61,31.1,7,5.0,3.4,2.0,31,32,30,8,52,Matches
Jamaal Lascelles,eng ENG,DF,29.0,12.0,669,774,86.4,11616,3694,252,275,91.6,383,421,91.0,29,61,47.5,0,0.1,0.1,-0.1,2,38,1,0,31,Matches
Valentino Livramento,eng ENG,DF,20.0,14.6,689,802,85.9,10004,2947,421,457,92.1,223,257,86.8,27,53,50.9,0,0.8,0.8,-0.8,12,58,16,3,61,Matches
Elliot Anderson,sct SCO,"MF,FW",20.0,11.4,370,460,80.4,5041,1322,241,274,88.0,108,130,83.1,8,27,29.6,2,1.9,1.2,0.1,15,36,12,0,57,Matches
Callum Wilson,eng ENG,FW,31.0,11.0,105,163,64.4,1266,184,65,83,78.3,25,41,61.0,3,7,42.9,1,0.6,0.6,0.4,8,3,2,0,9,Matches
Emil Krafth,se SWE,DF,28.0,10.1,488,580,84.1,7498,2971,246,275,89.5,216,236,91.5,15,39,38.5,0,1.0,0.8,-1.0,9,26,13,7,29,Matches
Lewis Hall,eng ENG,DF,18.0,8.7,452,552,81.9,7570,3083,229,248,92.3,186,220,84.5,33,61,54.1,0,0.3,0.7,-0.3,3,41,3,1,46,Matches
Harvey Barnes,eng ENG,"FW,MF",25.0,8.9,208,272,76.5,2981,750,128,147,87.1,68,84,81.0,7,16,43.8,3,3.2,1.9,-0.2,13,11,17,3,34,Matches
