Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Gustavo Hamer,nl NED,MF,26.0,32.3,9,0,0,50,17,6,115,29,21,0,1,0,162,6,16,27.3,Matches
Jayden Bogle,eng ENG,DF,23.0,31.0,9,0,0,38,22,4,40,32,36,0,0,1,139,50,28,64.1,Matches
Jack Robinson,eng ENG,DF,29.0,32.1,10,0,0,19,16,1,12,33,28,0,0,2,135,69,45,60.5,Matches
Vinicius Souza,br BRA,MF,24.0,29.6,3,0,0,48,14,2,10,32,76,0,1,0,153,64,38,62.7,Matches
Anel Ahmedhodžić,ba BIH,DF,24.0,29.4,11,1,1,34,13,2,6,35,36,0,0,0,107,51,37,58.0,Matches
Wes Foderingham,eng ENG,GK,32.0,29.4,2,0,0,1,12,0,0,0,3,0,0,1,31,1,1,50.0,Matches
Auston Trusty,us USA,DF,24.0,28.6,4,0,0,23,13,3,5,35,30,0,1,0,89,61,49,55.5,Matches
Cameron Archer,eng ENG,"FW,MF",22.0,20.4,1,0,0,14,20,13,5,1,13,0,0,0,62,7,42,14.3,Matches
James Mcatee,eng ENG,"MF,FW",20.0,20.2,2,0,0,15,29,1,36,11,21,0,0,0,96,10,31,24.4,Matches
Oliver Norwood,nir NIR,MF,32.0,16.0,8,0,0,15,9,0,52,21,26,0,1,0,98,14,16,46.7,Matches
Oliver McBurnie,sct SCO,FW,27.0,14.2,7,2,2,19,27,4,5,5,7,1,0,0,41,110,113,49.3,Matches
Ben Osborn,eng ENG,"DF,MF",28.0,15.2,3,0,0,8,9,1,47,8,9,0,0,1,80,6,22,21.4,Matches
Ben Brereton,cl CHI,"FW,MF",24.0,12.3,3,0,0,11,19,11,9,3,4,1,0,0,39,7,23,23.3,Matches
Andre Brooks,eng ENG,"MF,DF",19.0,10.4,1,0,0,11,9,0,8,14,13,0,0,0,45,11,14,44.0,Matches
George Baldock,gr GRE,DF,30.0,10.8,4,0,0,19,14,1,18,10,10,1,0,0,44,13,13,50.0,Matches
Oliver Arblaster,eng ENG,MF,19.0,10.5,2,0,0,10,12,0,7,15,14,0,0,1,52,9,15,37.5,Matches
Luke Thomas,eng ENG,DF,22.0,10.2,3,0,0,10,13,0,13,10,9,0,0,0,39,10,15,40.0,Matches
William Osula,dk DEN,FW,19.0,8.7,4,0,0,15,12,6,2,2,2,0,0,0,12,24,70,25.5,Matches
Ivo Grbić,hr CRO,GK,27.0,8.6,1,0,0,0,2,0,0,0,0,0,0,0,6,7,0,100.0,Matches
Mason Holgate,eng ENG,DF,26.0,7.9,3,1,0,8,4,0,7,11,7,0,1,0,30,9,7,56.3,Matches
Yasser Larouci,dz ALG,DF,22.0,5.9,1,0,0,5,5,1,6,7,9,0,0,0,34,1,4,20.0,Matches
John Egan,ie IRL,DF,30.0,5.4,2,0,0,6,1,0,0,13,4,0,1,0,21,14,8,63.6,Matches
Max Lowe,eng ENG,"DF,MF",26.0,5.6,1,0,0,7,3,1,8,5,10,0,0,0,7,5,11,31.3,Matches
Anis Ben Slimane,tn TUN,MF,22.0,4.7,2,0,0,7,6,2,0,5,6,0,0,1,35,7,18,28.0,Matches
Bénie Adama Traore,ci CIV,"FW,MF",20.0,4.3,0,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10.0,Matches
Rhian Brewster,eng ENG,"FW,MF",23.0,3.8,0,1,0,5,5,1,3,1,1,0,0,0,9,4,19,17.4,Matches
Chris Basham,eng ENG,"DF,MF",35.0,3.6,1,0,0,3,3,2,4,5,2,0,0,0,16,7,8,46.7,Matches
Tom Davies,eng ENG,MF,25.0,2.5,2,0,0,7,2,0,4,3,5,0,1,0,21,3,3,50.0,Matches
Rhys Norrington-Davies,wls WAL,DF,24.0,1.2,1,0,0,3,1,1,2,1,1,0,0,0,4,1,1,50.0,Matches
John Fleck,sct SCO,"MF,DF",31.0,1.0,1,0,0,2,2,0,0,0,0,0,0,0,5,2,7,22.2,Matches
Sam Curtis,ie IRL,DF,17.0,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,Matches
Daniel Jebbison,eng ENG,FW,19.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
Antwoine Hackford,eng ENG,FW,19.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Sydie Peck,eng ENG,MF,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
Ryan One,sct SCO,FW,17.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
Squad Total,0,0,25.7,38.0,101,5,3,423,318,64,428,348,405,3,7,7,1638,585,693,45.8,0
Opponent Total,0,0,26.4,38.0,53,2,1,330,407,69,845,275,357,5,5,4,1875,693,585,54.2,0
