Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Guglielmo Vicario,it ITA,GK,26.0,38.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,31,2,Matches
Pedro Porro,es ESP,DF,23.0,34.3,91,63,43,34,14,62,120,51.7,58,63,18,45,34,125,102,3,Matches
Son Heung-min,kr KOR,FW,31.0,32.6,21,13,6,7,8,10,21,47.6,11,4,1,3,8,29,4,0,Matches
Cristian Romero,ar ARG,DF,25.0,31.0,66,40,35,25,6,32,44,72.7,12,46,22,24,44,110,106,1,Matches
Dejan Kulusevski,se SWE,"FW,MF",23.0,30.7,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1,Matches
Destiny Udogie,it ITA,DF,20.0,26.6,68,33,41,16,11,27,49,55.1,22,27,8,19,37,105,80,5,Matches
Micky van de Ven,nl NED,DF,22.0,26.0,49,35,34,12,3,24,33,72.7,9,25,15,10,18,67,78,1,Matches
Pape Matar Sarr,sn SEN,MF,20.0,23.0,34,24,11,17,6,15,36,41.7,21,21,5,16,31,65,28,1,Matches
James Maddison,eng ENG,MF,26.0,23.7,33,19,5,18,10,15,29,51.7,14,15,3,12,13,46,10,1,Matches
Yves Bissouma,ml MLI,MF,26.0,23.0,80,52,32,36,12,41,61,67.2,20,28,5,23,37,117,43,3,Matches
Brennan Johnson,wls WAL,FW,22.0,23.2,26,15,14,5,7,12,31,38.7,19,37,1,36,10,36,12,1,Matches
Richarlison,br BRA,FW,26.0,16.6,16,11,4,8,4,2,10,20.0,8,32,6,26,8,24,23,0,Matches
Rodrigo Bentancur,uy URU,MF,26.0,11.2,23,15,10,11,2,10,24,41.7,14,15,4,11,17,40,16,1,Matches
Ben Davies,wls WAL,DF,30.0,12.1,24,17,13,8,3,16,21,76.2,5,17,15,2,10,34,35,0,Matches
Emerson,br BRA,DF,24.0,12.9,36,24,23,10,3,21,43,48.8,22,23,10,13,20,56,50,1,Matches
Timo Werner,de GER,FW,27.0,9.0,7,4,3,4,0,5,18,27.8,13,12,0,12,3,10,2,0,Matches
Pierre Højbjerg,dk DEN,MF,27.0,14.6,32,18,13,17,2,13,34,38.2,21,21,7,14,19,51,30,3,Matches
Oliver Skipp,eng ENG,"MF,DF",22.0,7.9,18,12,9,6,3,11,18,61.1,7,12,1,11,3,21,9,0,Matches
Giovani Lo Celso,ar ARG,MF,27.0,5.6,22,13,10,8,4,9,14,64.3,5,4,1,3,5,27,2,0,Matches
Radu Drăgușin,ro ROU,DF,21.0,4.8,5,3,5,0,0,3,3,100.0,0,5,4,1,8,13,19,0,Matches
Bryan Gil,es ESP,"FW,MF",22.0,2.3,1,0,0,0,1,1,4,25.0,3,3,0,3,3,4,4,0,Matches
Manor Solomon,il ISR,FW,24.0,2.2,3,3,1,1,1,1,2,50.0,1,4,0,4,3,6,2,0,Matches
Eric Dier,eng ENG,DF,29.0,2.2,2,1,2,0,0,2,2,100.0,0,3,3,0,2,4,12,0,Matches
Ivan Perišić,hr CRO,FW,34.0,1.1,3,2,1,1,1,3,5,60.0,2,1,0,1,2,5,1,0,Matches
Davinson Sánchez,co COL,DF,27.0,0.9,0,0,0,0,0,0,0,0.0,0,3,2,1,1,1,2,0,Matches
Alejo Véliz,ar ARG,FW,19.0,0.6,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Dane Scarlett,eng ENG,FW,19.0,0.2,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Mikey Moore,eng ENG,MF,15.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Jamie Donley,eng ENG,FW,18.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,Matches
Squad Total,0,0,25.2,38.0,724,451,335,264,125,360,691,52.1,331,445,132,313,355,1079,707,24,0
Opponent Total,0,0,26.4,38.0,738,411,375,256,107,363,722,50.3,359,598,170,428,416,1154,783,16,0
