Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Guglielmo Vicario,it ITA,GK,26.0,38.0,2,0.05,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Porro,es ESP,DF,23.0,34.3,107,3.12,66,28,4,5,4,0,12,0.35,9,3,0,0,0,0,Matches
Son Heung-min,kr KOR,FW,31.0,32.6,129,3.96,108,0,11,6,3,1,17,0.52,13,0,3,0,1,0,Matches
Cristian Romero,ar ARG,DF,25.0,31.0,35,1.13,28,2,0,3,0,2,2,0.06,1,0,0,1,0,0,Matches
Dejan Kulusevski,se SWE,"FW,MF",23.0,30.7,127,4.14,104,1,9,11,0,2,8,0.26,6,0,1,0,0,1,Matches
Destiny Udogie,it ITA,DF,20.0,26.6,57,2.15,51,0,4,2,0,0,7,0.26,6,0,0,1,0,0,Matches
Micky van de Ven,nl NED,DF,22.0,26.0,11,0.42,9,0,1,0,1,0,1,0.04,0,0,1,0,0,0,Matches
Pape Matar Sarr,sn SEN,MF,20.0,23.0,52,2.26,43,0,0,3,2,4,7,0.3,6,0,0,1,0,0,Matches
James Maddison,eng ENG,MF,26.0,23.7,161,6.79,110,22,10,6,10,3,19,0.8,13,1,2,1,1,1,Matches
Yves Bissouma,ml MLI,MF,26.0,23.0,44,1.91,35,2,3,0,0,4,3,0.13,3,0,0,0,0,0,Matches
Brennan Johnson,wls WAL,FW,22.0,23.2,70,3.02,55,0,4,6,3,2,13,0.56,11,0,0,1,0,1,Matches
Richarlison,br BRA,FW,26.0,16.6,34,2.05,23,0,3,5,2,1,5,0.3,5,0,0,0,0,0,Matches
Rodrigo Bentancur,uy URU,MF,26.0,11.2,31,2.78,26,0,1,2,0,2,4,0.36,3,0,0,0,0,1,Matches
Ben Davies,wls WAL,DF,30.0,12.1,15,1.24,14,0,0,0,1,0,2,0.17,1,0,0,0,1,0,Matches
Emerson,br BRA,DF,24.0,12.9,21,1.63,15,2,0,1,2,1,3,0.23,1,2,0,0,0,0,Matches
Timo Werner,de GER,FW,27.0,9.0,34,3.78,25,0,4,4,1,0,7,0.78,7,0,0,0,0,0,Matches
Pierre Højbjerg,dk DEN,MF,27.0,14.6,39,2.68,36,0,2,1,0,0,2,0.14,2,0,0,0,0,0,Matches
Oliver Skipp,eng ENG,"MF,DF",22.0,7.9,14,1.78,13,0,0,1,0,0,2,0.25,2,0,0,0,0,0,Matches
Giovani Lo Celso,ar ARG,MF,27.0,5.6,28,4.96,22,2,1,2,1,0,3,0.53,3,0,0,0,0,0,Matches
Radu Drăgușin,ro ROU,DF,21.0,4.8,1,0.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bryan Gil,es ESP,"FW,MF",22.0,2.3,9,3.88,8,0,0,1,0,0,1,0.43,1,0,0,0,0,0,Matches
Manor Solomon,il ISR,FW,24.0,2.2,19,8.59,16,0,1,1,1,0,2,0.9,2,0,0,0,0,0,Matches
Eric Dier,eng ENG,DF,29.0,2.2,2,0.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ivan Perišić,hr CRO,FW,34.0,1.1,8,6.99,6,1,1,0,0,0,2,1.75,1,1,0,0,0,0,Matches
Davinson Sánchez,co COL,DF,27.0,0.9,1,1.17,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Alejo Véliz,ar ARG,FW,19.0,0.6,1,1.84,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dane Scarlett,eng ENG,FW,19.0,0.2,1,4.09,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Mikey Moore,eng ENG,MF,15.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamie Donley,eng ENG,FW,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.2,38.0,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4,0
Opponent Total,0,0,26.4,38.0,835,21.97,565,100,50,63,44,13,103,2.71,62,10,8,11,10,2,0
