Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Guglielmo Vicario,it ITA,GK,26.0,38.0,1680,1252,1664,17,0,0,1680,0,0,0.0,0,0.0,1029,4528,2573,0,0,0,0,0,986,0,Matches
Pedro Porro,es ESP,DF,23.0,34.3,2786,161,783,1098,929,69,2786,57,26,45.6,24,42.1,1369,5484,2925,57,46,10,37,15,1670,158,Matches
Son Heung-min,kr KOR,FW,31.0,32.6,1354,8,87,458,823,212,1352,92,39,42.4,47,51.1,927,5688,2989,119,44,64,55,41,1100,325,Matches
Cristian Romero,ar ARG,DF,25.0,31.0,2923,357,1254,1494,198,33,2923,8,5,62.5,1,12.5,1957,9359,6026,32,42,0,12,4,2071,8,Matches
Dejan Kulusevski,se SWE,"FW,MF",23.0,30.7,1623,12,167,503,984,226,1623,129,54,41.9,66,51.2,1169,7680,3856,151,61,82,86,65,1229,388,Matches
Destiny Udogie,it ITA,DF,20.0,26.6,1775,96,487,815,506,71,1775,58,24,41.4,26,44.8,974,6108,3320,83,65,19,49,26,1028,138,Matches
Micky van de Ven,nl NED,DF,22.0,26.0,2022,244,965,976,102,15,2022,27,15,55.6,9,33.3,1421,6517,3058,19,16,2,15,12,1498,9,Matches
Pape Matar Sarr,sn SEN,MF,20.0,23.0,1582,64,283,830,486,44,1582,38,19,50.0,17,44.7,1041,5912,2263,43,58,3,37,15,1197,90,Matches
James Maddison,eng ENG,MF,26.0,23.7,1748,24,136,774,852,112,1748,81,32,39.5,34,42.0,1251,6395,2589,58,60,31,35,34,1430,156,Matches
Yves Bissouma,ml MLI,MF,26.0,23.0,2119,97,469,1226,443,19,2119,47,27,57.4,12,25.5,1367,7132,3006,43,42,7,33,30,1641,13,Matches
Brennan Johnson,wls WAL,FW,22.0,23.2,977,14,94,316,578,154,977,71,25,35.2,39,54.9,637,3904,2060,97,35,48,35,19,748,293,Matches
Richarlison,br BRA,FW,26.0,16.6,652,33,88,248,322,121,652,37,10,27.0,23,62.2,394,1656,712,26,11,17,53,40,459,106,Matches
Rodrigo Bentancur,uy URU,MF,26.0,11.2,931,36,174,512,250,29,931,21,11,52.4,8,38.1,573,2769,1148,16,22,2,16,19,730,31,Matches
Ben Davies,wls WAL,DF,30.0,12.1,972,97,406,473,96,23,972,10,4,40.0,6,60.0,593,3265,2044,13,13,1,2,3,685,20,Matches
Emerson,br BRA,DF,24.0,12.9,1220,103,462,517,249,12,1220,21,10,47.6,6,28.6,686,2759,1292,21,19,2,15,12,814,35,Matches
Timo Werner,de GER,FW,27.0,9.0,451,3,32,119,302,69,451,30,12,40.0,12,40.0,327,2630,1549,79,27,36,11,5,352,124,Matches
Pierre Højbjerg,dk DEN,MF,27.0,14.6,1585,63,377,913,310,16,1585,23,12,52.2,10,43.5,1012,4237,1820,17,25,2,20,9,1230,29,Matches
Oliver Skipp,eng ENG,"MF,DF",22.0,7.9,448,14,90,257,102,13,448,3,2,66.7,1,33.3,226,831,399,8,4,1,9,6,319,25,Matches
Giovani Lo Celso,ar ARG,MF,27.0,5.6,570,13,85,292,201,19,570,14,8,57.1,3,21.4,361,1891,946,25,20,0,12,7,456,29,Matches
Radu Drăgușin,ro ROU,DF,21.0,4.8,411,44,217,189,7,2,411,3,1,33.3,1,33.3,284,1550,738,5,2,1,1,1,312,1,Matches
Bryan Gil,es ESP,"FW,MF",22.0,2.3,191,3,25,66,101,18,191,11,8,72.7,3,27.3,137,746,340,11,6,5,9,7,155,49,Matches
Manor Solomon,il ISR,FW,24.0,2.2,125,1,14,29,83,20,125,17,10,58.8,7,41.2,92,695,404,17,8,9,5,2,92,44,Matches
Eric Dier,eng ENG,DF,29.0,2.2,164,38,106,57,2,2,164,0,0,0.0,0,0.0,97,291,119,0,0,0,1,0,112,0,Matches
Ivan Perišić,hr CRO,FW,34.0,1.1,93,3,24,20,49,10,93,7,4,57.1,3,42.9,65,398,277,15,5,6,2,0,74,17,Matches
Davinson Sánchez,co COL,DF,27.0,0.9,83,8,24,45,14,1,83,0,0,0.0,0,0.0,68,238,80,0,2,0,1,0,66,0,Matches
Alejo Véliz,ar ARG,FW,19.0,0.6,18,0,1,6,11,4,18,2,1,50.0,1,50.0,8,19,9,0,0,0,2,2,10,3,Matches
Dane Scarlett,eng ENG,FW,19.0,0.2,11,0,0,5,6,2,11,3,0,0.0,2,66.7,10,32,2,0,0,1,5,0,11,4,Matches
Mikey Moore,eng ENG,MF,15.0,0.0,8,1,1,3,4,0,8,1,0,0.0,1,100.0,4,44,41,2,1,0,1,0,5,2,Matches
Jamie Donley,eng ENG,FW,18.0,0.0,7,2,4,2,1,0,7,1,0,0.0,1,100.0,2,9,8,0,0,0,0,1,1,0,Matches
Squad Total,0,0,25.2,38.0,28529,2791,8519,12260,8011,1316,28527,812,359,44.2,363,44.7,18081,92767,46593,957,634,349,559,375,20481,2097,0
Opponent Total,0,0,26.4,38.0,19605,2928,7637,7184,4978,889,19598,763,331,43.4,360,47.2,10094,50889,24976,526,352,194,494,364,11528,1090,0
