Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Vladimír Coufal,cz CZE,DF,30.0,34.8,7,1,1,32,26,1,106,43,41,0,1,0,154,40,37,51.9,Matches
Emerson Palmieri,it ITA,DF,28.0,34.9,10,0,0,32,33,1,49,43,68,2,1,1,142,25,23,52.1,Matches
Jarrod Bowen,eng ENG,FW,26.0,33.5,2,0,0,28,42,20,75,19,28,0,0,0,118,33,70,32.0,Matches
James Ward-Prowse,eng ENG,MF,28.0,33.3,4,0,0,24,20,0,189,38,29,0,0,0,145,26,33,44.1,Matches
Tomáš Souček,cz CZE,MF,28.0,31.9,7,0,0,41,24,10,6,37,35,0,1,0,151,108,78,58.1,Matches
Kurt Zouma,fr FRA,DF,28.0,31.5,3,0,0,24,6,0,0,29,17,0,1,0,95,58,43,57.4,Matches
Alphonse Areola,fr FRA,GK,30.0,30.0,1,0,0,2,3,0,0,1,1,0,2,1,15,10,1,90.9,Matches
Lucas Paquetá,br BRA,"FW,MF",25.0,29.1,10,0,0,47,66,5,35,21,48,0,0,0,194,59,59,50.0,Matches
Edson Álvarez,mx MEX,MF,25.0,26.4,11,0,0,33,15,1,4,42,39,0,1,0,164,30,34,46.9,Matches
Mohammed Kudus,gh GHA,"FW,MF",22.0,27.6,6,0,0,39,75,16,94,11,47,1,1,0,212,15,29,34.1,Matches
Nayef Aguerd,ma MAR,DF,27.0,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0,Matches
Michail Antonio,jm JAM,FW,33.0,18.8,6,0,0,25,28,9,27,4,8,0,0,0,55,33,53,38.4,Matches
Konstantinos Mavropanos,gr GRE,DF,25.0,16.7,2,0,0,15,10,0,1,23,16,0,0,2,70,44,23,65.7,Matches
Łukasz Fabiański,pl POL,GK,38.0,8.0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,100.0,Matches
Angelo Ogbonna,it ITA,DF,35.0,7.1,1,0,0,1,3,0,0,3,5,0,0,0,10,12,7,63.2,Matches
Saïd Benrahma,dz ALG,"FW,MF",27.0,6.9,1,0,0,5,6,1,17,5,4,0,0,0,43,1,5,16.7,Matches
Ben Johnson,eng ENG,"DF,FW",23.0,6.0,1,0,0,3,7,1,31,5,7,0,0,0,49,7,12,36.8,Matches
Aaron Cresswell,eng ENG,"DF,FW",33.0,4.8,1,0,0,2,3,1,11,3,2,0,0,0,18,6,3,66.7,Matches
Pablo Fornals,es ESP,"MF,FW",27.0,4.7,0,0,0,3,5,1,8,6,6,0,0,0,26,3,6,33.3,Matches
Danny Ings,eng ENG,FW,31.0,4.5,1,0,0,4,6,1,1,3,2,1,0,0,12,3,9,25.0,Matches
Kalvin Phillips,eng ENG,MF,27.0,3.4,3,1,1,14,5,0,1,4,6,0,1,0,23,7,1,87.5,Matches
Maxwel Cornet,ci CIV,"MF,FW",26.0,1.2,0,0,0,2,2,3,1,2,2,0,0,0,8,0,5,0.0,Matches
Divin Mubama,eng ENG,FW,18.0,0.9,0,0,0,1,1,0,0,0,0,0,0,0,4,4,5,44.4,Matches
George Earthy,eng ENG,FW,18.0,0.4,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0.0,Matches
Thilo Kehrer,de GER,"DF,MF",26.0,0.2,2,0,0,2,0,0,0,0,1,0,0,0,0,1,2,33.3,Matches
Kaelan Casey,eng ENG,DF,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,0,0,28.3,38.0,82,3,3,390,392,71,661,361,426,4,10,4,1817,576,570,50.3,0
Opponent Total,0,0,26.1,38.0,71,2,1,406,364,54,758,253,406,9,5,2,1860,570,576,49.7,0
