Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Jorrel Hato,nl NED,DF,17.0,32.9,3038,300,1198,1617,247,17,3038,44,24,54.5,16,36.4,1849,8864,5041,39,37,2,26,15,2141,32,Matches
Kenneth Taylor,nl NED,"MF,DF",21.0,30.6,1785,46,276,905,622,100,1785,48,26,54.2,21,43.8,1046,5786,3038,78,56,24,45,32,1244,157,Matches
Brian Brobbey,nl NED,FW,21.0,26.7,825,32,46,307,483,227,824,57,28,49.1,22,38.6,500,2856,1234,53,24,40,77,39,661,211,Matches
Devyne Rensch,nl NED,DF,20.0,24.6,1877,109,571,1039,276,37,1877,31,13,41.9,14,45.2,1099,5530,2700,39,26,10,13,10,1326,66,Matches
Steven Bergwijn,nl NED,"FW,MF",25.0,21.6,1174,11,110,473,609,118,1169,82,39,47.6,38,46.3,763,5016,2499,75,79,35,61,33,920,171,Matches
Josip Šutalo,hr CRO,DF,23.0,22.0,1934,180,878,1029,38,21,1934,24,14,58.3,9,37.5,1208,6068,2878,14,7,0,7,2,1365,4,Matches
Kristian Nökkvi Hlynsson,is ISL,"MF,FW",19.0,19.6,925,22,120,385,431,99,925,29,9,31.0,15,51.7,579,3187,1432,44,30,19,52,26,662,123,Matches
Diant Ramaj,de GER,GK,21.0,20.3,1057,854,1047,10,0,0,1057,0,0,0.0,0,0.0,732,3559,1927,0,0,0,0,1,660,0,Matches
Benjamin Tahirovic,ba BIH,MF,20.0,18.5,1299,52,293,794,226,13,1299,22,10,45.5,10,45.5,770,3608,1579,16,28,1,24,13,936,20,Matches
Steven Berghuis,nl NED,"FW,MF",31.0,16.0,1196,16,109,476,618,71,1196,46,19,41.3,23,50.0,752,3924,1862,55,41,20,30,7,920,176,Matches
Anton Gaaei,dk DEN,DF,20.0,12.9,951,37,250,407,299,27,951,21,12,57.1,8,38.1,531,2776,1381,36,21,7,21,12,593,106,Matches
Sivert Mannsverk,no NOR,"MF,DF",21.0,9.8,708,34,175,405,135,5,708,12,7,58.3,4,33.3,406,2329,1083,14,16,2,3,7,516,7,Matches
Branco van den Boomen,nl NED,MF,28.0,11.9,1052,30,184,607,266,10,1052,12,5,41.7,7,58.3,650,3347,1553,29,20,3,10,4,767,24,Matches
Ahmetcan Kaplan,tr TUR,DF,20.0,10.5,923,86,392,507,29,6,923,8,5,62.5,1,12.5,540,2927,1812,8,10,0,8,1,661,3,Matches
Borna Sosa,hr CRO,DF,25.0,9.4,724,32,203,322,206,9,724,19,12,63.2,6,31.6,385,2230,1179,23,19,2,6,3,467,53,Matches
Jordan Henderson,eng ENG,MF,33.0,8.3,832,21,171,471,194,7,832,10,4,40.0,6,60.0,485,1761,858,11,14,0,6,4,636,20,Matches
Chuba Akpom,eng ENG,"FW,MF",27.0,11.7,415,15,33,178,210,78,415,24,12,50.0,8,33.3,256,1481,611,23,13,8,35,24,309,74,Matches
