Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Thomas Robinet,fr FRA,"FW,MF",26.0,31.7,39,18,13,15,11,19,39,48.7,20,31,0,31,11,50,44,0,Matches
Peer Koopmeiners,nl NED,MF,23.0,30.8,115,66,57,50,8,51,99,51.5,48,59,18,41,41,156,88,1,Matches
Damian van Bruggen,nl NED,DF,27.0,27.8,29,17,14,15,0,14,24,58.3,10,33,23,10,56,85,118,1,Matches
Nordin Bakker,nl NED,GK,25.0,28.8,2,2,2,0,0,2,6,33.3,4,0,0,0,0,2,17,1,Matches
Stije Resink,nl NED,MF,20.0,28.6,74,42,29,31,14,35,69,50.7,34,40,7,33,30,104,60,1,Matches
Sherel Floranus,cw CUW,DF,24.0,28.0,57,38,35,18,4,31,61,50.8,30,39,13,26,38,95,75,1,Matches
Jochem van de Kamp,nl NED,"DF,MF",19.0,21.1,50,32,20,21,9,23,51,45.1,28,23,5,18,35,85,31,0,Matches
Joey Jacobs,nl NED,DF,23.0,21.8,57,37,33,20,4,32,51,62.7,19,19,6,13,26,83,67,0,Matches
Rajiv van La Parra,nl NED,"FW,MF",32.0,20.0,24,15,10,8,6,6,22,27.3,16,19,3,16,1,25,8,0,Matches
Théo Barbet,fr FRA,DF,22.0,20.2,22,11,13,6,3,15,27,55.6,12,24,9,15,24,46,82,0,Matches
Yoann Cathline,fr FRA,"DF,FW",21.0,19.1,28,23,10,9,9,11,22,50.0,11,14,0,14,9,37,8,0,Matches
Kornelius Hansen,no NOR,FW,22.0,15.4,11,3,2,5,4,4,20,20.0,16,14,1,13,1,12,7,0,Matches
Hamdi Akujobi,nl NED,"DF,FW",23.0,17.3,39,29,23,13,3,11,24,45.8,13,35,11,24,16,55,33,0,Matches
Álvaro Peña,es ESP,MF,31.0,12.5,19,11,7,9,3,7,23,30.4,16,15,3,12,9,28,4,0,Matches
Loïc Mbe Soh,fr FRA,DF,22.0,14.0,17,11,10,6,1,12,16,75.0,4,14,12,2,14,31,65,1,Matches
Manu Royo,es ESP,DF,29.0,7.4,16,9,7,6,3,8,13,61.5,5,8,0,8,4,20,14,0,Matches
Yann Kitala,0,FW,25.0,5.3,4,3,1,2,1,1,3,33.3,2,3,0,3,0,4,3,0,Matches
Samuel Şahin-Radlinger,at AUT,GK,30.0,5.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,Matches
Lance Duijvestijn,nl NED,"MF,FW",24.0,5.0,5,3,2,1,2,3,16,18.8,13,5,1,4,3,8,2,0,Matches
Anthony Limbombe,be BEL,FW,29.0,2.0,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches
Adi Nalic,ba BIH,"FW,MF",25.0,2.4,0,0,0,0,0,0,1,0.0,1,5,0,5,0,0,3,0,Matches
Jason Van Duiven,nl NED,"FW,MF",18.0,3.2,2,1,0,0,2,1,3,33.3,2,3,0,3,0,2,4,0,Matches
Milan Corryn,be BEL,"MF,FW",24.0,1.8,4,3,3,0,1,4,5,80.0,1,4,2,2,3,7,3,0,Matches
José Pascual Alba Seva,es ESP,FW,23.0,1.5,2,1,2,0,0,2,3,66.7,1,5,0,5,1,3,2,0,Matches
Christopher Mamengi,nl NED,"DF,FW",22.0,0.8,4,2,4,0,0,1,2,50.0,1,4,2,2,4,8,6,0,Matches
Faiz Mattoir,km COM,"FW,MF",23.0,0.6,1,0,1,0,0,0,0,0.0,0,2,0,2,0,1,1,0,Matches
Danny Post,nl NED,"MF,DF",34.0,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,Matches
Marcelencio Esajas,nl NED,"MF,FW",21.0,0.4,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Jeffrey Puriel,nl NED,FW,20.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,24.6,34.0,623,378,299,236,88,294,602,48.8,308,418,116,302,328,951,752,6,0
Opponent Total,0,0,25.0,34.0,631,374,329,234,68,303,605,50.1,302,350,104,246,278,909,807,7,0
