Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Thomas Robinet,fr FRA,"FW,MF",26.0,31.7,4,1,0,24,29,11,22,11,18,0,1,0,116,149,175,46.0,Matches
Peer Koopmeiners,nl NED,MF,23.0,30.8,7,1,0,75,18,0,157,41,66,0,0,0,285,70,41,63.1,Matches
Damian van Bruggen,nl NED,DF,27.0,27.8,8,1,1,44,3,0,0,56,17,0,0,0,114,89,88,50.3,Matches
Nordin Bakker,nl NED,GK,25.0,28.8,0,0,0,0,1,0,0,0,2,0,0,0,56,11,0,100.0,Matches
Stije Resink,nl NED,MF,20.0,28.6,8,0,0,58,23,0,21,30,42,1,0,0,202,55,71,43.7,Matches
Sherel Floranus,cw CUW,DF,24.0,28.0,7,0,0,40,14,0,37,38,38,0,1,0,160,41,37,52.6,Matches
Jochem van de Kamp,nl NED,"DF,MF",19.0,21.1,1,0,0,19,17,0,10,35,32,1,0,0,123,25,29,46.3,Matches
Joey Jacobs,nl NED,DF,23.0,21.8,7,0,0,35,6,0,17,26,37,0,0,0,92,52,32,61.9,Matches
Rajiv van La Parra,nl NED,"FW,MF",32.0,20.0,1,0,0,39,46,9,46,1,15,0,0,0,96,43,90,32.3,Matches
Théo Barbet,fr FRA,DF,22.0,20.2,4,0,0,23,25,0,4,24,11,0,0,0,114,39,41,48.8,Matches
Yoann Cathline,fr FRA,"DF,FW",21.0,19.1,2,0,0,6,33,6,69,9,23,0,0,0,129,2,12,14.3,Matches
Kornelius Hansen,no NOR,FW,22.0,15.4,2,0,0,9,21,16,17,1,3,1,0,0,43,19,61,23.8,Matches
Hamdi Akujobi,nl NED,"DF,FW",23.0,17.3,4,0,0,27,16,2,43,16,29,0,0,1,89,17,20,45.9,Matches
Álvaro Peña,es ESP,MF,31.0,12.5,3,0,0,15,21,0,20,9,11,0,0,0,64,24,28,46.2,Matches
Loïc Mbe Soh,fr FRA,DF,22.0,14.0,2,0,0,16,2,0,2,14,11,0,1,0,98,22,33,40.0,Matches
Manu Royo,es ESP,DF,29.0,7.4,2,0,0,17,3,1,60,4,9,0,0,0,39,4,5,44.4,Matches
Yann Kitala,0,FW,25.0,5.3,3,0,0,18,16,3,6,0,3,0,0,0,19,23,43,34.8,Matches
Samuel Şahin-Radlinger,at AUT,GK,30.0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,100.0,Matches
Lance Duijvestijn,nl NED,"MF,FW",24.0,5.0,1,0,0,9,4,1,8,3,3,0,1,0,37,5,10,33.3,Matches
Anthony Limbombe,be BEL,FW,29.0,2.0,0,0,0,0,4,1,11,1,0,0,0,0,4,0,3,0.0,Matches
Adi Nalic,ba BIH,"FW,MF",25.0,2.4,1,0,0,5,2,0,6,0,0,0,0,0,11,6,11,35.3,Matches
Jason Van Duiven,nl NED,"FW,MF",18.0,3.2,1,0,0,4,2,1,0,0,1,0,0,0,15,22,29,43.1,Matches
Milan Corryn,be BEL,"MF,FW",24.0,1.8,0,0,0,3,2,0,4,3,3,0,0,0,13,3,3,50.0,Matches
José Pascual Alba Seva,es ESP,FW,23.0,1.5,0,0,0,1,2,0,6,1,1,0,0,0,8,1,5,16.7,Matches
Christopher Mamengi,nl NED,"DF,FW",22.0,0.8,0,0,0,0,1,0,0,4,2,0,0,0,3,2,5,28.6,Matches
Faiz Mattoir,km COM,"FW,MF",23.0,0.6,0,0,0,0,3,0,2,0,0,0,0,0,5,0,3,0.0,Matches
Danny Post,nl NED,"MF,DF",34.0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches
Marcelencio Esajas,nl NED,"MF,FW",21.0,0.4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0,Matches
Jeffrey Puriel,nl NED,FW,20.0,0.3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,Matches
Squad Total,0,0,24.6,34.0,69,3,1,488,315,51,569,328,378,3,4,1,1947,725,877,45.3,0
Opponent Total,0,0,25.0,34.0,50,3,3,328,467,59,569,278,374,2,3,1,1907,877,725,54.7,0
