Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Thomas Robinet,fr FRA,"FW,MF",26.0,33,33,2853.0,31.7,11.0,3.0,14.0,8.0,3.0,3.0,4.0,1.0,11.5,9.1,2.7,11.8,21.0,79.0,157.0,0.35,0.09,0.44,0.25,0.35,0.36,0.09,0.45,0.29,0.37,Matches
Peer Koopmeiners,nl NED,MF,23.0,31,31,2771.0,30.8,0.0,9.0,9.0,0.0,0.0,0.0,7.0,1.0,0.6,0.6,5.7,6.4,18.0,144.0,38.0,0.0,0.29,0.29,0.0,0.29,0.02,0.19,0.21,0.02,0.21,Matches
Damian van Bruggen,nl NED,DF,27.0,31,30,2500.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.4,0.4,0.6,1.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Nordin Bakker,nl NED,GK,25.0,29,29,2596.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stije Resink,nl NED,MF,20.0,32,28,2578.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,2.1,2.1,1.2,3.3,32.0,152.0,37.0,0.03,0.03,0.07,0.03,0.07,0.07,0.04,0.12,0.07,0.12,Matches
Sherel Floranus,cw CUW,DF,24.0,29,28,2520.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.1,0.1,1.5,1.7,19.0,76.0,52.0,0.0,0.04,0.04,0.0,0.04,0.0,0.05,0.06,0.0,0.06,Matches
Jochem van de Kamp,nl NED,"DF,MF",19.0,30,24,1898.0,21.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.9,1.9,2.0,3.9,18.0,80.0,76.0,0.09,0.05,0.14,0.09,0.14,0.09,0.1,0.19,0.09,0.19,Matches
Joey Jacobs,nl NED,DF,23.0,27,23,1963.0,21.8,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.9,1.9,0.5,2.4,13.0,102.0,9.0,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,Matches
Rajiv van La Parra,nl NED,"FW,MF",32.0,32,20,1799.0,20.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,4.1,4.1,1.1,5.2,55.0,36.0,171.0,0.1,0.05,0.15,0.1,0.15,0.21,0.05,0.26,0.21,0.26,Matches
Théo Barbet,fr FRA,DF,22.0,29,19,1818.0,20.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.3,1.9,14.0,58.0,3.0,0.0,0.05,0.05,0.0,0.05,0.03,0.07,0.1,0.03,0.1,Matches
Yoann Cathline,fr FRA,"DF,FW",21.0,28,19,1718.0,19.1,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,2.8,2.8,1.6,4.5,72.0,42.0,141.0,0.21,0.1,0.31,0.21,0.31,0.15,0.09,0.23,0.15,0.23,Matches
Kornelius Hansen,no NOR,FW,22.0,26,17,1385.0,15.4,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,1.8,5.8,47.0,41.0,131.0,0.26,0.06,0.32,0.26,0.32,0.26,0.12,0.38,0.26,0.38,Matches
Hamdi Akujobi,nl NED,"DF,FW",23.0,23,16,1557.0,17.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.4,2.5,29.0,50.0,64.0,0.0,0.12,0.12,0.0,0.12,0.06,0.08,0.14,0.06,0.14,Matches
Álvaro Peña,es ESP,MF,31.0,23,15,1127.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.9,2.0,13.0,64.0,47.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.16,0.08,0.16,Matches
Loïc Mbe Soh,fr FRA,DF,22.0,20,13,1258.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.5,5.0,48.0,2.0,0.07,0.07,0.14,0.07,0.14,0.02,0.02,0.04,0.02,0.04,Matches
Manu Royo,es ESP,DF,29.0,12,8,665.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.0,1.1,21.0,28.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.15,0.01,0.15,Matches
Yann Kitala,0,FW,25.0,15,5,481.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.2,1.3,9.0,6.0,34.0,0.37,0.0,0.37,0.37,0.37,0.2,0.05,0.24,0.2,0.24,Matches
Samuel Şahin-Radlinger,at AUT,GK,30.0,6,5,464.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lance Duijvestijn,nl NED,"MF,FW",24.0,14,3,450.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.6,2.1,8.0,27.0,38.0,0.0,0.4,0.4,0.0,0.4,0.11,0.31,0.42,0.11,0.42,Matches
Anthony Limbombe,be BEL,FW,29.0,3,3,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.1,8.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.07,0.49,0.57,0.07,0.57,Matches
Adi Nalic,ba BIH,"FW,MF",25.0,7,2,213.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,6.0,8.0,16.0,0.42,0.0,0.42,0.42,0.42,0.21,0.05,0.26,0.21,0.26,Matches
Jason Van Duiven,nl NED,"FW,MF",18.0,13,1,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,2.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,Matches
Milan Corryn,be BEL,"MF,FW",24.0,7,1,160.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,2.0,5.0,5.0,0.0,0.56,0.56,0.0,0.56,0.08,0.16,0.25,0.08,0.25,Matches
José Pascual Alba Seva,es ESP,FW,23.0,3,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches
Christopher Mamengi,nl NED,"DF,FW",22.0,9,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Faiz Mattoir,km COM,"FW,MF",23.0,4,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Danny Post,nl NED,"MF,DF",34.0,2,0,39.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.31,0.0,2.31,2.31,2.31,0.11,0.0,0.11,0.11,0.11,Matches
Marcelencio Esajas,nl NED,"MF,FW",21.0,1,0,34.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.65,2.65,0.0,2.65,0.0,0.12,0.12,0.0,0.12,Matches
Jeffrey Puriel,nl NED,FW,20.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.36,0.46,0.1,0.46,Matches
Joël van der Wilt,nl NED,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Agil Etemadi,nl NED,GK,36.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bradly van Hoeven,nl NED,"FW,MF",23.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stijn Keller,nl NED,GK,23.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thomas Poll,nl NED,DF,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,24.6,34,374,3060.0,34.0,32.0,27.0,59.0,29.0,3.0,3.0,69.0,3.0,34.8,32.6,27.1,59.7,422.0,1117.0,1105.0,0.94,0.79,1.74,0.85,1.65,1.02,0.8,1.82,0.96,1.76,0
Opponent Total,0,0,25.0,34,374,3060.0,34.0,58.0,47.0,105.0,55.0,3.0,4.0,50.0,3.0,55.8,52.7,43.8,96.5,556.0,1192.0,1174.0,1.71,1.38,3.09,1.62,3.0,1.64,1.29,2.93,1.55,2.84,0
