D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-13,12:15,Eredivisie,Matchweek 1,Sun,Away,W,4,3,NEC Nijmegen,1.3,0.8,50,12207,Stijn van Gassel,4-3-3,Allard Lindhout,Match Report,0.0
2023-08-19,16:30,Eredivisie,Matchweek 2,Sat,Home,D,2,2,Ajax,1.6,2.8,32,4400,Stijn van Gassel,4-3-3,Dennis Higler,Match Report,0.0
2023-08-26,21:00,Eredivisie,Matchweek 3,Sat,Home,D,2,2,Fortuna Sittard,1.7,1.2,45,4139,Stijn van Gassel,4-3-3,Robin Hensgens,Match Report,0.0
2023-09-02,21:00,Eredivisie,Matchweek 4,Sat,Away,L,1,3,Heracles Almelo,0.5,1.5,37,11185,Stijn van Gassel,4-3-3,Joey Kooij,Match Report,0.0
2023-09-17,14:30,Eredivisie,Matchweek 5,Sun,Home,D,0,0,Almere City,0.8,1.7,49,4400,Stijn van Gassel,4-3-3,Martin van den Kerkhof,Match Report,0.0
2023-09-23,21:00,Eredivisie,Matchweek 6,Sat,Away,W,3,0,Heerenveen,1.0,0.8,41,19630,Stijn van Gassel,4-3-3,Erwin Blank,Match Report,0.0
2023-10-01,14:30,Eredivisie,Matchweek 7,Sun,Home,W,2,1,Sparta R'dam,1.5,0.5,55,4400,Stijn van Gassel,4-3-3,Jeroen Manschot,Match Report,0.0
2023-10-07,21:00,Eredivisie,Matchweek 8,Sat,Away,D,0,0,Vitesse,1.0,1.4,58,13887,Stijn van Gassel,4-3-3,Joey Kooij,Match Report,0.0
2023-10-22,14:30,Eredivisie,Matchweek 9,Sun,Home,L,2,4,Zwolle,2.1,1.2,54,4400,Stijn van Gassel,4-3-3,Jannick van der Laan,Match Report,0.0
2023-10-29,14:30,Eredivisie,Matchweek 10,Sun,Away,L,1,3,Volendam,1.6,4.0,50,6500,Redouan El Yaakoubi,4-3-3,Alex Bos,Match Report,0.0
2023-11-04,18:45,Eredivisie,Matchweek 11,Sat,Home,D,1,1,AZ Alkmaar,2.0,0.7,49,4400,Stijn van Gassel,4-3-3,Laurens Gerrets,Match Report,0.0
2023-11-12,20:00,Eredivisie,Matchweek 12,Sun,Away,D,2,2,Utrecht,1.9,0.6,41,20235,Stijn van Gassel,4-3-3,Marc Nagtegaal,Match Report,0.0
2023-11-25,16:30,Eredivisie,Matchweek 13,Sat,Home,L,2,4,Feyenoord,1.3,4.5,39,4400,Stijn van Gassel,4-3-3,Serdar Gözübüyük,Match Report,0.0
2023-12-02,20:00,Eredivisie,Matchweek 14,Sat,Away,D,2,2,RKC Waalwijk,0.9,1.8,49,5869,Stijn van Gassel,4-3-3,Bas Nijhuis,Match Report,0.0
2023-12-08,20:00,Eredivisie,Matchweek 15,Fri,Away,L,2,4,Twente,0.4,3.4,19,29000,Stijn van Gassel,5-4-1,Ingmar Oostrom,Match Report,0.0
2023-12-16,18:45,Eredivisie,Matchweek 16,Sat,Home,D,1,1,Go Ahead Eag,1.4,0.9,47,4400,Stijn van Gassel,5-4-1,Alex Bos,Match Report,0.0
2024-01-13,21:00,Eredivisie,Matchweek 17,Sat,Away,L,1,3,PSV Eindhoven,0.9,4.1,32,34200,Stijn van Gassel,4-4-2,Marc Nagtegaal,Match Report,0.0
2024-01-19,20:00,Eredivisie,Matchweek 18,Fri,Home,W,3,0,Heerenveen,2.8,0.4,42,4400,Stijn van Gassel,4-2-3-1,Edwin van de Graaf,Match Report,0.0
2024-01-27,21:00,Eredivisie,Matchweek 19,Sat,Home,D,1,1,Utrecht,0.7,1.4,51,4400,Stijn van Gassel,4-2-3-1,Pol van Boekel,Match Report,0.0
2024-02-02,20:00,Eredivisie,Matchweek 20,Fri,Away,L,1,2,Almere City,1.8,1.2,50,4222,Stijn van Gassel,3-4-3,Robin Hensgens,Match Report,0.0
2024-02-10,18:45,Eredivisie,Matchweek 21,Sat,Home,L,0,3,Twente,0.9,0.9,48,4400,Stijn van Gassel,5-4-1,Rob Dieperink,Match Report,0.0
2024-02-17,18:45,Eredivisie,Matchweek 22,Sat,Away,L,2,4,Sparta R'dam,1.3,2.6,51,10459,Stijn van Gassel,4-4-2,Serdar Gözübüyük,Match Report,0.0
2024-02-25,12:15,Eredivisie,Matchweek 23,Sun,Home,L,1,2,Vitesse,1.4,1.3,46,4400,Stijn van Gassel,4-4-2,Marc Nagtegaal,Match Report,0.0
2024-03-03,16:45,Eredivisie,Matchweek 24,Sun,Away,L,2,5,Fortuna Sittard,0.9,2.2,52,10306,Stijn van Gassel,4-2-3-1,Jeroen Manschot,Match Report,0.0
