Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Lutsharel Geertruida,nl NED,DF,23.0,34,34,3038.0,33.8,8.0,5.0,13.0,7.0,1.0,1.0,2.0,0.0,8.3,7.5,4.8,12.4,86.0,268.0,91.0,0.24,0.15,0.39,0.21,0.36,0.25,0.14,0.39,0.22,0.37,Matches
Dávid Hancko,sk SVK,DF,25.0,34,34,3034.0,33.7,5.0,2.0,7.0,4.0,1.0,1.0,2.0,0.0,5.6,4.5,3.8,8.4,91.0,272.0,65.0,0.15,0.06,0.21,0.12,0.18,0.17,0.11,0.28,0.13,0.25,Matches
Quinten Timber,nl NED,MF,22.0,31,31,2663.0,29.6,7.0,9.0,16.0,7.0,0.0,0.0,4.0,0.0,6.8,6.7,7.1,13.7,60.0,187.0,173.0,0.24,0.3,0.54,0.24,0.54,0.23,0.24,0.47,0.23,0.46,Matches
Mats Wieffer,nl NED,MF,23.0,29,29,2590.0,28.8,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,5.2,5.2,3.2,8.4,45.0,231.0,87.0,0.17,0.1,0.28,0.17,0.28,0.18,0.11,0.29,0.18,0.29,Matches
Santiago Giménez,mx MEX,FW,22.0,30,29,2370.0,26.3,23.0,6.0,29.0,21.0,2.0,4.0,3.0,0.0,22.8,19.6,5.0,24.6,47.0,37.0,211.0,0.87,0.23,1.1,0.8,1.03,0.86,0.19,1.06,0.74,0.93,Matches
Calvin Stengs,nl NED,"MF,FW",24.0,29,26,2095.0,23.3,6.0,12.0,18.0,6.0,0.0,0.0,2.0,0.0,5.2,5.2,7.8,13.0,75.0,146.0,171.0,0.26,0.52,0.77,0.26,0.77,0.22,0.34,0.56,0.22,0.56,Matches
Quilindschy Hartman,nl NED,DF,21.0,26,26,2070.0,23.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,1.4,1.4,5.5,6.9,45.0,152.0,116.0,0.0,0.22,0.22,0.0,0.22,0.06,0.24,0.3,0.06,0.3,Matches
Igor Paixão,br BRA,FW,23.0,31,25,1924.0,21.4,9.0,3.0,12.0,9.0,0.0,0.0,3.0,0.0,7.5,7.5,6.3,13.8,84.0,57.0,250.0,0.42,0.14,0.56,0.42,0.56,0.35,0.29,0.64,0.35,0.64,Matches
Timon Wellenreuther,de GER,GK,27.0,19,17,1598.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Justin Bijlow,nl NED,GK,25.0,17,17,1462.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yankuba Minteh,gm GAM,FW,19.0,27,17,1456.0,16.2,10.0,5.0,15.0,10.0,0.0,0.0,0.0,0.0,9.8,9.8,4.3,14.1,127.0,40.0,264.0,0.62,0.31,0.93,0.62,0.93,0.6,0.27,0.87,0.6,0.87,Matches
Gernot Trauner,at AUT,DF,31.0,19,16,1362.0,15.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.1,1.8,24.0,112.0,4.0,0.07,0.13,0.2,0.07,0.2,0.05,0.07,0.12,0.05,0.12,Matches
