Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Rodrigo Guth,br BRA,DF,22.0,32,2814.0,88.0,92.0,31.3,32,88.0,30,0,0.0,0,1.09,33.0,52.0,-19.0,-0.61,-0.61,41.2,38.7,2.5,0.08,0.56,Matches
Ivo Pinto,pt POR,DF,33.0,32,2806.0,88.0,91.7,31.2,32,88.0,26,0,0.0,1,1.16,34.0,49.0,-15.0,-0.48,0.94,39.7,37.6,2.1,0.07,0.39,Matches
Iñigo Córdoba,es ESP,"FW,MF",26.0,33,2631.0,80.0,86.0,29.2,31,83.0,10,2,32.0,0,1.15,35.0,42.0,-7.0,-0.24,2.28,39.4,33.9,5.5,0.19,1.1,Matches
Deroy Duarte,cv CPV,MF,24.0,28,2420.0,86.0,79.1,26.9,27,88.0,25,1,45.0,0,1.11,31.0,47.0,-16.0,-0.6,-0.17,34.0,37.4,-3.3,-0.12,-0.76,Matches
Mitchell Dijks,nl NED,DF,30.0,31,2341.0,76.0,76.5,26.0,27,83.0,16,4,28.0,0,1.23,30.0,37.0,-7.0,-0.27,1.23,35.4,30.8,4.6,0.18,0.6,Matches
Dimitris Siovas,gr GRE,DF,34.0,27,2300.0,85.0,75.2,25.6,27,85.0,21,0,0.0,1,1.15,29.0,38.0,-9.0,-0.35,0.83,33.8,30.5,3.3,0.13,0.39,Matches
Kaj Sierhuis,nl NED,FW,25.0,31,2174.0,70.0,71.0,24.2,27,78.0,3,4,19.0,0,1.13,27.0,39.0,-12.0,-0.5,0.21,32.9,29.4,3.5,0.14,0.38,Matches
Alen Halilović,hr CRO,"MF,FW",27.0,31,2096.0,68.0,68.5,23.3,25,80.0,3,6,17.0,1,1.13,22.0,41.0,-19.0,-0.82,-0.82,30.1,29.8,0.3,0.01,-0.07,Matches
Loreintz Rosier,fr FRA,MF,24.0,30,1711.0,57.0,55.9,19.0,18,82.0,11,12,20.0,0,1.07,14.0,28.0,-14.0,-0.74,-0.4,24.0,24.0,0.0,0.0,-0.08,Matches
Ivor Pandur,hr CRO,GK,23.0,16,1440.0,90.0,47.1,16.0,16,90.0,16,0,0.0,0,1.19,17.0,28.0,-11.0,-0.69,-0.24,18.5,22.4,-3.9,-0.24,-0.53,Matches
