Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Rodrigo Guth,br BRA,DF,22.0,31.3,1644,182,822,691,140,71,1644,10,7,70.0,3,30.0,893,5568,3268,26,14,2,18,10,991,16,Matches
Ivo Pinto,pt POR,DF,33.0,31.2,1694,103,485,698,536,19,1694,44,19,43.2,23,52.3,793,5045,2654,79,70,5,31,14,860,129,Matches
Iñigo Córdoba,es ESP,"FW,MF",26.0,29.2,1421,41,309,542,599,137,1421,111,52,46.8,46,41.4,782,5491,2996,112,54,31,72,25,870,221,Matches
Deroy Duarte,cv CPV,MF,24.0,26.9,1157,63,319,690,158,9,1157,19,10,52.6,6,31.6,507,2176,984,15,12,0,16,14,577,30,Matches
Mitchell Dijks,nl NED,DF,30.0,26.0,1366,72,513,589,283,21,1366,52,14,26.9,33,63.5,574,3685,2050,49,32,8,17,13,647,46,Matches
Dimitris Siovas,gr GRE,DF,34.0,25.6,1402,184,771,579,59,24,1402,6,2,33.3,3,50.0,598,2899,1453,9,7,1,8,1,727,8,Matches
Kaj Sierhuis,nl NED,FW,25.0,24.2,826,15,44,359,435,127,824,55,26,47.3,24,43.6,431,2288,943,42,37,16,62,39,623,130,Matches
Alen Halilović,hr CRO,"MF,FW",27.0,23.3,1228,19,168,629,448,33,1226,89,46,51.7,36,40.4,663,4239,1871,39,25,7,45,19,778,69,Matches
Loreintz Rosier,fr FRA,MF,24.0,19.0,1028,83,323,566,148,24,1028,12,7,58.3,4,33.3,421,2061,930,11,9,0,16,6,482,7,Matches
Ivor Pandur,hr CRO,GK,23.0,16.0,583,501,580,4,0,0,583,1,1,100.0,0,0.0,353,1930,1135,0,0,0,0,0,257,0,Matches
Justin Lonwijk,sr SUR,"FW,MF",23.0,11.4,387,8,61,177,156,53,386,16,5,31.3,9,56.3,210,899,381,13,11,5,25,6,250,49,Matches
Tijjani Noslin,nl NED,FW,24.0,11.3,453,11,59,172,234,47,452,39,24,61.5,13,33.3,249,1724,923,34,20,12,35,18,298,78,Matches
Michael Verrips,nl NED,GK,26.0,12.0,381,319,375,6,0,0,381,0,0,0.0,0,0.0,187,1273,728,0,0,0,1,0,145,0,Matches
Oğuzhan Özyakup,tr TUR,MF,30.0,10.7,625,25,115,312,206,18,625,20,13,65.0,6,30.0,288,1313,556,12,8,1,19,9,346,29,Matches
Siemen Voet,be BEL,DF,23.0,10.9,564,74,269,241,57,19,564,2,2,100.0,0,0.0,236,1130,619,9,2,0,4,1,258,7,Matches
Arianit Ferati,xk KVX,"MF,DF",25.0,8.2,447,17,99,234,122,15,447,18,9,50.0,7,38.9,227,1113,512,8,8,0,12,9,244,29,Matches
Ragnar Oratmangoen,id IDN,"MF,FW",25.0,9.8,485,8,67,213,217,32,485,35,13,37.1,20,57.1,272,1587,756,23,20,8,22,22,318,62,Matches
Sadik Fofana,tg TOG,DF,20.0,7.0,335,35,167,159,12,3,335,11,6,54.5,3,27.3,163,993,557,6,3,0,5,3,160,1,Matches
Rémy Vita,mg MAD,"DF,MF",22.0,6.6,378,25,131,167,84,3,378,21,8,38.1,10,47.6,175,879,408,12,9,1,18,8,170,27,Matches
Kristoffer Peterson,se SWE,"MF,FW",28.0,6.5,276,4,26,113,140,28,276,19,6,31.6,10,52.6,161,1063,563,16,9,9,21,11,185,46,Matches
Luuk Koopmans,nl NED,GK,29.0,5.0,157,122,154,4,0,0,157,0,0,0.0,0,0.0,91,692,364,0,0,0,0,0,54,0,Matches
Alessio da Cruz,0,"FW,MF",26.0,4.5,128,1,13,58,61,11,128,9,2,22.2,4,44.4,63,465,192,8,4,4,12,5,84,26,Matches
Marko Lazetić,rs SRB,"FW,DF",19.0,2.0,56,2,4,23,30,10,56,5,0,0.0,5,100.0,30,97,45,2,1,0,4,5,37,8,Matches
Iman Griffith,nl NED,"FW,MF",21.0,2.7,92,3,15,31,47,10,92,7,2,28.6,4,57.1,56,389,213,10,4,3,4,2,65,18,Matches
Milan Robberechts,be BEL,"FW,MF",19.0,2.4,101,1,10,38,55,8,101,15,1,6.7,11,73.3,55,306,150,6,3,1,7,1,55,21,Matches
Paul Gladon,nl NED,FW,31.0,1.9,57,3,4,30,23,12,57,0,0,0.0,0,0.0,24,65,25,1,0,1,3,1,41,4,Matches
Mouhamed Belkheir,fr FRA,"FW,MF",24.0,4.7,119,2,9,42,71,19,118,13,7,53.8,5,38.5,65,519,142,4,2,2,18,6,78,22,Matches
Tom Hendriks,nl NED,GK,21.0,1.0,27,21,26,1,0,0,27,0,0,0.0,0,0.0,16,79,62,0,0,0,0,0,9,0,Matches
Nathan Markelo,cw CUW,DF,24.0,0.8,34,2,12,15,8,0,34,1,1,100.0,0,0.0,14,72,40,1,0,0,1,0,14,0,Matches
Jayden Braaf,nl NED,"FW,MF",20.0,0.5,29,1,4,9,17,4,29,5,1,20.0,3,60.0,17,123,14,0,2,1,7,0,18,5,Matches
Daan Bisschops,nl NED,MF,18.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,Matches
Sjors Hermsen,0,"FW,MF",0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.8,34.0,17480,1947,5954,7392,4346,757,17473,635,284,44.7,288,45.4,8614,50163,25534,547,366,118,503,248,9641,1088,0
Opponent Total,0,0,25.0,34.0,21979,2343,6582,10209,5352,643,21977,680,305,44.9,321,47.2,11974,64554,33137,590,406,100,508,305,14160,1474,0
