Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Jeffrey De Lange,nl NED,GK,25.0,34.0,2,0,0,0,2,0,0,0,0,0,0,1,56,8,3,72.7,Matches
Bas Kuipers,nl NED,DF,28.0,32.8,6,0,0,29,35,3,134,31,28,0,0,0,143,25,21,54.3,Matches
Mats Deijl,nl NED,DF,26.0,30.9,2,0,0,29,49,1,60,18,40,1,1,0,135,38,40,48.7,Matches
Willum Þór Willumsson,is ISL,MF,24.0,29.7,1,1,0,20,36,8,26,12,17,0,0,0,154,51,55,48.1,Matches
Evert Linthorst,nl NED,MF,23.0,26.3,0,0,0,12,17,0,19,36,19,0,0,0,204,22,25,46.8,Matches
Oliver Edvardsen,no NOR,"FW,MF",24.0,26.1,0,0,0,13,60,7,68,18,12,2,0,0,115,27,20,57.4,Matches
Joris Kramer,nl NED,DF,26.0,28.5,2,0,0,10,6,0,5,26,25,0,0,0,157,98,92,51.6,Matches
Bobby Adekanye,nl NED,FW,24.0,20.0,4,1,0,21,40,4,46,4,11,0,0,0,91,8,20,28.6,Matches
Victor Edvardsen,se SWE,FW,27.0,20.3,1,0,0,14,7,7,22,2,4,0,0,0,41,18,74,19.6,Matches
Jamal Amofa,nl NED,DF,24.0,18.5,7,1,1,16,15,0,1,17,19,0,0,0,82,21,18,53.8,Matches
Philippe Rommens,be BEL,MF,25.0,18.0,1,0,0,14,7,0,115,25,17,0,0,0,118,8,15,34.8,Matches
Gerrit Nauber,de GER,DF,31.0,19.5,3,0,0,8,6,1,0,15,7,0,0,0,73,21,19,52.5,Matches
Jakob Breum,dk DEN,FW,19.0,16.1,2,0,0,11,21,2,72,10,17,1,0,0,84,4,16,20.0,Matches
Enric Llansana,nl NED,"MF,DF",22.0,13.6,1,0,0,25,7,1,6,13,32,0,1,0,105,35,24,59.3,Matches
Thibo Baeten,be BEL,"FW,MF",21.0,10.1,3,0,0,28,17,6,10,4,7,0,0,0,33,18,41,30.5,Matches
Xander Blomme,be BEL,MF,21.0,7.9,3,0,0,12,6,0,1,18,15,0,0,0,38,19,16,54.3,Matches
Sylla Sow,nl NED,FW,26.0,7.0,1,0,0,6,5,8,2,1,7,0,0,0,19,6,22,21.4,Matches
Søren Tengstedt,dk DEN,"MF,FW",23.0,4.5,0,0,0,1,3,1,6,1,8,0,0,0,24,3,7,30.0,Matches
Finn Stokkers,nl NED,FW,27.0,4.2,0,0,0,7,4,7,2,2,3,0,0,0,9,18,28,39.1,Matches
Luca Everink,nl NED,DF,22.0,3.1,0,0,0,3,9,0,3,9,2,0,0,0,18,1,5,16.7,Matches
Dean James,nl NED,"DF,FW",23.0,1.1,0,0,0,2,3,0,3,2,2,0,0,0,4,0,3,0.0,Matches
Pim Saathof,nl NED,DF,19.0,0.6,0,0,0,1,0,0,2,0,5,0,0,0,7,1,1,50.0,Matches
Rashaan Fernandes,nl NED,"FW,MF",24.0,0.4,0,0,0,1,1,0,5,0,0,0,0,0,1,0,1,0.0,Matches
Squad Total,0,0,25.4,34.0,39,3,1,283,356,56,608,264,297,4,2,1,1711,450,566,44.3,0
Opponent Total,0,0,25.2,34.0,39,2,1,373,266,47,819,301,332,2,5,0,1762,566,450,55.7,0
