Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Michael Brouwer,nl NED,GK,30.0,34.0,8.0,0.24,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian De Keersmaecker,be BEL,MF,23.0,32.8,48.0,1.46,37.0,1.0,3.0,1.0,2.0,4.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Justin Hoogma,nl NED,DF,25.0,28.7,35.0,1.22,33.0,0.0,0.0,2.0,0.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Emil Hansson,se SWE,"FW,MF",25.0,20.9,65.0,3.1,54.0,4.0,5.0,2.0,0.0,0.0,9.0,0.43,7.0,0.0,2.0,0.0,0.0,0.0,Matches
Bryan Limbombe,be BEL,"FW,MF",22.0,19.3,40.0,2.07,22.0,0.0,6.0,3.0,8.0,1.0,4.0,0.21,1.0,0.0,0.0,1.0,2.0,0.0,Matches
Navajo Bakboord,nl NED,DF,24.0,18.7,20.0,1.07,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Sven Sonnenberg,de GER,DF,24.0,18.4,19.0,1.03,16.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anas Ouahim,de GER,"MF,FW",25.0,13.5,28.0,2.07,17.0,0.0,2.0,4.0,4.0,1.0,4.0,0.3,2.0,0.0,0.0,1.0,0.0,1.0,Matches
Mario Engels,de GER,"FW,MF",29.0,17.8,47.0,2.65,25.0,13.0,4.0,4.0,1.0,0.0,5.0,0.28,3.0,1.0,1.0,0.0,0.0,0.0,Matches
Jannes Wieckhoff,de GER,DF,22.0,15.1,14.0,0.93,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Fredrik Oppegard,no NOR,DF,20.0,15.0,21.0,1.4,17.0,0.0,2.0,1.0,1.0,0.0,4.0,0.27,3.0,0.0,0.0,1.0,0.0,0.0,Matches
Jizz Hornkamp,nl NED,FW,25.0,14.3,33.0,2.31,24.0,0.0,4.0,2.0,2.0,1.0,4.0,0.28,3.0,0.0,0.0,0.0,1.0,0.0,Matches
Ruben Roosken,nl NED,"DF,FW",23.0,14.6,31.0,2.12,28.0,0.0,1.0,0.0,1.0,1.0,4.0,0.27,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Ajdin Hrustic,au AUS,"MF,FW",27.0,12.9,33.0,2.55,20.0,7.0,1.0,2.0,2.0,1.0,2.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Mohamed Sankoh,nl NED,FW,19.0,12.1,18.0,1.49,12.0,0.0,2.0,4.0,0.0,0.0,2.0,0.17,0.0,0.0,0.0,2.0,0.0,0.0,Matches
Stijn Bultman,nl NED,DF,18.0,12.4,8.0,0.64,6.0,0.0,0.0,2.0,0.0,0.0,3.0,0.24,2.0,0.0,0.0,1.0,0.0,0.0,Matches
Jetro Willems,nl NED,DF,29.0,11.9,33.0,2.76,19.0,8.0,1.0,3.0,2.0,0.0,4.0,0.33,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordy Bruijn,nl NED,MF,27.0,7.6,18.0,2.38,11.0,4.0,0.0,3.0,0.0,0.0,3.0,0.4,1.0,1.0,0.0,1.0,0.0,0.0,Matches
Kelvin Leerdam,sr SUR,DF,33.0,8.7,7.0,0.81,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Thomas Bruns,nl NED,"MF,FW",31.0,12.0,36.0,2.99,26.0,6.0,0.0,1.0,2.0,1.0,5.0,0.42,4.0,1.0,0.0,0.0,0.0,0.0,Matches
Sem Scheperman,nl NED,"MF,DF",21.0,7.8,13.0,1.67,10.0,0.0,0.0,2.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marko Vejinović,nl NED,MF,33.0,7.5,37.0,2.71,21.0,16.0,0.0,0.0,0.0,0.0,2.0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,Matches
Daniel Schwaab,de GER,DF,34.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Abdenego Nankishi,de GER,FW,21.0,3.9,7.0,1.81,3.0,0.0,3.0,0.0,1.0,0.0,4.0,1.03,1.0,0.0,3.0,0.0,0.0,0.0,Matches
Sava Cestic,rs SRB,DF,22.0,2.3,1.0,0.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lasse Wehmeyer,de GER,FW,20.0,1.9,6.0,3.23,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Satriano,it ITA,FW,19.0,1.8,1.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego van Oorschot,0,"MF,FW",0.0,0.3,1.0,3.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,25.6,34.0,628.0,18.47,454.0,61.0,34.0,40.0,28.0,11.0,72.0,2.12,50.0,4.0,6.0,7.0,4.0,1.0,0
Opponent Total,0,0,24.9,34.0,1114.0,32.76,802.0,111.0,58.0,82.0,54.0,7.0,124.0,3.65,90.0,11.0,4.0,10.0,7.0,2.0,0
