Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Calvin Verdonk,id IDN,DF,26.0,31.7,1718,2235,76.9,30681,11690,747,860,86.9,761,932,81.7,178,337,52.8,2,2.2,3.4,-0.2,31,135,39,16,167,Matches
Jasper Cillessen,nl NED,GK,34.0,29.3,697,1052,66.3,20175,15809,162,162,100.0,291,299,97.3,240,586,41.0,0,0.1,0.1,-0.1,1,23,0,0,0,Matches
Bram Nuytinck,nl NED,DF,33.0,26.7,1450,1644,88.2,27148,9978,504,535,94.2,810,860,94.2,120,210,57.1,0,0.2,0.5,-0.2,4,79,4,0,122,Matches
Dirk Proper,nl NED,MF,21.0,25.5,1059,1224,86.5,17575,4490,499,549,90.9,422,465,90.8,96,133,72.2,4,1.1,1.7,2.9,21,111,16,0,125,Matches
Koki Ogawa,jp JPN,FW,25.0,24.5,236,317,74.4,2990,421,149,191,78.0,55,67,82.1,10,15,66.7,1,0.9,1.0,0.1,8,11,4,0,22,Matches
Sontje Hansen,nl NED,FW,21.0,21.2,365,520,70.2,5175,1278,200,259,77.2,128,179,71.5,12,24,50.0,4,4.4,4.7,-0.4,33,7,22,7,42,Matches
Bart van Rooij,nl NED,DF,22.0,21.9,841,1103,76.2,15759,4850,338,380,88.9,367,474,77.4,123,201,61.2,3,2.7,2.6,0.3,26,57,28,15,68,Matches
Mees Hoedemakers,nl NED,MF,25.0,21.7,923,1156,79.8,16329,4996,419,484,86.6,365,435,83.9,111,175,63.4,7,2.1,2.0,4.9,24,117,13,3,130,Matches
Philippe Sandler,nl NED,DF,26.0,20.8,1152,1266,91.0,24130,8958,333,350,95.1,639,678,94.2,171,219,78.1,0,1.0,1.2,-1.0,6,97,6,1,96,Matches
Magnus Mattsson,dk DEN,MF,24.0,19.0,502,645,77.8,6944,1817,284,333,85.3,168,202,83.2,18,39,46.2,4,2.7,3.2,1.3,29,39,22,2,69,Matches
Youri Baas,nl NED,"DF,FW",20.0,19.1,577,757,76.2,9508,2961,300,344,87.2,216,288,75.0,47,77,61.0,3,2.2,2.0,0.8,19,34,15,6,52,Matches
Kodai Sano,jp JPN,"FW,MF",19.0,17.7,561,705,79.6,8888,1927,287,325,88.3,219,262,83.6,39,68,57.4,2,1.3,1.1,0.7,15,41,9,3,56,Matches
Roberto González,es ESP,"FW,MF",22.0,15.4,284,406,70.0,4070,1200,157,197,79.7,91,123,74.0,16,38,42.1,3,3.2,1.5,-0.2,21,28,11,5,31,Matches
Lasse Schöne,dk DEN,MF,37.0,13.8,647,796,81.3,11118,4059,298,331,90.0,258,287,89.9,63,127,49.6,3,1.7,2.2,1.3,27,77,12,3,82,Matches
Tjaronn Chery,sr SUR,"MF,FW",35.0,11.5,409,537,76.2,6867,2048,193,222,86.9,142,170,83.5,49,103,47.6,2,2.4,2.8,-0.4,28,35,21,4,65,Matches
Brayann Pereira,fr FRA,DF,20.0,8.8,261,340,76.8,4105,1224,134,149,89.9,98,127,77.2,18,41,43.9,1,0.6,0.3,0.4,4,12,1,1,10,Matches
Mathias Ross,dk DEN,DF,22.0,11.6,323,411,78.6,6854,3030,97,111,87.4,170,194,87.6,53,95,55.8,0,0.3,0.9,-0.3,4,22,1,0,24,Matches
Lars Olden Larsen,no NOR,FW,24.0,7.5,137,213,64.3,1892,416,83,103,80.6,47,77,61.0,2,16,12.5,0,0.3,0.4,-0.3,5,10,5,1,10,Matches
Bas Dost,nl NED,FW,34.0,5.1,89,164,54.3,1252,273,45,76,59.2,32,62,51.6,4,7,57.1,2,1.5,1.1,0.5,5,12,3,0,12,Matches
Sylla Sow,nl NED,FW,26.0,5.4,64,92,69.6,821,111,40,51,78.4,18,26,69.2,2,4,50.0,1,0.5,0.3,0.5,7,2,1,0,5,Matches
Robin Roefs,nl NED,GK,20.0,4.7,133,184,72.3,3990,3239,29,29,100.0,52,52,100.0,52,103,50.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Elayis Tavsan,nl NED,FW,22.0,3.8,82,104,78.8,1369,207,46,53,86.8,29,35,82.9,7,10,70.0,0,0.1,0.6,-0.1,4,4,3,1,5,Matches
Yvandro Borges Sanches,lu LUX,"FW,MF",19.0,2.4,86,102,84.3,1254,238,55,59,93.2,23,28,82.1,4,6,66.7,0,0.4,0.9,-0.4,4,2,6,0,10,Matches
Sai van Wermeskerken,jp JPN,DF,29.0,1.8,48,59,81.4,754,268,27,29,93.1,17,19,89.5,3,7,42.9,0,0.0,0.0,0.0,0,2,1,1,4,Matches
Pedro David Rosendo Marques,pt POR,FW,25.0,0.5,19,29,65.5,257,41,13,15,86.7,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,0,2,2,0,2,Matches
Nils Rossen,nl NED,"MF,FW",17.0,0.3,20,21,95.2,344,54,6,6,100.0,10,11,90.9,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Luc Netten,nl NED,DF,19.0,0.3,7,7,100.0,109,44,4,4,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
D'Leanu Arts,nl NED,DF,20.0,0.3,9,14,64.3,202,154,3,4,75.0,4,5,80.0,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
Squad Total,0,0,26.0,34.0,12699,16103,78.9,230560,85781,5452,6211,87.8,5438,6365,85.4,1444,2649,54.5,42,31.8,34.9,10.2,326,964,245,69,1215,0
Opponent Total,0,0,25.0,34.0,13799,17324,79.7,250265,90131,6035,6817,88.5,5897,6877,85.7,1527,2719,56.2,36,45.2,52.0,-9.2,431,1242,380,90,1616,0
