Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Calvin Verdonk,id IDN,DF,26.0,31.7,2,27,11,40.7,0.85,0.35,0.07,0.18,25.4,5,0,0,1.4,1.4,0.05,0.6,0.6,Matches
Jasper Cillessen,nl NED,GK,34.0,29.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Bram Nuytinck,nl NED,DF,33.0,26.7,0,18,8,44.4,0.68,0.3,0.0,0.0,11.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Dirk Proper,nl NED,MF,21.0,25.5,5,28,13,46.4,1.1,0.51,0.18,0.38,16.6,0,0,0,2.6,2.6,0.09,2.4,2.4,Matches
Koki Ogawa,jp JPN,FW,25.0,24.5,11,53,20,37.7,2.17,0.82,0.17,0.45,13.7,0,2,2,7.2,5.6,0.11,3.8,3.4,Matches
Sontje Hansen,nl NED,FW,21.0,21.2,6,28,13,46.4,1.32,0.61,0.21,0.46,15.2,0,0,0,3.7,3.7,0.13,2.3,2.3,Matches
Bart van Rooij,nl NED,DF,22.0,21.9,2,18,6,33.3,0.82,0.27,0.11,0.33,18.2,0,0,0,1.5,1.5,0.08,0.5,0.5,Matches
Mees Hoedemakers,nl NED,MF,25.0,21.7,1,24,8,33.3,1.11,0.37,0.04,0.13,23.4,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
Philippe Sandler,nl NED,DF,26.0,20.8,0,8,0,0.0,0.38,0.0,0.0,0.0,12.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Magnus Mattsson,dk DEN,MF,24.0,19.0,11,43,26,60.5,2.26,1.37,0.21,0.35,17.4,3,2,2,7.4,5.8,0.14,3.6,3.2,Matches
Youri Baas,nl NED,"DF,FW",20.0,19.1,3,15,10,66.7,0.79,0.52,0.2,0.3,15.2,0,0,0,2.1,2.1,0.14,0.9,0.9,Matches
Kodai Sano,jp JPN,"FW,MF",19.0,17.7,4,28,10,35.7,1.58,0.56,0.14,0.4,18.1,0,0,0,3.2,3.2,0.11,0.8,0.8,Matches
Roberto González,es ESP,"FW,MF",22.0,15.4,6,40,20,50.0,2.6,1.3,0.15,0.3,16.4,0,0,0,4.6,4.6,0.11,1.4,1.4,Matches
Lasse Schöne,dk DEN,MF,37.0,13.8,1,7,2,28.6,0.51,0.14,0.0,0.0,29.2,3,1,1,1.0,0.2,0.03,0.0,-0.2,Matches
Tjaronn Chery,sr SUR,"MF,FW",35.0,11.5,5,43,20,46.5,3.73,1.74,0.12,0.25,25.5,8,0,0,3.2,3.2,0.08,1.8,1.8,Matches
Brayann Pereira,fr FRA,DF,20.0,8.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Mathias Ross,dk DEN,DF,22.0,11.6,2,5,4,80.0,0.43,0.35,0.4,0.5,11.3,0,0,0,0.9,0.9,0.17,1.1,1.1,Matches
Lars Olden Larsen,no NOR,FW,24.0,7.5,1,17,6,35.3,2.27,0.8,0.06,0.17,19.6,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Bas Dost,nl NED,FW,34.0,5.1,3,6,2,33.3,1.17,0.39,0.33,1.0,11.9,0,1,1,2.0,1.2,0.2,1.0,0.8,Matches
Sylla Sow,nl NED,FW,26.0,5.4,2,11,7,63.6,2.05,1.3,0.18,0.29,11.6,0,0,0,2.3,2.3,0.21,-0.3,-0.3,Matches
Robin Roefs,nl NED,GK,20.0,4.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Elayis Tavsan,nl NED,FW,22.0,3.8,2,11,6,54.5,2.91,1.59,0.18,0.33,17.8,0,0,0,0.8,0.8,0.07,1.2,1.2,Matches
Yvandro Borges Sanches,lu LUX,"FW,MF",19.0,2.4,0,7,1,14.3,2.92,0.42,0.0,0.0,22.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Sai van Wermeskerken,jp JPN,DF,29.0,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro David Rosendo Marques,pt POR,FW,25.0,0.5,0,3,0,0.0,6.14,0.0,0.0,0.0,10.8,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Nils Rossen,nl NED,"MF,FW",17.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Luc Netten,nl NED,DF,19.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
D'Leanu Arts,nl NED,DF,20.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.0,34.0,67,440,193,43.9,12.94,5.68,0.14,0.32,18.0,19,6,6,47.9,43.2,0.1,19.1,17.8,0
Opponent Total,0,0,25.0,34.0,51,543,157,28.9,15.97,4.62,0.08,0.29,16.8,9,5,6,60.1,55.4,0.1,-9.1,-9.4,0
