Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Yassin Oukili,nl NED,MF,22.0,31.0,95,53,48,36,11,41,67,61.2,26,41,13,28,30,125,70,1,Matches
Etienne Vaessen,sr SUR,GK,28.0,29.4,2,1,2,0,0,2,4,50.0,2,2,0,2,0,2,15,3,Matches
Dario Van den Buijs,be BEL,DF,27.0,28.9,52,25,33,16,3,23,33,69.7,10,44,30,14,25,77,143,1,Matches
Julian Lelieveld,nl NED,DF,25.0,26.9,79,58,56,14,9,48,92,52.2,44,30,2,28,28,107,78,2,Matches
Godfried Roemeratoe,cw CUW,MF,23.0,25.9,57,31,27,28,2,25,42,59.5,17,39,16,23,29,86,51,1,Matches
Aaron Meijers,nl NED,DF,35.0,25.6,60,29,39,18,3,39,77,50.6,38,32,13,19,30,90,78,0,Matches
Shawn Adewoye,be BEL,DF,23.0,26.0,36,24,23,9,4,22,33,66.7,11,57,36,21,32,68,169,1,Matches
Denilho Cleonise,nl NED,"FW,MF",21.0,20.0,16,9,4,5,7,8,14,57.1,6,15,0,15,12,28,5,0,Matches
Chris Lokesa,be BEL,"FW,MF",18.0,22.9,30,13,9,13,8,11,37,29.7,26,14,2,12,13,43,18,0,Matches
Michiel Kramer,nl NED,FW,34.0,20.3,4,2,0,4,0,1,7,14.3,6,7,4,3,0,4,32,0,Matches
David Min,nl NED,FW,24.0,18.4,18,9,0,8,10,9,23,39.1,14,16,3,13,3,21,15,0,Matches
Reuven Niemeijer,nl NED,"MF,FW",28.0,17.8,13,7,4,3,6,5,24,20.8,19,17,1,16,7,20,15,0,Matches
Juriën Gaari,cw CUW,DF,29.0,18.3,41,23,30,9,2,31,48,64.6,17,17,7,10,20,61,72,2,Matches
Mats Seuntjens,nl NED,"FW,MF",31.0,9.0,9,4,2,5,2,3,9,33.3,6,7,1,6,0,9,5,0,Matches
Kevin Felida,cw CUW,MF,23.0,8.8,27,22,18,8,1,7,14,50.0,7,14,3,11,10,37,16,0,Matches
Zakaria Bakkali,be BEL,"MF,FW",27.0,8.0,16,9,10,3,3,6,12,50.0,6,6,0,6,2,18,2,0,Matches
Thierry Lutonda,be BEL,DF,22.0,8.0,28,14,22,5,1,12,25,48.0,13,13,2,11,18,46,33,0,Matches
Filip Stevanovic,rs SRB,"FW,MF",20.0,6.9,12,9,6,3,3,6,15,40.0,9,3,0,3,3,15,4,0,Matches
Richonell Margaret,nl NED,"FW,MF",22.0,9.3,19,8,7,6,6,5,11,45.5,6,9,1,8,8,27,5,0,Matches
Jeffrey Bruma,nl NED,DF,31.0,4.4,4,4,3,1,0,2,3,66.7,1,12,8,4,4,8,21,1,Matches
Jeroen Houwen,nl NED,GK,27.0,3.6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,Matches
Mark Spenkelink,nl NED,GK,26.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,Matches
Ilias Takidine,be BEL,"FW,MF",22.0,1.0,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,Matches
Raz Meir,il ISR,DF,26.0,0.6,2,2,2,0,0,2,3,66.7,1,2,0,2,1,3,0,0,Matches
Daouda Weidmann,ci CIV,"MF,DF",20.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,Matches
Patrick Vroegh,nl NED,MF,23.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.2,34.0,621,357,345,195,81,308,594,51.9,286,398,142,256,277,898,851,13,0
Opponent Total,0,0,25.1,34.0,589,343,284,220,85,276,530,52.1,254,396,102,294,288,877,607,3,0
