Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Nick Olij,nl NED,GK,27.0,34.0,12,0.35,10,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Saïd Bakari,km COM,DF,28.0,31.7,52,1.64,44,5,2,1,0,0,8,0.25,7,0,1,0,0,0,Matches
Tobias Lauritsen,no NOR,FW,25.0,27.6,70,2.54,55,0,1,7,7,0,12,0.43,11,0,0,0,1,0,Matches
Djevencio van der Kust,sr SUR,DF,22.0,27.8,51,1.83,40,5,1,3,0,2,8,0.29,7,0,0,1,0,0,Matches
Arno Verschueren,be BEL,MF,26.0,26.3,75,2.86,62,1,3,6,2,1,7,0.27,4,0,1,1,1,0,Matches
Bart Vriends,nl NED,DF,32.0,24.5,18,0.73,14,0,0,2,1,1,3,0.12,2,0,0,1,0,0,Matches
Jonathan de Guzmán,nl NED,MF,35.0,21.4,58,2.71,39,10,2,4,3,0,4,0.19,3,1,0,0,0,0,Matches
Joshua Kitolano,no NOR,MF,21.0,23.4,46,1.97,42,0,0,2,2,0,4,0.17,4,0,0,0,0,0,Matches
Pelle Clement,nl NED,"MF,FW",27.0,21.1,64,3.03,42,17,0,3,1,1,11,0.52,7,2,0,1,1,0,Matches
Koki Saito,jp JPN,FW,21.0,18.4,74,4.02,53,3,10,3,5,0,10,0.54,6,1,2,1,0,0,Matches
Tijs Velthuis,nl NED,DF,21.0,19.6,11,0.56,11,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Mike Eerdhuijzen,nl NED,DF,23.0,14.7,20,1.37,17,1,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Shunsuke Mito,jp JPN,"FW,MF",20.0,11.3,27,2.39,22,0,2,1,1,1,3,0.27,2,0,0,0,1,0,Matches
Camiel Neghli,nl NED,FW,21.0,15.0,66,4.39,38,17,6,3,1,1,6,0.4,3,0,2,0,1,0,Matches
Metinho,br BRA,MF,20.0,14.1,28,1.99,22,2,0,1,2,1,4,0.28,3,0,0,0,0,1,Matches
Charles-Andréas Brym,ca CAN,"FW,MF",24.0,15.3,46,3.0,32,2,3,3,5,1,4,0.26,2,0,0,1,0,1,Matches
Django Warmerdam,nl NED,"DF,FW",27.0,9.9,16,1.61,9,3,1,1,2,0,2,0.2,1,0,0,0,1,0,Matches
Rick Meijssen,nl NED,DF,21.0,9.8,7,0.71,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Vito van Crooy,nl NED,FW,27.0,2.9,10,3.44,8,2,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
Augustin Anello,be BEL,"FW,MF",21.0,2.5,7,2.8,4,1,1,1,0,0,1,0.4,1,0,0,0,0,0,Matches
Jeremy van Mullem,nl NED,MF,24.0,0.8,1,1.23,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rayvien Rosario,cw CUW,"FW,DF",19.0,0.5,5,9.78,3,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Hamza el Dahri,nl NED,"MF,FW",18.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mehmet Yuksel,nl NED,"DF,FW",21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jesse Bal,nl NED,MF,16.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergi Rosanas,es ESP,DF,22.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.7,34.0,764,22.47,574,71,32,44,34,9,90,2.65,66,4,6,6,6,2,0
Opponent Total,0,0,25.0,34.0,997,29.32,764,77,44,63,37,12,88,2.59,65,5,5,7,6,0,0
