D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,21:00,Eredivisie,Matchweek 1,Sat,Away,W,2,1,Zwolle,1.2,0.9,47,12500,Bart Vriends,4-2-3-1,Joey Kooij,Match Report,0.0
2023-08-20,14:30,Eredivisie,Matchweek 2,Sun,Home,D,2,2,Feyenoord,0.9,2.0,29,10600,Bart Vriends,4-2-3-1,Danny Makkelie,Match Report,0.0
2023-08-27,16:45,Eredivisie,Matchweek 3,Sun,Away,W,3,1,Heerenveen,2.1,2.2,45,19700,Bart Vriends,4-2-3-1,Allard Lindhout,Match Report,0.0
2023-09-01,20:00,Eredivisie,Matchweek 4,Fri,Home,D,1,1,NEC Nijmegen,1.9,0.5,59,10111,Bart Vriends,4-2-3-1,Serdar Gözübüyük,Match Report,0.0
2023-09-17,16:45,Eredivisie,Matchweek 5,Sun,Away,L,0,2,AZ Alkmaar,0.7,1.5,48,18389,Bart Vriends,4-2-3-1,Pol van Boekel,Match Report,0.0
2023-09-24,12:15,Eredivisie,Matchweek 6,Sun,Home,W,1,0,Vitesse,1.5,0.3,49,10320,Jonathan de Guzmán,4-2-3-1,Richard Martens,Match Report,0.0
2023-10-01,14:30,Eredivisie,Matchweek 7,Sun,Away,L,1,2,Excelsior,0.5,1.5,45,4400,Bart Vriends,4-2-3-1,Jeroen Manschot,Match Report,0.0
2023-10-08,16:45,Eredivisie,Matchweek 8,Sun,Home,L,0,4,PSV Eindhoven,0.4,3.5,32,10595,Bart Vriends,4-2-3-1,Dennis Higler,Match Report,0.0
2023-10-22,16:45,Eredivisie,Matchweek 9,Sun,Away,D,0,0,Go Ahead Eag,0.7,0.8,56,9837,Bart Vriends,4-2-3-1,Ingmar Oostrom,Match Report,0.0
2023-10-28,20:00,Eredivisie,Matchweek 10,Sat,Home,W,2,0,RKC Waalwijk,1.8,0.8,52,10341,Bart Vriends,4-2-3-1,Sander van der Eijk,Match Report,0.0
2023-11-05,16:45,Eredivisie,Matchweek 11,Sun,Home,L,1,2,Almere City,1.4,1.3,62,10132,Bart Vriends,4-2-3-1,Allard Lindhout,Match Report,0.0
2023-11-12,14:30,Eredivisie,Matchweek 12,Sun,Away,W,4,1,Volendam,2.0,0.9,39,6784,Bart Vriends,4-2-3-1,Richard Martens,Match Report,0.0
2023-11-26,16:45,Eredivisie,Matchweek 13,Sun,Home,L,1,2,Utrecht,2.4,1.2,60,10030,Bart Vriends,4-3-3,Joey Kooij,Match Report,0.0
2023-12-02,21:00,Eredivisie,Matchweek 14,Sat,Away,W,1,0,Heracles Almelo,1.0,1.1,48,11645,Bart Vriends,4-3-3,Edwin van de Graaf,Match Report,0.0
2023-12-09,18:45,Eredivisie,Matchweek 15,Sat,Away,L,1,2,Ajax,1.1,3.3,45,54526,Bart Vriends,4-3-3,Danny Makkelie,Match Report,0.0
2023-12-17,14:30,Eredivisie,Matchweek 16,Sun,Home,D,2,2,Twente,2.7,2.8,38,10289,Jonathan de Guzmán,4-3-3,Martin van den Kerkhof,Match Report,0.0
2024-01-13,16:30,Eredivisie,Matchweek 17,Sat,Away,W,2,0,Fortuna Sittard,1.4,3.4,52,9800,Jonathan de Guzmán,4-3-3,Erwin Blank,Match Report,0.0
2024-01-21,14:30,Eredivisie,Matchweek 18,Sun,Home,L,0,2,Go Ahead Eag,1.4,1.3,59,10078,Jonathan de Guzmán,4-2-3-1,Danny Makkelie,Match Report,0.0
2024-01-27,18:45,Eredivisie,Matchweek 19,Sat,Away,D,1,1,RKC Waalwijk,1.9,0.3,54,6517,Bart Vriends,4-2-3-1,Alex Bos,Match Report,0.0
2024-02-04,16:45,Eredivisie,Matchweek 20,Sun,Home,L,0,2,Zwolle,2.3,1.6,57,9446,Bart Vriends,4-2-3-1,Jeroen Manschot,Match Report,0.0
2024-02-11,20:00,Eredivisie,Matchweek 21,Sun,Away,L,0,2,Feyenoord,0.3,3.2,31,47500,Nick Olij,4-2-3-1,Pol van Boekel,Match Report,0.0
2024-02-17,18:45,Eredivisie,Matchweek 22,Sat,Home,W,4,2,Excelsior,2.6,1.3,49,10459,Bart Vriends,4-2-3-1,Serdar Gözübüyük,Match Report,0.0
2024-02-24,21:00,Eredivisie,Matchweek 23,Sat,Away,L,0,2,NEC Nijmegen,1.4,1.7,56,12500,Bart Vriends,4-2-3-1,Dennis Higler,Match Report,0.0
2024-03-02,21:00,Eredivisie,Matchweek 24,Sat,Home,D,1,1,AZ Alkmaar,0.9,1.2,45,10211,Jonathan de Guzmán,4-2-3-1,Jochem Kamphuis,Match Report,0.0
2024-03-09,18:45,Eredivisie,Matchweek 25,Sat,Away,L,1,2,Twente,0.1,1.8,44,29750,Jonathan de Guzmán,4-1-4-1,Rob Dieperink,Match Report,0.0
2024-03-17,16:45,Eredivisie,Matchweek 26,Sun,Home,D,2,2,Ajax,1.1,1.6,30,10599,Nick Olij,4-2-3-1,Serdar Gözübüyük,Match Report,0.0
2024-03-30,18:45,Eredivisie,Matchweek 27,Sat,Home,W,4,0,Fortuna Sittard,1.8,0.6,55,9535,Bart Vriends,4-2-3-1,Martin van den Kerkhof,Match Report,0.0
2024-04-02,18:45,Eredivisie,Matchweek 28,Tue,Away,W,4,1,Vitesse,2.1,1.9,36,15726,Bart Vriends,4-2-3-1,Edwin van de Graaf,Match Report,0.0
