Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Nick Olij,nl NED,GK,27.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Saïd Bakari,km COM,DF,28.0,33,32,2849.0,31.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1.1,1.1,2.1,3.1,45.0,93.0,135.0,0.0,0.06,0.06,0.0,0.06,0.03,0.06,0.1,0.03,0.1,Matches
Tobias Lauritsen,no NOR,FW,25.0,31,29,2485.0,27.6,12.0,9.0,21.0,9.0,3.0,3.0,2.0,0.0,12.9,10.6,3.8,14.3,14.0,75.0,147.0,0.43,0.33,0.76,0.33,0.65,0.47,0.14,0.6,0.38,0.52,Matches
Djevencio van der Kust,sr SUR,DF,22.0,30,27,2504.0,27.8,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,3.4,4.1,57.0,108.0,113.0,0.04,0.22,0.25,0.04,0.25,0.02,0.12,0.15,0.02,0.15,Matches
Arno Verschueren,be BEL,MF,26.0,27,27,2364.0,26.3,9.0,2.0,11.0,9.0,0.0,0.0,3.0,1.0,5.4,5.4,3.6,9.0,38.0,87.0,146.0,0.34,0.08,0.42,0.34,0.42,0.21,0.14,0.34,0.21,0.34,Matches
Bart Vriends,nl NED,DF,32.0,26,26,2205.0,24.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.8,2.8,11.0,112.0,4.0,0.08,0.04,0.12,0.08,0.12,0.08,0.03,0.11,0.08,0.11,Matches
Jonathan de Guzmán,nl NED,MF,35.0,31,25,1927.0,21.4,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,2.4,3.7,30.0,128.0,18.0,0.05,0.09,0.14,0.05,0.14,0.06,0.11,0.17,0.06,0.17,Matches
Joshua Kitolano,no NOR,MF,21.0,24,24,2106.0,23.4,5.0,2.0,7.0,3.0,2.0,2.0,2.0,0.0,3.7,2.1,2.6,4.8,28.0,97.0,50.0,0.21,0.09,0.3,0.13,0.21,0.16,0.11,0.27,0.09,0.2,Matches
Pelle Clement,nl NED,"MF,FW",27.0,29,21,1900.0,21.1,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,2.3,2.3,2.5,4.8,34.0,89.0,86.0,0.09,0.19,0.28,0.09,0.28,0.11,0.12,0.23,0.11,0.23,Matches
Koki Saito,jp JPN,FW,21.0,21,20,1658.0,18.4,3.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,4.2,4.2,3.2,7.4,66.0,69.0,175.0,0.16,0.27,0.43,0.16,0.43,0.23,0.17,0.4,0.23,0.4,Matches
Tijs Velthuis,nl NED,DF,21.0,25,19,1762.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,1.1,10.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Mike Eerdhuijzen,nl NED,DF,23.0,19,15,1319.0,14.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,15.0,69.0,6.0,0.07,0.0,0.07,0.07,0.07,0.05,0.03,0.08,0.05,0.08,Matches
Shunsuke Mito,jp JPN,"FW,MF",20.0,18,14,1017.0,11.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,0.5,2.9,30.0,35.0,62.0,0.18,0.0,0.18,0.18,0.18,0.21,0.05,0.25,0.21,0.25,Matches
Camiel Neghli,nl NED,FW,21.0,26,13,1354.0,15.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,2.6,2.6,2.6,5.2,46.0,51.0,127.0,0.33,0.0,0.33,0.33,0.33,0.17,0.18,0.35,0.17,0.35,Matches
Metinho,br BRA,MF,20.0,24,13,1268.0,14.1,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.8,0.8,1.5,2.4,20.0,72.0,14.0,0.14,0.07,0.21,0.14,0.21,0.06,0.11,0.17,0.06,0.17,Matches
Charles-Andréas Brym,ca CAN,"FW,MF",24.0,31,12,1379.0,15.3,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,4.1,4.1,2.3,6.3,37.0,40.0,94.0,0.26,0.13,0.39,0.26,0.39,0.26,0.15,0.41,0.26,0.41,Matches
Django Warmerdam,nl NED,"DF,FW",27.0,15,11,895.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,1.1,11.0,29.0,36.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.11,0.06,0.11,Matches
Rick Meijssen,nl NED,DF,21.0,21,8,883.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,16.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Vito van Crooy,nl NED,FW,27.0,3,3,262.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,7.0,10.0,13.0,0.0,0.34,0.34,0.0,0.34,0.1,0.23,0.33,0.1,0.33,Matches
Augustin Anello,be BEL,"FW,MF",21.0,8,1,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,5.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.17,0.11,0.17,Matches
Jeremy van Mullem,nl NED,MF,24.0,3,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Rayvien Rosario,cw CUW,"FW,DF",19.0,6,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.31,0.03,0.34,0.31,0.34,Matches
Hamza el Dahri,nl NED,"MF,FW",18.0,5,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mehmet Yuksel,nl NED,"DF,FW",21.0,2,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,Matches
Jesse Bal,nl NED,MF,16.0,2,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergi Rosanas,es ESP,DF,22.0,2,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Alemañ,es ESP,MF,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aymane Bais,0,FW,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Delano van Crooy,nl NED,GK,32.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jay den Haan,nl NED,DF,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Max de Ligt,nl NED,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dano Lourens,nl NED,FW,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kaylen Reitmeier,de GER,GK,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
