Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Robin Pröpper,nl NED,DF,29.0,30.5,45,30,18,23,4,20,44,45.5,24,34,16,18,32,77,90,1,Matches
Daan Rots,nl NED,FW,22.0,28.6,59,38,20,24,15,35,85,41.2,50,30,1,29,17,76,20,0,Matches
Lars Unnerstall,de GER,GK,33.0,32.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,12,1,Matches
Sem Steijn,nl NED,MF,21.0,26.8,29,17,13,11,5,18,51,35.3,33,18,2,16,10,39,10,0,Matches
Michal Sadílek,cz CZE,MF,24.0,30.0,49,21,18,25,6,20,57,35.1,37,46,9,37,28,77,37,0,Matches
Mathias Kjølø,no NOR,MF,22.0,24.8,29,19,9,15,5,18,29,62.1,11,19,3,16,28,57,32,0,Matches
Mees Hilgers,nl NED,DF,22.0,24.3,52,32,32,19,1,33,56,58.9,23,27,8,19,26,78,51,1,Matches
Gijs Smal,nl NED,DF,25.0,22.8,34,19,14,13,7,22,46,47.8,24,27,3,24,16,50,35,0,Matches
Michel Vlap,nl NED,FW,26.0,21.9,17,14,5,10,2,9,23,39.1,14,13,0,13,16,33,13,0,Matches
Youri Regeer,nl NED,"DF,MF",19.0,19.5,41,23,20,16,5,23,37,62.2,14,19,2,17,14,55,38,2,Matches
Alfons Sampsted,is ISL,DF,25.0,17.1,36,20,25,7,4,30,55,54.5,25,20,5,15,30,66,41,0,Matches
Ricky van Wolfswinkel,nl NED,"FW,MF",34.0,21.0,24,14,6,10,8,3,12,25.0,9,28,1,27,9,33,18,0,Matches
Manfred Ugalde,cr CRC,FW,21.0,15.2,14,10,2,6,6,2,12,16.7,10,13,1,12,1,15,6,0,Matches
Joshua Brenet,cw CUW,DF,29.0,12.0,31,19,15,11,5,19,34,55.9,15,11,0,11,12,43,11,1,Matches
Carel Eiting,nl NED,MF,25.0,8.8,21,9,7,11,3,11,22,50.0,11,5,1,4,8,29,20,0,Matches
Max Bruns,nl NED,DF,20.0,6.3,8,6,4,3,1,4,8,50.0,4,6,3,3,7,15,21,1,Matches
Alec Van Hoorenbeeck,be BEL,DF,24.0,5.8,6,4,6,0,0,4,7,57.1,3,12,8,4,4,10,40,2,Matches
Mitchell van Bergen,nl NED,FW,23.0,5.8,6,5,3,0,3,3,8,37.5,5,9,1,8,4,10,7,0,Matches
Naci Ünüvar,nl NED,"FW,MF",20.0,5.6,9,4,0,5,4,3,8,37.5,5,11,1,10,2,11,4,0,Matches
Younes Taha El Idrissi,ma MAR,"FW,MF",0.0,5.2,12,8,3,7,2,8,18,44.4,10,6,0,6,1,13,3,0,Matches
Myron Boadu,nl NED,"FW,MF",22.0,3.3,1,1,0,1,0,0,2,0.0,2,3,0,3,0,1,2,0,Matches
Przemysław Tytoń,pl POL,GK,36.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Mats Rots,nl NED,DF,17.0,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,2,0,Matches
Anass Salah-Eddine,nl NED,"DF,MF",21.0,1.4,9,6,4,2,3,5,6,83.3,1,2,0,2,1,10,1,0,Matches
Gijs Besselink,nl NED,"FW,MF",19.0,0.6,6,2,2,2,2,3,3,100.0,0,0,0,0,1,7,0,0,Matches
Julien Mesbahi,nl NED,DF,17.0,0.4,3,2,3,0,0,1,1,100.0,0,1,0,1,0,3,3,0,Matches
Squad Total,0,0,25.4,34.0,541,323,229,221,91,294,625,47.0,331,361,65,296,269,810,517,9,0
Opponent Total,0,0,25.0,34.0,572,351,335,185,52,281,526,53.4,245,523,188,335,352,924,846,20,0
