Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Ryan Flamingo,nl NED,"MF,DF",20.0,30.7,50,1.63,43,0,3,3,1,0,5,0.16,5,0,0,0,0,0,Matches
Vasilios Barkas,gr GRE,GK,29.0,29.0,5,0.17,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Souffian El Karouani,ma MAR,DF,22.0,27.2,68,2.5,51,9,3,2,2,1,7,0.26,7,0,0,0,0,0,Matches
Oscar Fraulo,dk DEN,MF,19.0,23.3,45,1.94,33,1,3,3,3,2,6,0.26,6,0,0,0,0,0,Matches
Hidde ter Avest,nl NED,DF,26.0,22.9,34,1.48,31,2,0,1,0,0,5,0.22,5,0,0,0,0,0,Matches
Nick Viergever,nl NED,DF,33.0,22.8,29,1.27,26,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Othman Boussaid,be BEL,FW,23.0,21.9,91,4.15,74,4,3,8,2,0,10,0.46,7,0,1,2,0,0,Matches
Can Bozdogan,de GER,MF,22.0,21.8,43,1.97,22,8,1,4,5,3,3,0.14,0,1,0,2,0,0,Matches
Jens Toornstra,nl NED,"MF,FW",34.0,19.8,95,4.8,59,29,0,4,1,2,11,0.56,11,0,0,0,0,0,Matches
Mike van der Hoorn,nl NED,DF,30.0,18.5,17,0.92,13,0,0,3,1,0,1,0.05,0,0,0,1,0,0,Matches
Sam Lammers,nl NED,FW,26.0,17.8,47,2.64,35,0,4,6,2,0,4,0.22,3,0,1,0,0,0,Matches
Victor Jensen,dk DEN,"MF,FW",23.0,16.4,49,2.99,34,0,3,9,2,1,7,0.43,3,0,0,3,0,1,Matches
Taylor Booth,us USA,FW,22.0,9.6,22,2.28,14,1,3,3,1,0,1,0.1,1,0,0,0,0,0,Matches
Mats Seuntjens,nl NED,"FW,MF",31.0,10.6,32,3.01,16,14,0,0,2,0,1,0.09,1,0,0,0,0,0,Matches
Isac Lidberg,se SWE,FW,24.0,10.5,20,1.91,10,0,1,5,4,0,3,0.29,2,0,0,1,0,0,Matches
Modibo Sagnan,ml MLI,DF,24.0,9.7,9,0.93,8,0,0,0,0,1,1,0.1,1,0,0,0,0,0,Matches
Marouan Azarkan,nl NED,FW,21.0,8.8,33,3.74,24,5,2,0,2,0,4,0.45,4,0,0,0,0,0,Matches
Mark van der Maarel,nl NED,DF,33.0,8.3,15,1.82,7,5,0,3,0,0,2,0.24,0,0,0,2,0,0,Matches
Yannick Leliendal,nl NED,DF,21.0,5.5,12,2.18,9,1,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Mattijs Branderhorst,nl NED,GK,29.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ole Romeny,nl NED,"FW,MF",23.0,5.8,16,2.79,10,0,1,0,4,1,0,0.0,0,0,0,0,0,0,Matches
Zidane Iqbal,iq IRQ,"MF,DF",20.0,5.7,17,2.98,16,0,0,0,1,0,2,0.35,2,0,0,0,0,0,Matches
Zakaria Labyad,ma MAR,"MF,FW",30.0,3.1,9,2.92,4,4,0,1,0,0,1,0.32,0,1,0,0,0,0,Matches
Bart Ramselaar,nl NED,"FW,MF",27.0,4.5,14,3.14,13,0,0,0,1,0,1,0.22,1,0,0,0,0,0,Matches
Niklas Vesterlund,dk DEN,"DF,FW",24.0,3.0,2,0.65,1,0,0,0,1,0,1,0.33,0,0,0,0,1,0,Matches
Anthony Descotte,be BEL,FW,19.0,2.3,8,3.41,7,0,0,0,0,1,1,0.43,1,0,0,0,0,0,Matches
Hugo Novoa,es ESP,"DF,FW",20.0,2.3,3,1.34,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Anastasios Douvikas,gr GRE,FW,23.0,2.0,4,2.0,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Sean Klaiber,sr SUR,DF,29.0,1.1,2,1.76,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jeppe Okkels,dk DEN,"FW,DF",24.0,1.8,7,3.82,7,0,0,0,0,0,2,1.09,2,0,0,0,0,0,Matches
Adrian Blake,eng ENG,"FW,MF",18.0,0.3,4,12.0,3,0,1,0,0,0,2,6.0,1,0,1,0,0,0,Matches
Nazjir Held,cw CUW,DF,17.0,0.3,1,3.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tim Handwerker,de GER,"FW,DF",25.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Silas Andersen,dk DEN,FW,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jesse van de Haar,nl NED,FW,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.7,34.0,803,23.62,582,87,29,58,35,12,81,2.38,63,2,3,11,1,1,0
Opponent Total,0,0,25.0,34.0,756,22.24,543,66,55,50,31,11,82,2.41,56,6,11,4,5,0,0
