D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,16:30,Eredivisie,Matchweek 1,Sat,Away,L,0,2,PSV Eindhoven,0.7,2.6,33,32486,Mike van der Hoorn,4-3-3,Serdar Gözübüyük,Match Report,0
2023-08-20,12:15,Eredivisie,Matchweek 2,Sun,Home,L,0,2,Heerenveen,0.9,0.5,57,19878,Mike van der Hoorn,4-2-3-1,Ingmar Oostrom,Match Report,0
2023-08-27,12:15,Eredivisie,Matchweek 3,Sun,Away,L,0,1,Zwolle,0.4,1.1,53,14000,Nick Viergever,4-3-3,Laurens Gerrets,Match Report,0
2023-09-03,12:15,Eredivisie,Matchweek 4,Sun,Home,L,1,5,Feyenoord,0.6,4.5,45,20366,Mike van der Hoorn,4-3-3,Pol van Boekel,Match Report,0
2023-09-16,21:00,Eredivisie,Matchweek 5,Sat,Away,W,3,1,Heracles Almelo,1.8,0.9,43,11831,Mark van der Maarel,4-3-3,Sander van der Eijk,Match Report,0
2023-09-23,18:45,Eredivisie,Matchweek 6,Sat,Away,L,0,3,NEC Nijmegen,1.5,2.2,57,12500,Mark van der Maarel,4-3-3,Dennis Higler,Match Report,0
2023-09-30,18:45,Eredivisie,Matchweek 7,Sat,Home,L,0,2,Almere City,1.2,2.0,53,22177,Nick Viergever,4-3-3,Edwin van de Graaf,Match Report,0
2023-10-06,20:00,Eredivisie,Matchweek 8,Fri,Away,L,0,1,Volendam,0.9,2.6,35,6525,Nick Viergever,4-3-3,Serdar Gözübüyük,Match Report,0
2023-10-22,12:15,Eredivisie,Matchweek 9,Sun,Home,W,4,3,Ajax,2.0,1.5,41,22198,Mike van der Hoorn,4-2-3-1,Dennis Higler,Match Report,0
2023-10-28,21:00,Eredivisie,Matchweek 10,Sat,Away,D,0,0,Fortuna Sittard,0.9,1.2,48,10102,Mike van der Hoorn,4-2-3-1,Bas Nijhuis,Match Report,0
2023-11-05,12:15,Eredivisie,Matchweek 11,Sun,Home,D,1,1,Twente,0.8,1.2,45,17491,Mike van der Hoorn,4-2-3-1,Serdar Gözübüyük,Match Report,0
2023-11-12,20:00,Eredivisie,Matchweek 12,Sun,Home,D,2,2,Excelsior,0.6,1.9,59,20235,Mike van der Hoorn,4-2-3-1,Marc Nagtegaal,Match Report,0
2023-11-26,16:45,Eredivisie,Matchweek 13,Sun,Away,W,2,1,Sparta R'dam,1.2,2.4,40,10030,Vasilios Barkas,4-2-3-1,Joey Kooij,Match Report,0
2023-12-03,16:45,Eredivisie,Matchweek 14,Sun,Home,D,1,1,AZ Alkmaar,2.1,1.2,47,18267,Nick Viergever,4-2-3-1,Erwin Blank,Match Report,0
2023-12-10,12:15,Eredivisie,Matchweek 15,Sun,Away,W,2,0,Go Ahead Eag,0.8,1.2,39,9873,Nick Viergever,4-2-3-1,Allard Lindhout,Match Report,0
2023-12-16,16:30,Eredivisie,Matchweek 16,Sat,Home,D,1,1,RKC Waalwijk,1.8,1.9,57,22033,Nick Viergever,4-2-3-1,Serdar Gözübüyük,Match Report,0
2024-01-14,14:30,Eredivisie,Matchweek 17,Sun,Away,D,0,0,Vitesse,1.6,0.9,59,14207,Nick Viergever,4-2-3-1,Richard Martens,Match Report,0
2024-01-21,12:15,Eredivisie,Matchweek 18,Sun,Home,D,1,1,PSV Eindhoven,1.4,1.0,43,21727,Nick Viergever,4-2-3-1,Joey Kooij,Match Report,0
2024-01-27,21:00,Eredivisie,Matchweek 19,Sat,Away,D,1,1,Excelsior,1.4,0.7,49,4400,Nick Viergever,4-3-3,Pol van Boekel,Match Report,0
2024-02-04,14:30,Eredivisie,Matchweek 20,Sun,Home,W,4,2,Volendam,2.4,1.0,68,20161,Nick Viergever,4-3-3,Allard Lindhout,Match Report,0
2024-02-11,14:30,Eredivisie,Matchweek 21,Sun,Home,W,4,0,Fortuna Sittard,1.9,0.4,49,18463,Nick Viergever,4-2-3-1,Serdar Gözübüyük,Match Report,0
2024-02-18,12:15,Eredivisie,Matchweek 22,Sun,Away,W,1,0,Twente,0.4,1.8,36,29500,Nick Viergever,4-2-3-1,Marc Nagtegaal,Match Report,0
2024-02-23,20:00,Eredivisie,Matchweek 23,Fri,Home,W,1,0,Heracles Almelo,1.4,0.5,55,20012,Nick Viergever,4-2-3-1,Jochem Kamphuis,Match Report,0
2024-03-03,12:15,Eredivisie,Matchweek 24,Sun,Away,L,0,2,Ajax,0.5,1.1,40,53159,Nick Viergever,4-2-3-1,Sander van der Eijk,Match Report,0
2024-03-09,20:00,Eredivisie,Matchweek 25,Sat,Away,D,1,1,Almere City,1.3,0.3,51,4222,Nick Viergever,4-2-3-1,Jannick van der Laan,Match Report,0
2024-03-17,14:30,Eredivisie,Matchweek 26,Sun,Home,W,1,0,NEC Nijmegen,2.0,0.6,46,21147,Nick Viergever,4-2-3-1,Danny Makkelie,Match Report,0
2024-03-31,14:30,Eredivisie,Matchweek 27,Sun,Away,L,2,4,Feyenoord,0.9,3.7,33,47500,Nick Viergever,4-2-3-1,Allard Lindhout,Match Report,0
2024-04-03,20:00,Eredivisie,Matchweek 28,Wed,Home,W,5,1,Zwolle,2.9,0.2,53,19606,Nick Viergever,4-2-3-1,Serdar Gözübüyük,Match Report,0
2024-04-07,20:00,Eredivisie,Matchweek 29,Sun,Away,W,3,2,Heerenveen,1.4,1.0,45,20417,Nick Viergever,4-2-3-1,Jeroen Manschot,Match Report,0
2024-04-14,14:30,Eredivisie,Matchweek 30,Sun,Home,W,2,1,Go Ahead Eag,1.8,0.9,50,22676,Nick Viergever,4-2-3-1,Sander van der Eijk,Match Report,0
2024-04-28,14:30,Eredivisie,Matchweek 31,Sun,Away,D,2,2,RKC Waalwijk,1.8,0.8,61,6734,Nick Viergever,4-2-3-1,Dennis Higler,Match Report,0
2024-05-05,14:30,Eredivisie,Matchweek 32,Sun,Home,W,1,0,Vitesse,1.0,2.1,39,20314,Nick Viergever,4-2-3-1,Rob Dieperink,Match Report,0
2024-05-12,14:30,Eredivisie,Matchweek 33,Sun,Home,L,0,1,Sparta R'dam,1.2,1.3,56,22270,Nick Viergever,4-2-3-1,Jannick van der Laan,Match Report,0
2024-05-19,14:30,Eredivisie,Matchweek 34,Sun,Away,D,3,3,AZ Alkmaar,2.7,0.7,62,18937,Mark van der Maarel,4-2-3-1,Bas Nijhuis,Match Report,0
2024-05-23,21:00,Eredivisie,Semi-finals,Thu,Home,W,3,1,Sparta R'dam,2.4,0.9,50,20092,Nick Viergever,4-2-3-1,Danny Makkelie,Match Report,0
2024-05-26,18:00,Eredivisie,Finals,Sun,Home,L,1,2,Go Ahead Eag,4.0,2.4,41,22574,Nick Viergever,4-2-3-1,Allard Lindhout,Match Report,Required Extra Time
