Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Eloy Room,cw CUW,GK,34.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Ramon Hendriks,nl NED,DF,22.0,31,29,2645.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,0.6,0.8,26.0,102.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Kacper Kozłowski,pl POL,"MF,FW",19.0,30,27,2043.0,22.7,3.0,5.0,8.0,3.0,0.0,0.0,4.0,0.0,3.7,3.7,4.6,8.3,53.0,62.0,120.0,0.13,0.22,0.35,0.13,0.35,0.16,0.2,0.36,0.16,0.36,Matches
Melle Meulensteen,nl NED,MF,24.0,27,26,2039.0,22.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,2.3,2.3,0.7,3.0,26.0,125.0,25.0,0.04,0.0,0.04,0.04,0.04,0.1,0.03,0.13,0.1,0.13,Matches
Carlens Arcus,ht HAI,DF,27.0,30,25,2177.0,24.2,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,3.2,3.4,40.0,143.0,103.0,0.0,0.17,0.17,0.0,0.17,0.01,0.13,0.14,0.01,0.14,Matches
Nicolas Isimat-Mirin,fr FRA,DF,31.0,27,24,2176.0,24.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.3,0.3,1.4,1.7,11.0,79.0,4.0,0.04,0.04,0.08,0.04,0.08,0.01,0.06,0.07,0.01,0.07,Matches
Marco van Ginkel,nl NED,"MF,FW",30.0,30,23,1964.0,21.8,7.0,2.0,9.0,6.0,1.0,1.0,2.0,1.0,8.2,7.4,1.4,8.8,21.0,84.0,66.0,0.32,0.09,0.41,0.27,0.37,0.37,0.06,0.44,0.34,0.4,Matches
Alois Oroz,hr CRO,DF,22.0,27,23,1891.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,0.4,1.4,5.0,64.0,17.0,0.05,0.0,0.05,0.05,0.05,0.05,0.02,0.07,0.05,0.07,Matches
Michael Pinto,lu LUX,DF,30.0,23,23,1818.0,20.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,2.1,2.5,37.0,94.0,63.0,0.05,0.1,0.15,0.05,0.15,0.02,0.11,0.12,0.02,0.12,Matches
Amine Boutrah,fr FRA,FW,22.0,29,20,1822.0,20.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,1.5,4.3,85.0,63.0,182.0,0.15,0.1,0.25,0.15,0.25,0.14,0.07,0.21,0.14,0.21,Matches
Mathijs Tielemans,nl NED,MF,21.0,25,18,1673.0,18.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,1.7,2.3,27.0,89.0,29.0,0.05,0.05,0.11,0.05,0.11,0.03,0.09,0.13,0.03,0.13,Matches
Million Manhoef,nl NED,FW,21.0,18,17,1459.0,16.2,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.8,2.8,1.7,4.5,78.0,43.0,123.0,0.25,0.0,0.25,0.25,0.25,0.18,0.1,0.28,0.18,0.28,Matches
Paxten Aaronson,us USA,MF,19.0,14,14,1253.0,13.9,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,5.0,5.0,1.7,6.8,34.0,43.0,61.0,0.29,0.0,0.29,0.29,0.29,0.36,0.12,0.48,0.36,0.48,Matches
Gyan de Regt,nl NED,"FW,MF",20.0,26,13,1186.0,13.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.4,2.4,2.2,4.7,33.0,21.0,88.0,0.08,0.08,0.15,0.08,0.15,0.18,0.17,0.35,0.18,0.35,Matches
Enzo Cornelisse,nl NED,"DF,MF",20.0,27,12,1538.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.8,0.9,7.0,44.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Anis Hadj Moussa,dz ALG,FW,21.0,14,9,850.0,9.4,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,2.2,2.2,2.4,4.7,62.0,45.0,108.0,0.11,0.21,0.32,0.11,0.32,0.24,0.26,0.49,0.24,0.49,Matches
Saïd Hamulic,ba BIH,FW,22.0,13,8,714.0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,0.5,1.7,8.0,6.0,25.0,0.0,0.13,0.13,0.0,0.13,0.15,0.06,0.21,0.15,0.21,Matches
