Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Eloy Room,cw CUW,GK,34.0,34.0,1503,1309,1494,10,0,0,1503,2,2,100.0,0,0.0,869,4638,3168,0,0,0,1,0,705,0,Matches
Ramon Hendriks,nl NED,DF,22.0,29.4,1939,264,1016,839,98,17,1939,29,15,51.7,12,41.4,1064,6302,3397,26,21,2,21,7,1162,15,Matches
Kacper Kozłowski,pl POL,"MF,FW",19.0,22.7,995,30,169,428,423,91,995,119,49,41.2,63,52.9,553,3485,1517,53,26,18,66,46,632,120,Matches
Melle Meulensteen,nl NED,MF,24.0,22.7,1386,83,326,847,221,28,1386,32,18,56.3,13,40.6,757,3567,1692,26,16,3,30,18,863,25,Matches
Carlens Arcus,ht HAI,DF,27.0,24.2,1748,101,595,795,376,16,1748,29,18,62.1,9,31.0,847,4583,1961,40,31,4,27,10,918,103,Matches
Nicolas Isimat-Mirin,fr FRA,DF,31.0,24.2,1605,207,856,718,45,27,1605,10,8,80.0,2,20.0,866,4436,2406,11,5,0,14,9,942,4,Matches
Marco van Ginkel,nl NED,"MF,FW",30.0,21.8,906,53,147,470,295,81,905,10,5,50.0,5,50.0,423,1921,794,21,20,5,32,11,668,66,Matches
Alois Oroz,hr CRO,DF,22.0,21.0,1268,132,565,631,76,24,1268,5,4,80.0,1,20.0,646,2809,1442,5,2,0,8,7,724,17,Matches
Michael Pinto,lu LUX,DF,30.0,20.2,1334,64,439,645,274,18,1334,14,6,42.9,6,42.9,673,3520,1778,37,30,5,15,6,822,63,Matches
Amine Boutrah,fr FRA,FW,22.0,20.2,991,14,127,441,441,87,991,79,31,39.2,44,55.7,707,5775,2581,85,57,38,59,30,751,182,Matches
