Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Damon Mirani,nl NED,"MF,DF",27.0,32.0,3,0,0,18,14,2,4,41,29,0,0,0,125,133,120,52.6,Matches
Mio Backhaus,de GER,GK,19.0,32.0,3,0,0,1,4,0,0,1,2,0,1,0,50,6,0,100.0,Matches
Benaissa Benamar,ma MAR,DF,26.0,25.2,7,1,1,20,7,0,4,24,19,0,0,0,128,51,33,60.7,Matches
Milan de Haan,nl NED,MF,19.0,24.1,3,0,0,27,11,1,15,11,31,0,0,0,97,15,18,45.5,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",26.0,23.6,3,0,0,5,42,4,155,5,9,0,0,0,109,1,15,6.3,Matches
Josh Flint,eng ENG,DF,22.0,24.8,4,0,0,20,8,2,11,32,27,0,0,0,93,53,44,54.6,Matches
George Cox,eng ENG,"DF,MF",25.0,21.3,3,0,0,11,15,0,67,36,29,0,0,0,110,19,17,52.8,Matches
Calvin Twigt,nl NED,MF,20.0,22.7,4,0,0,34,26,1,82,19,24,0,0,0,121,31,30,50.8,Matches
Brian Plat,nl NED,DF,23.0,22.0,3,0,0,22,9,1,12,28,59,0,0,0,104,40,33,54.8,Matches
Oskar Buur,dk DEN,DF,25.0,18.3,3,0,0,10,15,1,31,13,28,0,0,0,91,4,11,26.7,Matches
Robert Mühren,nl NED,FW,34.0,16.5,0,1,0,10,7,17,2,7,8,0,0,0,30,24,38,38.7,Matches
Zach Booth,us USA,"MF,FW",19.0,17.3,0,0,0,9,12,8,22,8,8,0,0,0,53,13,45,22.4,Matches
Darius Johnson,gd GRN,"FW,MF",23.0,13.3,2,0,0,12,23,6,25,11,8,0,0,0,40,15,22,40.5,Matches
Deron Payne,nl NED,DF,20.0,9.6,2,0,0,11,6,0,11,16,20,0,0,0,43,18,13,58.1,Matches
Robin Maulun,fr FRA,MF,26.0,7.8,1,0,0,6,2,0,27,4,2,0,0,0,39,6,8,42.9,Matches
Luke Le Roux,za RSA,MF,23.0,9.7,3,0,0,17,4,0,3,9,18,0,0,0,55,4,12,25.0,Matches
Lequincio Zeefuik,nl NED,"FW,MF",18.0,8.6,3,0,0,15,10,1,3,1,4,1,0,0,24,33,25,56.9,Matches
Garang Kuol,au AUS,"FW,MF",18.0,7.6,1,0,0,13,10,3,13,2,5,0,0,0,36,3,5,37.5,Matches
Xavier Mbuyamba,nl NED,DF,21.0,6.7,1,0,0,5,2,0,0,14,4,0,0,0,22,19,16,54.3,Matches
Vivaldo Semedo,pt POR,FW,18.0,7.0,1,0,0,14,4,4,2,0,1,0,0,0,17,21,25,45.7,Matches
Achraf Douiri,nl NED,"DF,FW",23.0,3.8,1,0,0,5,3,1,21,6,10,0,0,0,21,0,3,0.0,Matches
Bram van Driel,nl NED,MF,18.0,2.6,0,0,0,4,1,0,0,3,7,0,0,0,9,3,1,75.0,Matches
Derry Murkin,eng ENG,DF,24.0,2.0,1,0,0,2,1,0,15,4,2,0,0,0,22,7,1,87.5,Matches
Daryl van Mieghem,nl NED,MF,33.0,1.7,0,0,0,1,0,1,7,0,0,0,0,0,7,0,1,0.0,Matches
Joey Antonioli,nl NED,MF,19.0,1.1,0,0,0,6,0,0,0,0,1,0,0,0,4,0,4,0.0,Matches
Imran Nazih,ma MAR,MF,17.0,1.0,0,0,0,3,2,0,0,0,0,0,0,0,6,1,1,50.0,Matches
Barry Lauwers,nl NED,GK,23.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,100.0,Matches
Kayne van Oevelen,nl NED,GK,19.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0,Matches
Axel Guessand,fr FRA,DF,18.0,0.5,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,100.0,Matches
Quincy Hoeve,bq BOE,"FW,MF",20.0,3.9,3,0,0,4,7,1,1,0,1,0,0,0,12,38,25,60.3,Matches
Safouane Karim,nl NED,"MF,FW",19.0,2.6,3,1,1,10,9,0,2,3,5,0,0,0,24,3,6,33.3,Matches
Ibrahim El Kadiri,nl NED,FW,21.0,0.9,0,0,0,2,0,0,3,0,2,0,0,0,4,1,3,25.0,Matches
Ezechiel Fiemawhle,0,"MF,FW",0.0,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches
Flip Klomp,nl NED,MF,21.0,0.4,0,0,0,0,1,0,0,0,3,0,0,0,4,0,1,0.0,Matches
Francisco Reyes,do DOM,DF,17.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Myron Mau-Asam,nl NED,MF,19.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Caner Demircioglu,nl NED,FW,21.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Squad Total,0,0,23.4,34.0,58,3,2,318,257,54,539,299,367,1,1,0,1510,568,576,49.7,0
Opponent Total,0,0,25.2,34.0,42,5,1,269,306,72,708,213,343,1,1,1,1702,576,568,50.3,0
