Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Luís Maximiano,pt POR,GK,24.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Édgar González,es ESP,"DF,MF",26.0,28.0,2,13,3,23.1,0.46,0.11,0.15,0.67,10.3,0,0,0,2.3,2.3,0.18,-0.3,-0.3,Matches
Adri Embarba,es ESP,"FW,MF",31.0,27.5,3,63,24,38.1,2.29,0.87,0.03,0.08,24.1,12,1,1,4.3,3.5,0.06,-1.3,-1.5,Matches
Lucas Robertone,ar ARG,MF,26.0,26.5,0,37,13,35.1,1.4,0.49,0.0,0.0,28.1,3,0,0,1.0,1.0,0.03,-1.0,-1.0,Matches
Juan Brandáriz,es ESP,DF,24.0,27.0,0,5,0,0.0,0.18,0.0,0.0,0.0,13.8,0,0,0,1.0,1.0,0.19,-1.0,-1.0,Matches
Dion Lopy,sn SEN,MF,21.0,21.3,0,23,8,34.8,1.08,0.38,0.0,0.0,26.2,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
Sergio Arribas,es ESP,"MF,FW",21.0,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,16.8,1,0,0,8.6,8.6,0.15,0.4,0.4,Matches
Pubill,es ESP,DF,20.0,20.9,1,20,5,25.0,0.96,0.24,0.05,0.2,20.8,0,0,0,0.7,0.7,0.04,0.3,0.3,Matches
Léo Baptistão,br BRA,FW,30.0,20.4,6,48,18,37.5,2.35,0.88,0.13,0.33,16.7,0,0,0,5.3,5.3,0.11,0.7,0.7,Matches
César Montes,mx MEX,DF,26.0,19.9,0,13,2,15.4,0.65,0.1,0.0,0.0,11.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Sergio Akieme,es ESP,DF,25.0,18.6,2,9,5,55.6,0.48,0.27,0.22,0.4,17.4,0,0,0,1.2,1.2,0.13,0.8,0.8,Matches
Largie Ramazani,be BEL,"FW,MF",22.0,17.3,3,40,12,30.0,2.32,0.69,0.08,0.25,17.5,1,0,0,4.7,4.7,0.12,-1.7,-1.7,Matches
Iddrisu Baba,gh GHA,MF,27.0,15.9,0,8,2,25.0,0.5,0.13,0.0,0.0,25.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Jonathan Viera,es ESP,MF,33.0,10.1,0,12,5,41.7,1.18,0.49,0.0,0.0,18.7,1,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
Álex Centelles,es ESP,DF,25.0,10.9,0,2,1,50.0,0.18,0.09,0.0,0.0,21.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Gonzalo Melero,es ESP,"MF,FW",29.0,12.3,1,14,4,28.6,1.14,0.33,0.07,0.25,11.7,0,0,0,2.0,2.0,0.14,-1.0,-1.0,Matches
Luis Javier Suárez,co COL,FW,25.0,10.2,6,39,13,33.3,3.83,1.28,0.13,0.38,14.2,0,1,1,6.5,5.7,0.15,-0.5,-0.7,Matches
Anthony Lozano,hn HON,FW,30.0,8.6,3,23,9,39.1,2.68,1.05,0.13,0.33,13.3,0,0,0,3.3,3.3,0.14,-0.3,-0.3,Matches
Alejandro Pozo Pozo,es ESP,"DF,MF",24.0,10.8,0,4,3,75.0,0.37,0.28,0.0,0.0,23.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Bruno Langa,mz MOZ,DF,25.0,9.1,1,8,2,25.0,0.88,0.22,0.13,0.5,24.6,0,0,0,0.2,0.2,0.02,0.8,0.8,Matches
Aleksandar Radovanović,rs SRB,DF,29.0,6.3,0,1,0,0.0,0.16,0.0,0.0,0.0,10.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Kaiky,br BRA,DF,19.0,5.8,1,3,1,33.3,0.52,0.17,0.33,1.0,11.4,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
Luka Romero,ar ARG,FW,18.0,4.9,3,8,3,37.5,1.64,0.62,0.38,1.0,15.9,0,0,0,1.3,1.3,0.18,1.7,1.7,Matches
Marcos Peña,es ESP,MF,18.0,4.9,0,4,1,25.0,0.82,0.2,0.0,0.0,28.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Houboulang Mendes,gw GNB,DF,25.0,4.4,0,1,0,0.0,0.23,0.0,0.0,0.0,23.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
