Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Unai Simón,es ESP,GK,26.0,35.4,2,0,0,0,8,0,0,1,1,0,0,1,58,10,1,90.9,Matches
Iñaki Williams,gh GHA,FW,29.0,31.6,4,0,0,32,45,25,111,14,17,0,0,1,119,32,23,58.2,Matches
Daniel Vivian,es ESP,DF,24.0,32.0,6,0,0,37,26,1,4,31,28,0,0,0,213,34,46,42.5,Matches
Aitor Paredes,es ESP,DF,23.0,30.0,9,1,1,37,11,0,1,33,11,0,0,0,137,60,37,61.9,Matches
Gorka Guruzeta,es ESP,FW,26.0,24.6,2,0,0,45,23,11,11,17,23,1,1,0,78,70,91,43.5,Matches
Nico Williams,es ESP,FW,21.0,25.1,6,1,1,19,37,12,153,3,12,3,1,0,131,8,9,47.1,Matches
Óscar de Marcos,es ESP,DF,34.0,25.1,5,0,0,22,12,5,121,15,39,0,0,0,124,13,16,44.8,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,29.0,23.2,7,0,0,54,41,0,57,12,31,0,0,1,152,22,23,48.9,Matches
Oihan Sancet,es ESP,MF,23.0,21.9,5,2,1,30,35,3,30,10,11,0,0,0,107,24,18,57.1,Matches
Iñigo Lekue,es ESP,DF,30.0,22.2,4,0,0,15,7,0,37,15,22,0,0,0,139,15,9,62.5,Matches
Yuri Berchiche,es ESP,DF,33.0,21.4,5,0,0,29,33,0,44,20,25,0,1,1,119,33,20,62.3,Matches
Mikel Vesga,es ESP,MF,30.0,17.0,2,0,0,28,6,0,13,32,20,0,0,0,112,31,31,50.0,Matches
Beñat Prados,es ESP,"MF,DF",22.0,16.1,1,0,0,29,23,0,10,23,28,0,1,0,102,28,30,48.3,Matches
Álex Berenguer,es ESP,FW,28.0,17.7,4,0,0,30,22,12,138,5,14,0,0,0,63,20,42,32.3,Matches
Yeray Álvarez,es ESP,DF,28.0,12.8,1,1,0,15,14,0,1,11,9,0,0,0,68,43,15,74.1,Matches
Ander Herrera,es ESP,MF,33.0,11.4,4,0,0,21,11,0,13,15,32,0,0,0,76,14,24,36.8,Matches
Unai Gómez,es ESP,MF,20.0,9.7,1,0,0,11,20,0,21,2,10,0,0,0,45,13,15,46.4,Matches
Dani García,es ESP,MF,33.0,8.3,4,0,0,11,7,0,0,8,11,0,0,0,40,7,8,46.7,Matches
Iker Muniain,es ESP,"MF,FW",30.0,6.6,1,0,0,5,11,0,31,0,1,0,0,0,27,1,10,9.1,Matches
Imanol,es ESP,DF,23.0,5.8,2,0,0,5,2,0,21,7,5,0,0,0,37,10,4,71.4,Matches
Asier Villalibre,es ESP,FW,25.0,5.7,0,0,0,7,11,3,2,0,1,0,0,0,13,21,23,47.7,Matches
Adu Ares,es ESP,FW,21.0,2.9,2,0,0,5,12,1,11,1,4,0,0,0,15,1,3,25.0,Matches
Julen Agirrezabala,es ESP,GK,22.0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
Raúl García,es ESP,"FW,MF",37.0,4.7,3,0,0,20,10,5,7,3,6,0,1,0,19,27,19,58.7,Matches
Mikel Jauregizar,es ESP,MF,19.0,1.7,0,0,0,4,1,0,6,0,0,0,0,0,9,1,8,11.1,Matches
Peru Nolaskoain,es ESP,"DF,MF",24.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100.0,Matches
Aingeru Olabarrieta,es ESP,FW,17.0,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,27.3,38.0,80,5,3,511,428,78,845,278,362,4,5,4,2010,541,525,50.8,0
Opponent Total,0,0,26.9,38.0,82,3,2,453,487,91,626,370,428,2,5,2,2051,525,541,49.2,0
