Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Unai Simón,es ESP,GK,26.0,35.4,1227,855,367,127,0,2,0,0,0,0,0,0,728,5,1,Matches
Iñaki Williams,gh GHA,FW,29.0,31.6,995,953,33,4,12,4,111,19,0,0,0,0,668,9,51,Matches
Daniel Vivian,es ESP,DF,24.0,32.0,1719,1642,70,60,2,17,4,10,0,0,0,0,1442,7,5,Matches
Aitor Paredes,es ESP,DF,23.0,30.0,1556,1507,47,39,2,11,1,2,0,0,0,0,1331,2,7,Matches
Gorka Guruzeta,es ESP,FW,26.0,24.6,618,585,30,1,1,3,11,1,0,0,0,0,422,3,27,Matches
Nico Williams,es ESP,FW,21.0,25.1,828,739,85,16,8,3,153,11,57,36,8,0,579,4,47,Matches
Óscar de Marcos,es ESP,DF,34.0,25.1,1566,1262,298,30,1,3,121,267,1,1,0,0,1243,6,33,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,29.0,23.2,1232,1157,69,29,8,20,57,2,36,1,30,0,993,6,18,Matches
Oihan Sancet,es ESP,MF,23.0,21.9,802,783,13,1,9,0,30,0,0,0,0,0,641,6,21,Matches
Iñigo Lekue,es ESP,DF,30.0,22.2,1273,1036,233,23,2,4,37,207,0,0,0,0,1012,4,29,Matches
Yuri Berchiche,es ESP,DF,33.0,21.4,1304,1050,249,43,0,8,44,206,0,0,0,0,1078,5,26,Matches
Mikel Vesga,es ESP,MF,30.0,17.0,829,821,6,5,3,6,13,0,1,0,1,0,639,2,16,Matches
Beñat Prados,es ESP,"MF,DF",22.0,16.1,811,771,34,20,5,3,10,13,0,0,0,0,667,6,9,Matches
Álex Berenguer,es ESP,FW,28.0,17.7,596,478,117,38,4,5,138,13,65,22,30,0,373,1,23,Matches
Yeray Álvarez,es ESP,DF,28.0,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,Matches
Ander Herrera,es ESP,MF,33.0,11.4,756,727,24,20,4,4,13,1,0,0,0,0,643,5,6,Matches
Unai Gómez,es ESP,MF,20.0,9.7,260,234,26,6,1,1,21,0,14,11,1,0,198,0,5,Matches
Dani García,es ESP,MF,33.0,8.3,331,321,10,9,0,2,0,1,0,0,0,0,279,0,2,Matches
Iker Muniain,es ESP,"MF,FW",30.0,6.6,410,360,50,17,4,1,31,1,26,6,14,0,345,0,4,Matches
Imanol,es ESP,DF,23.0,5.8,343,277,65,3,0,3,21,61,1,0,1,0,280,1,11,Matches
Asier Villalibre,es ESP,FW,25.0,5.7,124,119,5,0,0,0,2,0,0,0,0,0,88,0,1,Matches
Adu Ares,es ESP,FW,21.0,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,Matches
Julen Agirrezabala,es ESP,GK,22.0,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,Matches
Raúl García,es ESP,"FW,MF",37.0,4.7,138,136,0,0,1,2,7,0,0,0,0,0,79,2,3,Matches
Mikel Jauregizar,es ESP,MF,19.0,1.7,79,71,8,1,1,0,6,1,6,1,4,0,56,0,4,Matches
Peru Nolaskoain,es ESP,"DF,MF",24.0,0.1,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Aingeru Olabarrieta,es ESP,FW,17.0,0.1,5,5,0,0,0,0,2,0,0,0,0,0,2,0,2,Matches
Squad Total,0,0,27.3,38.0,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,0
Opponent Total,0,0,26.9,38.0,19081,17121,1869,561,40,189,626,744,161,71,54,0,14887,91,352,0
