Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Unai Simón,es ESP,GK,26.0,35.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Iñaki Williams,gh GHA,FW,29.0,31.6,12,93,43,46.2,2.94,1.36,0.13,0.28,15.4,0,0,0,9.4,9.4,0.1,2.6,2.6,Matches
Daniel Vivian,es ESP,DF,24.0,32.0,0,11,1,9.1,0.34,0.03,0.0,0.0,13.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Aitor Paredes,es ESP,DF,23.0,30.0,1,14,3,21.4,0.47,0.1,0.07,0.33,9.7,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Gorka Guruzeta,es ESP,FW,26.0,24.6,14,63,28,44.4,2.56,1.14,0.22,0.5,13.5,3,0,1,11.6,10.8,0.17,2.4,3.2,Matches
Nico Williams,es ESP,FW,21.0,25.1,5,56,19,33.9,2.23,0.76,0.09,0.26,15.7,1,0,0,6.0,6.0,0.11,-1.0,-1.0,Matches
Óscar de Marcos,es ESP,DF,34.0,25.1,1,5,2,40.0,0.2,0.08,0.2,0.5,15.7,0,0,0,0.6,0.6,0.13,0.4,0.4,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,29.0,23.2,1,11,2,18.2,0.47,0.09,0.09,0.5,25.4,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
Oihan Sancet,es ESP,MF,23.0,21.9,4,41,11,26.8,1.87,0.5,0.1,0.36,15.6,0,0,1,6.3,5.5,0.13,-2.3,-1.5,Matches
Iñigo Lekue,es ESP,DF,30.0,22.2,0,5,0,0.0,0.22,0.0,0.0,0.0,22.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Yuri Berchiche,es ESP,DF,33.0,21.4,3,18,6,33.3,0.84,0.28,0.17,0.5,19.1,0,0,0,0.9,0.7,0.04,2.1,2.3,Matches
Mikel Vesga,es ESP,MF,30.0,17.0,3,17,5,29.4,1.0,0.29,0.06,0.2,20.7,0,2,2,2.7,1.1,0.07,0.3,-0.1,Matches
Beñat Prados,es ESP,"MF,DF",22.0,16.1,0,7,4,57.1,0.43,0.25,0.0,0.0,18.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Álex Berenguer,es ESP,FW,28.0,17.7,7,31,11,35.5,1.75,0.62,0.19,0.55,16.4,3,1,1,5.2,4.4,0.14,1.8,1.6,Matches
Yeray Álvarez,es ESP,DF,28.0,12.8,0,7,2,28.6,0.55,0.16,0.0,0.0,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Ander Herrera,es ESP,MF,33.0,11.4,0,14,2,14.3,1.22,0.17,0.0,0.0,21.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Unai Gómez,es ESP,MF,20.0,9.7,2,16,7,43.8,1.65,0.72,0.13,0.29,17.0,0,0,0,1.5,1.5,0.09,0.5,0.5,Matches
Dani García,es ESP,MF,33.0,8.3,1,6,3,50.0,0.72,0.36,0.17,0.33,13.6,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches
Iker Muniain,es ESP,"MF,FW",30.0,6.6,2,13,7,53.8,1.97,1.06,0.15,0.29,14.3,0,0,0,1.7,1.7,0.13,0.3,0.3,Matches
Imanol,es ESP,DF,23.0,5.8,0,1,0,0.0,0.17,0.0,0.0,0.0,23.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Asier Villalibre,es ESP,FW,25.0,5.7,2,12,6,50.0,2.11,1.05,0.17,0.33,11.5,0,0,0,1.7,1.7,0.14,0.3,0.3,Matches
Adu Ares,es ESP,FW,21.0,2.9,0,4,0,0.0,1.36,0.0,0.0,0.0,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Julen Agirrezabala,es ESP,GK,22.0,2.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Raúl García,es ESP,"FW,MF",37.0,4.7,1,10,1,10.0,2.14,0.21,0.1,1.0,14.3,0,0,0,0.9,0.9,0.09,0.1,0.1,Matches
Mikel Jauregizar,es ESP,MF,19.0,1.7,0,2,0,0.0,1.19,0.0,0.0,0.0,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Peru Nolaskoain,es ESP,"DF,MF",24.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Aingeru Olabarrieta,es ESP,FW,17.0,0.1,0,1,0,0.0,10.0,0.0,0.0,0.0,25.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Squad Total,0,0,27.3,38.0,59,458,163,35.6,12.05,4.29,0.12,0.34,15.9,7,3,5,52.7,48.7,0.11,6.3,7.3,0
Opponent Total,0,0,26.9,38.0,33,405,130,32.1,10.66,3.42,0.08,0.25,18.3,18,1,5,41.3,37.5,0.09,-8.3,-5.5,0
