Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Jan Oblak,si SVN,GK,30.0,38.0,3,0.08,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Koke,es ESP,MF,31.0,27.7,57,2.06,52,3,0,1,0,1,11,0.4,11,0,0,0,0,0,Matches
Antoine Griezmann,fr FRA,"FW,MF",32.0,29.4,107,3.64,68,21,4,10,2,2,11,0.37,10,0,0,1,0,0,Matches
Axel Witsel,be BEL,DF,34.0,30.9,16,0.52,12,1,0,2,0,1,1,0.03,1,0,0,0,0,0,Matches
Marcos Llorente,es ESP,"MF,DF",28.0,28.5,48,1.68,40,0,3,2,3,0,8,0.28,7,0,0,1,0,0,Matches
Mario Hermoso,es ESP,DF,28.0,28.4,45,1.58,37,4,1,2,1,0,6,0.21,3,1,0,1,1,0,Matches
Samuel Lino,br BRA,"DF,MF",23.0,23.1,77,3.33,54,1,7,4,9,2,12,0.52,9,0,1,1,1,0,Matches
Rodrigo De Paul,ar ARG,MF,29.0,23.1,82,3.55,71,3,2,3,3,0,12,0.52,10,0,0,2,0,0,Matches
Álvaro Morata,es ESP,FW,30.0,21.2,40,1.89,25,0,6,4,5,0,10,0.47,5,0,4,0,1,0,Matches
Nahuel Molina,ar ARG,DF,25.0,20.6,53,2.58,42,7,1,0,2,1,5,0.24,5,0,0,0,0,0,Matches
Stefan Savić,me MNE,DF,32.0,18.1,12,0.66,10,0,0,1,0,1,3,0.17,2,0,0,1,0,0,Matches
Pablo Barrios,es ESP,MF,20.0,17.3,43,2.49,35,1,2,3,0,2,2,0.12,2,0,0,0,0,0,Matches
Rodrigo Riquelme,es ESP,"DF,MF",23.0,17.0,61,3.6,47,6,5,2,1,0,11,0.65,6,2,2,0,1,0,Matches
Ángel Correa,ar ARG,"FW,MF",28.0,17.0,68,4.0,48,2,11,3,2,2,11,0.65,8,0,2,0,0,1,Matches
César Azpilicueta,es ESP,DF,33.0,15.8,32,2.03,30,2,0,0,0,0,3,0.19,3,0,0,0,0,0,Matches
Saúl Ñíguez,es ESP,MF,28.0,15.3,31,2.03,28,0,2,1,0,0,6,0.39,6,0,0,0,0,0,Matches
José María Giménez,uy URU,DF,28.0,14.7,5,0.34,4,0,0,0,0,1,1,0.07,1,0,0,0,0,0,Matches
Memphis,nl NED,FW,29.0,9.9,37,3.73,21,3,7,4,2,0,3,0.3,2,0,0,0,1,0,Matches
Reinildo Mandava,mz MOZ,DF,29.0,8.1,12,1.48,8,1,3,0,0,0,2,0.25,1,0,1,0,0,0,Matches
Gabriel Paulista,br BRA,DF,32.0,4.5,3,0.67,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Yannick Carrasco,be BEL,DF,29.0,2.5,7,2.85,4,1,1,0,1,0,1,0.41,1,0,0,0,0,0,Matches
Thomas Lemar,fr FRA,MF,27.0,1.8,3,1.66,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arthur Vermeeren,be BEL,MF,18.0,1.8,4,2.24,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Çağlar Söyüncü,tr TUR,DF,27.0,1.3,2,1.58,2,0,0,0,0,0,1,0.79,1,0,0,0,0,0,Matches
Javi Galán,es ESP,DF,28.0,1.0,4,4.04,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Salim El Jebari,ma MAR,MF,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Abdellah Raihani,ma MAR,FW,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,29.2,38.0,852,22.42,650,59,56,42,31,14,120,3.16,94,3,10,7,5,1,0
Opponent Total,0,0,26.9,38.0,787,20.71,577,72,44,46,29,19,75,1.97,55,4,9,4,1,2,0
