Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
İlkay Gündoğan,de GER,MF,32.0,36,33,2994.0,33.3,5.0,9.0,14.0,4.0,1.0,2.0,5.0,0.0,7.3,5.7,10.3,16.0,71.0,224.0,116.0,0.15,0.27,0.42,0.12,0.39,0.22,0.31,0.53,0.17,0.48,Matches
Jules Koundé,fr FRA,DF,24.0,35,32,2899.0,32.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.2,4.2,67.0,245.0,64.0,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,Matches
Robert Lewandowski,pl POL,FW,34.0,35,32,2750.0,30.6,19.0,8.0,27.0,15.0,4.0,4.0,5.0,0.0,18.1,15.0,4.9,19.9,43.0,64.0,168.0,0.62,0.26,0.88,0.49,0.75,0.59,0.16,0.75,0.49,0.65,Matches
João Cancelo,pt POR,DF,29.0,32,29,2503.0,27.8,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,6.1,7.7,106.0,141.0,193.0,0.07,0.14,0.22,0.07,0.22,0.06,0.22,0.28,0.06,0.28,Matches
Marc-André ter Stegen,de GER,GK,31.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Christensen,dk DEN,"DF,MF",27.0,30,27,1979.0,22.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.1,2.2,24.0,117.0,6.0,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.1,0.05,0.1,Matches
Lamine Yamal,es ESP,FW,16.0,37,22,2201.0,24.5,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,5.2,5.2,6.2,11.4,123.0,80.0,350.0,0.2,0.2,0.41,0.2,0.41,0.21,0.25,0.47,0.21,0.47,Matches
Ronald Araújo,uy URU,DF,24.0,25,21,1997.0,22.2,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,2.1,2.1,1.4,3.5,24.0,101.0,11.0,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16,Matches
Frenkie de Jong,nl NED,MF,26.0,20,20,1634.0,18.2,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,2.2,2.9,69.0,168.0,38.0,0.11,0.0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,Matches
Pau Cubarsí,es ESP,DF,16.0,19,18,1558.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.5,8.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
João Félix,pt POR,FW,23.0,30,18,1540.0,17.1,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,8.7,8.7,3.1,11.9,69.0,68.0,169.0,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,Matches
Raphinha,br BRA,"FW,MF",26.0,28,17,1368.0,15.2,6.0,9.0,15.0,5.0,1.0,1.0,4.0,1.0,7.4,6.6,5.7,12.3,49.0,57.0,164.0,0.39,0.59,0.99,0.33,0.92,0.48,0.37,0.86,0.43,0.81,Matches
Pedri,es ESP,"MF,FW",20.0,24,16,1476.0,16.4,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,3.1,3.1,4.2,7.3,41.0,136.0,81.0,0.24,0.12,0.37,0.24,0.37,0.19,0.25,0.44,0.19,0.44,Matches
Alejandro Balde,es ESP,DF,19.0,18,15,1378.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,Matches
Fermin López,es ESP,"MF,FW",20.0,31,14,1446.0,16.1,8.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,7.5,7.5,1.1,8.6,42.0,76.0,93.0,0.5,0.0,0.5,0.5,0.5,0.47,0.07,0.54,0.47,0.54,Matches
Iñigo Martínez,es ESP,DF,32.0,20,13,1296.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.0,0.4,33.0,97.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Ferrán Torres,es ESP,FW,23.0,29,12,1211.0,13.5,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.5,5.5,2.7,8.2,30.0,44.0,113.0,0.52,0.15,0.67,0.52,0.67,0.41,0.2,0.61,0.41,0.61,Matches
Oriol Romeu,es ESP,MF,31.0,28,11,936.0,10.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.3,2.0,12.0,66.0,4.0,0.0,0.1,0.1,0.0,0.1,0.07,0.12,0.19,0.07,0.19,Matches
Gavi,es ESP,"MF,FW",18.0,12,10,944.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.1,2.0,26.0,39.0,38.0,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,Matches
Iñaki Peña,es ESP,GK,24.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergi Roberto,es ESP,"MF,DF",31.0,14,10,860.0,9.6,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,1.7,1.7,0.8,2.4,13.0,50.0,33.0,0.31,0.21,0.52,0.31,0.52,0.18,0.08,0.26,0.18,0.26,Matches
Héctor Fort,es ESP,DF,16.0,7,4,318.0,3.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,3.0,7.0,38.0,0.0,0.57,0.57,0.0,0.57,0.0,0.23,0.23,0.0,0.23,Matches
Marcos Alonso,es ESP,DF,32.0,5,3,252.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,11.0,14.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.21,0.03,0.21,Matches
Vitor Roque,br BRA,FW,18.0,14,2,328.0,3.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,2.5,2.5,0.0,2.6,12.0,2.0,26.0,0.55,0.0,0.55,0.55,0.55,0.7,0.01,0.71,0.7,0.71,Matches
Marc Guiu,es ESP,"FW,MF",17.0,3,1,74.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.0,1.0,1.0,8.0,1.22,0.0,1.22,1.22,1.22,0.92,0.32,1.24,0.92,1.24,Matches
Abdessamad Ezzalzouli,ma MAR,"FW,MF",21.0,2,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,Matches
Eric García,es ESP,DF,22.0,2,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
