Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Rubén Alcaraz,es ESP,MF,32.0,34.8,97,59,39,52,6,50,121,41.3,71,60,14,46,33,130,55,2,Matches
Jeremías Ledesma,ar ARG,GK,30.0,33.9,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,15,3,Matches
Chris Ramos,es ESP,"FW,MF",26.0,29.0,28,15,9,15,4,8,27,29.6,19,23,7,16,9,37,44,0,Matches
Fali,es ESP,DF,29.0,28.3,41,26,29,11,1,21,36,58.3,15,38,24,14,27,68,120,0,Matches
Isaac Carcelen,es ESP,DF,30.0,29.0,50,31,30,15,5,25,45,55.6,20,24,7,17,27,77,87,2,Matches
Javi Hernández,es ESP,DF,25.0,27.9,43,24,26,12,5,25,46,54.3,21,34,9,25,19,62,72,1,Matches
Roberto Navarro,es ESP,"MF,FW",21.0,21.0,46,29,20,21,5,22,43,51.2,21,33,0,33,19,65,7,1,Matches
Víctor Chust,es ESP,DF,23.0,20.7,29,18,23,5,1,18,32,56.3,14,27,21,6,11,40,92,1,Matches
Iván Alejo,es ESP,MF,28.0,18.8,40,23,23,11,6,17,57,29.8,40,20,0,20,7,47,17,0,Matches
Gonzalo Escalante,ar ARG,MF,30.0,18.9,39,24,16,14,9,20,55,36.4,35,23,5,18,26,65,33,2,Matches
Rubén Sobrino,es ESP,"MF,FW",31.0,18.3,52,28,18,26,8,22,51,43.1,29,26,2,24,16,68,18,0,Matches
Roger Martí,es ESP,FW,32.0,15.1,12,6,1,9,2,2,7,28.6,5,16,1,15,7,19,4,0,Matches
Lucas,br BRA,DF,22.0,17.1,47,27,32,11,4,32,55,58.2,23,27,4,23,17,64,45,0,Matches
Álex Fernández,es ESP,MF,30.0,14.3,19,9,10,9,0,11,22,50.0,11,17,5,12,15,34,30,0,Matches
Maxi Gómez,uy URU,FW,26.0,12.9,6,4,2,3,1,3,5,60.0,2,8,3,5,3,9,3,0,Matches
Darwin Machís,ve VEN,MF,30.0,8.7,23,14,7,9,7,13,24,54.2,11,8,1,7,4,27,2,0,Matches
Juanmi,es ESP,FW,30.0,9.7,9,4,2,7,0,2,9,22.2,7,6,0,6,6,15,3,0,Matches
Rominigue Kouamé,ml MLI,MF,26.0,9.1,14,9,6,7,1,7,15,46.7,8,10,2,8,13,27,10,1,Matches
Joseba Zaldúa,es ESP,DF,31.0,7.8,20,12,17,2,1,13,21,61.9,8,6,4,2,2,22,20,0,Matches
Luis Hernández,es ESP,DF,34.0,8.0,7,3,4,3,0,4,8,50.0,4,3,2,1,8,15,25,0,Matches
Jorge Meré,es ESP,DF,26.0,7.5,8,7,6,2,0,4,7,57.1,3,5,3,2,8,16,33,0,Matches
Aiham Ousou,sy SYR,DF,23.0,4.8,8,5,6,2,0,5,5,100.0,0,1,0,1,7,15,15,0,Matches
David Gil,es ESP,GK,29.0,4.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
Fede San Emeterio,es ESP,MF,26.0,1.7,3,2,2,1,0,1,4,25.0,3,3,2,1,2,5,1,0,Matches
Mamadou Mbaye,sn SEN,DF,25.0,3.2,6,3,3,3,0,2,5,40.0,3,10,7,3,5,11,26,0,Matches
Sergi Guardiola,es ESP,"FW,MF",32.0,5.5,10,7,2,6,2,4,9,44.4,5,10,0,10,0,10,4,0,Matches
Brian Ocampo,uy URU,"MF,FW",24.0,2.8,4,3,1,3,0,2,5,40.0,3,4,0,4,3,7,0,0,Matches
Diadie Samassékou,ml MLI,MF,27.0,1.0,5,3,2,2,1,5,6,83.3,1,0,0,0,3,8,1,0,Matches
Álvaro Negredo,es ESP,"FW,MF",37.0,0.6,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,0,0,Matches
Karl Etta,cm CMR,FW,19.0,0.2,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
José Mari,es ESP,"MF,FW",35.0,0.2,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
Milutin Osmajić,me MNE,MF,24.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Borja Vázquez,es ESP,FW,18.0,0.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Moussa Diakité,ml MLI,MF,19.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.5,38.0,671,398,338,264,69,341,728,46.8,387,443,123,320,298,969,786,13,0
Opponent Total,0,0,27.3,38.0,606,370,281,253,72,263,493,53.3,230,341,89,252,243,849,795,7,0
