Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Rubén Alcaraz,es ESP,MF,32.0,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0,Matches
Jeremías Ledesma,ar ARG,GK,30.0,33.9,7,0.21,3,4,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches
Chris Ramos,es ESP,"FW,MF",26.0,29.0,39,1.34,17,0,7,7,7,1,2,0.07,0,0,0,0,2,0,Matches
Fali,es ESP,DF,29.0,28.3,17,0.6,15,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Isaac Carcelen,es ESP,DF,30.0,29.0,43,1.48,32,7,1,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Javi Hernández,es ESP,DF,25.0,27.9,63,2.26,39,18,1,2,1,2,6,0.21,3,2,0,1,0,0,Matches
Roberto Navarro,es ESP,"MF,FW",21.0,21.0,95,4.53,58,11,12,4,8,2,2,0.1,1,1,0,0,0,0,Matches
Víctor Chust,es ESP,DF,23.0,20.7,16,0.77,15,0,0,1,0,0,1,0.05,1,0,0,0,0,0,Matches
Iván Alejo,es ESP,MF,28.0,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0,Matches
Gonzalo Escalante,ar ARG,MF,30.0,18.9,21,1.11,18,0,0,1,0,2,2,0.11,2,0,0,0,0,0,Matches
Rubén Sobrino,es ESP,"MF,FW",31.0,18.3,39,2.13,31,0,3,3,2,0,1,0.05,1,0,0,0,0,0,Matches
Roger Martí,es ESP,FW,32.0,15.1,31,2.05,20,0,0,5,4,2,4,0.26,3,0,0,1,0,0,Matches
Lucas,br BRA,DF,22.0,17.1,41,2.4,31,8,0,1,0,1,1,0.06,0,0,0,0,0,1,Matches
Álex Fernández,es ESP,MF,30.0,14.3,26,1.82,17,7,0,2,0,0,2,0.14,2,0,0,0,0,0,Matches
Maxi Gómez,uy URU,FW,26.0,12.9,21,1.63,13,0,0,3,4,1,1,0.08,0,0,0,1,0,0,Matches
Darwin Machís,ve VEN,MF,30.0,8.7,21,2.4,12,7,0,1,1,0,1,0.11,1,0,0,0,0,0,Matches
Juanmi,es ESP,FW,30.0,9.7,20,2.06,16,0,2,1,1,0,1,0.1,1,0,0,0,0,0,Matches
Rominigue Kouamé,ml MLI,MF,26.0,9.1,14,1.54,12,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Joseba Zaldúa,es ESP,DF,31.0,7.8,11,1.41,9,1,0,0,1,0,1,0.13,1,0,0,0,0,0,Matches
Luis Hernández,es ESP,DF,34.0,8.0,17,2.12,9,8,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jorge Meré,es ESP,DF,26.0,7.5,2,0.27,2,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Aiham Ousou,sy SYR,DF,23.0,4.8,2,0.42,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
David Gil,es ESP,GK,29.0,4.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fede San Emeterio,es ESP,MF,26.0,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mamadou Mbaye,sn SEN,DF,25.0,3.2,1,0.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergi Guardiola,es ESP,"FW,MF",32.0,5.5,15,2.73,10,0,0,3,2,0,1,0.18,1,0,0,0,0,0,Matches
Brian Ocampo,uy URU,"MF,FW",24.0,2.8,8,2.9,6,0,2,0,0,0,1,0.36,0,0,1,0,0,0,Matches
Diadie Samassékou,ml MLI,MF,27.0,1.0,3,2.97,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álvaro Negredo,es ESP,"FW,MF",37.0,0.6,3,5.0,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Karl Etta,cm CMR,FW,19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José Mari,es ESP,"MF,FW",35.0,0.2,4,25.71,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Milutin Osmajić,me MNE,MF,24.0,0.1,3,54.0,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Borja Vázquez,es ESP,FW,18.0,0.0,1,22.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Moussa Diakité,ml MLI,MF,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.5,38.0,698,18.37,478,85,30,48,42,15,40,1.05,25,4,1,5,4,1,0
Opponent Total,0,0,27.3,38.0,909,23.92,671,67,63,43,43,22,91,2.39,67,6,9,6,2,1,0
