D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-13,21:30,La Liga,Matchweek 1,Sun,Home,D,0,0,Barcelona,0.6,1.4,26,13410,Djené,4-5-1,César Soto,Match Report,0.0
2023-08-20,19:00,La Liga,Matchweek 2,Sun,Away,L,0,3,Girona,0.7,1.4,37,11784,Djené,4-2-3-1,Jorge Figueroa,Match Report,0.0
2023-08-28,19:30,La Liga,Matchweek 3,Mon,Home,W,1,0,Alavés,2.2,0.7,47,11023,Djené,4-4-2,Juan Martínez,Match Report,0.0
2023-09-02,16:15,La Liga,Matchweek 4,Sat,Away,L,1,2,Real Madrid,0.4,2.8,24,66747,Djené,4-1-3-2,Mario Melero,Match Report,0.0
2023-09-17,14:00,La Liga,Matchweek 5,Sun,Home,W,3,2,Osasuna,0.5,1.1,44,9808,Djené,4-4-2,Alejandro Hernández,Match Report,0.0
2023-09-24,14:00,La Liga,Matchweek 6,Sun,Away,L,3,4,Real Sociedad,1.4,2.0,39,29568,Djené,4-2-3-1,Juan Pulido,Match Report,0.0
2023-09-27,19:00,La Liga,Matchweek 7,Wed,Away,D,2,2,Athletic Club,1.4,0.7,51,43091,David Soria,5-4-1,Isidro Díaz de Mera,Match Report,0.0
2023-09-30,14:00,La Liga,Matchweek 8,Sat,Home,D,0,0,Villarreal,0.9,0.1,64,11255,Djené,4-4-2,Mateo Busquets,Match Report,0.0
2023-10-08,18:30,La Liga,Matchweek 9,Sun,Away,D,2,2,Celta Vigo,0.7,3.1,26,17953,Djené,4-4-2,José Sánchez,Match Report,0.0
2023-10-21,16:15,La Liga,Matchweek 10,Sat,Home,D,1,1,Betis,1.5,1.1,45,13926,Damián Suárez,4-4-2,César Soto,Match Report,0.0
2023-10-28,18:30,La Liga,Matchweek 11,Sat,Away,D,0,0,Mallorca,0.2,0.9,41,15310,Djené,4-4-2,Pablo González,Match Report,0.0
2023-11-01,18:30,Copa del Rey,First round,Wed,Away,W,12,0,Tardienta,0.0,0.0,70,1200,Carles Aleñá,4-4-2,Víctor García,Match Report,0.0
2023-11-06,21:00,La Liga,Matchweek 12,Mon,Home,W,1,0,Cádiz,1.2,0.5,45,9853,Djené,4-4-2,Ricardo de Burgos,Match Report,0.0
2023-11-11,18:30,La Liga,Matchweek 13,Sat,Away,D,1,1,Granada,2.3,1.7,42,18103,David Soria,4-2-3-1,Alejandro Muñíz,Match Report,0.0
2023-11-25,18:30,La Liga,Matchweek 14,Sat,Home,W,2,1,Almería,1.2,1.8,53,10906,Damián Suárez,4-4-2,Alejandro Hernández,Match Report,0.0
2023-12-01,20:00,La Liga,Matchweek 15,Fri,Away,L,0,2,Las Palmas,0.9,1.5,30,21912,Djené,4-4-1-1,Mateo Busquets,Match Report,0.0
2023-12-05,19:00,Copa del Rey,Second round,Tue,Away,W,2,1,Atzeneta,0.0,0.0,49,5000,Damián Suárez,4-4-2,José Luis Munuera,Match Report,0.0
2023-12-08,21:00,La Liga,Matchweek 16,Fri,Home,W,1,0,Valencia,0.7,0.1,67,11515,Djené,4-4-2,Guillermo Cuadra,Match Report,0.0
2023-12-16,18:30,La Liga,Matchweek 17,Sat,Away,W,3,0,Sevilla,2.4,1.0,43,30005,Djené,4-4-2,Juan Pulido,Match Report,0.0
2023-12-19,21:30,La Liga,Matchweek 18,Tue,Away,D,3,3,Atlético Madrid,2.0,2.0,58,46401,Jaime Mata,4-4-2,José Luis Munuera,Match Report,0.0
2024-01-02,17:00,La Liga,Matchweek 19,Tue,Home,L,0,2,Rayo Vallecano,0.4,1.9,38,11204,Djené,4-4-2,Jorge Figueroa,Match Report,0.0
2024-01-06,17:00,Copa del Rey,Round of 32,Sat,Away,W,1,0,Espanyol,0.0,0.0,47,15197,David Soria,4-4-2,Mario Melero,Match Report,0.0
2024-01-16,20:00,Copa del Rey,Round of 16,Tue,Home,L,1,3,Sevilla,0.0,0.0,66,12581,Djené,4-4-2,Alejandro Muñíz,Match Report,0.0
2024-01-21,14:00,La Liga,Matchweek 21,Sun,Away,L,2,3,Osasuna,1.4,1.2,57,18811,Djené,4-4-2,José Sánchez,Match Report,0.0
2024-01-29,21:00,La Liga,Matchweek 22,Mon,Home,W,2,0,Granada,1.3,1.9,40,10382,Djené,4-4-2,Víctor García,Match Report,0.0
2024-02-01,21:00,La Liga,Matchweek 20,Thu,Home,L,0,2,Real Madrid,0.8,2.0,42,15264,Djené,4-4-2,Ricardo de Burgos,Match Report,0.0
2024-02-04,18:30,La Liga,Matchweek 23,Sun,Away,D,1,1,Betis,1.5,1.6,46,53336,Djené,4-4-2,Juan Pulido,Match Report,0.0
2024-02-11,14:00,La Liga,Matchweek 24,Sun,Home,W,3,2,Celta Vigo,2.1,1.2,48,11502,Djené,4-4-2,Alejandro Hernández,Match Report,0.0
2024-02-16,21:00,La Liga,Matchweek 25,Fri,Away,D,1,1,Villarreal,0.8,1.2,45,16869,Djené,4-4-2,Javier Alberola,Match Report,0.0
2024-02-24,16:15,La Liga,Matchweek 26,Sat,Away,L,0,4,Barcelona,0.5,3.1,33,36803,Djené,4-5-1,Alejandro Muñíz,Match Report,0.0
2024-03-02,18:30,La Liga,Matchweek 27,Sat,Home,D,3,3,Las Palmas,2.3,1.6,28,7623,Jaime Mata,4-3-3,Pablo González,Match Report,0.0
2024-03-09,14:00,La Liga,Matchweek 28,Sat,Away,L,0,1,Valencia,1.3,0.8,49,37961,Djené,4-4-2,Juan Pulido,Match Report,0.0
2024-03-16,18:30,La Liga,Matchweek 29,Sat,Home,W,1,0,Girona,1.2,1.8,41,12912,Djené,4-1-4-1,José Luis Munuera,Match Report,0.0
2024-03-30,14:00,La Liga,Matchweek 30,Sat,Home,L,0,1,Sevilla,1.6,0.8,66,10139,Djené,4-1-4-1,Javier Villanueva,Match Report,0.0
2024-04-13,16:15,La Liga,Matchweek 31,Sat,Away,D,0,0,Rayo Vallecano,0.3,1.0,37,12868,Djené,4-4-1-1,Jorge Figueroa,Match Report,0.0
2024-04-21,14:00,La Liga,Matchweek 32,Sun,Home,D,1,1,Real Sociedad,0.5,1.2,41,12228,Djené,4-2-3-1,Víctor García,Match Report,0.0
2024-04-27,16:15,La Liga,Matchweek 33,Sat,Away,W,3,1,Almería,1.7,2.4,44,7874,Djené,4-2-3-1,Guillermo Cuadra,Match Report,0.0
2024-05-03,21:00,La Liga,Matchweek 34,Fri,Home,L,0,2,Athletic Club,4.5,0.6,64,12149,Djené,4-2-3-1,Jesús Gil,Match Report,0.0
2024-05-12,14:00,La Liga,Matchweek 35,Sun,Away,L,0,1,Cádiz,0.5,1.5,55,16592,Djené,5-3-2,Ricardo de Burgos,Match Report,0.0
2024-05-15,22:00,La Liga,Matchweek 36,Wed,Home,L,0,3,Atlético Madrid,0.6,1.3,45,13027,David Soria,4-4-1-1,Mario Melero,Match Report,0.0
2024-05-18,21:00,La Liga,Matchweek 37,Sat,Away,L,0,1,Alavés,0.3,1.2,52,18709,David Soria,5-3-2,Jorge Figueroa,Match Report,0.0
2024-05-26,14:00,La Liga,Matchweek 38,Sun,Home,L,1,2,Mallorca,0.9,1.4,50,9545,Djené,4-1-4-1,Víctor García,Match Report,0.0
