Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
David Soria,es ESP,GK,30.0,37.9,3,0,0,1,2,0,0,0,0,0,1,0,52,3,0,100.0,Matches
Nemanja Maksimović,rs SRB,MF,28.0,36.3,4,0,0,20,13,1,5,46,43,0,1,0,140,70,61,53.4,Matches
Mason Greenwood,eng ENG,"MF,FW",21.0,29.6,6,1,0,39,43,1,107,4,6,1,0,0,120,5,20,20.0,Matches
Djené,tg TOG,"DF,MF",31.0,27.6,14,1,1,51,37,1,30,23,19,0,1,0,175,37,29,56.1,Matches
Gastón Álvarez,uy URU,DF,23.0,28.2,7,0,0,43,10,1,25,35,37,0,0,0,132,51,30,63.0,Matches
Diego Rico,es ESP,DF,30.0,28.2,10,0,0,32,55,2,130,41,48,0,0,0,164,29,20,59.2,Matches
Borja Mayoral,es ESP,FW,26.0,23.9,2,0,0,31,32,14,22,4,5,1,0,0,69,48,71,40.3,Matches
Luis Milla,es ESP,MF,28.0,23.5,6,0,0,43,29,1,102,32,33,0,0,0,174,28,25,52.8,Matches
Omar Alderete,py PAR,DF,26.0,24.4,8,1,0,34,11,2,5,13,21,0,0,0,107,55,45,55.0,Matches
Jaime Mata,es ESP,"FW,MF",34.0,19.9,10,1,1,63,25,31,39,17,15,0,0,0,58,49,65,43.0,Matches
Iglesias,es ESP,"DF,FW",25.0,15.7,4,0,0,16,10,1,58,16,22,0,0,0,71,12,10,54.5,Matches
Juanmi Latasa,es ESP,FW,22.0,17.3,7,1,1,66,39,7,2,4,7,1,1,0,31,143,125,53.4,Matches
Carmona,es ESP,"DF,MF",21.0,14.6,8,0,0,33,23,3,29,21,21,0,0,0,71,18,20,47.4,Matches
Damián Suárez,uy URU,DF,35.0,14.4,7,1,0,24,12,0,49,10,21,0,1,0,77,9,9,50.0,Matches
Domingos Duarte,pt POR,DF,28.0,10.1,5,2,1,8,8,0,1,8,4,0,0,0,45,14,10,58.3,Matches
Carles Aleñá,es ESP,MF,25.0,11.3,6,0,0,22,18,3,33,4,8,0,0,0,53,11,19,36.7,Matches
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",25.0,10.7,9,0,0,20,15,1,17,5,13,0,0,0,48,10,27,27.0,Matches
Stefan Mitrović,rs SRB,DF,33.0,7.8,3,0,0,13,2,0,0,6,3,0,1,0,27,11,20,35.5,Matches
Jesús Santiago,es ESP,MF,19.0,7.3,4,0,0,17,11,0,4,0,8,0,0,0,29,6,7,46.2,Matches
Ilaix Moriba,gn GUI,"MF,FW",20.0,6.7,5,1,1,19,23,1,2,4,11,0,0,0,22,10,14,41.7,Matches
Jordi,es ESP,"MF,DF",22.0,6.4,1,0,0,19,6,1,22,8,11,0,1,0,36,11,21,34.4,Matches
Mauro Arambarri,uy URU,MF,27.0,3.8,2,0,0,18,3,0,6,2,2,0,0,0,27,5,8,38.5,Matches
Nabil Aberdin,fr FRA,DF,20.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,Matches
Fabrizio Angileri,ar ARG,"DF,MF",29.0,1.8,2,1,0,1,1,0,8,4,1,0,0,0,15,6,5,54.5,Matches
Enes Ünal,tr TUR,"FW,MF",26.0,1.6,0,0,0,5,5,4,1,0,0,0,0,0,5,3,13,18.8,Matches
Alberto Risco,es ESP,MF,17.0,1.5,0,0,0,1,1,0,1,0,2,0,0,0,3,0,1,0.0,Matches
Portu,es ESP,FW,31.0,1.1,1,0,0,0,0,1,2,0,3,0,0,0,4,1,3,25.0,Matches
Anthony Lozano,hn HON,"MF,FW",30.0,1.0,1,0,0,6,1,1,1,0,0,0,0,0,2,7,7,50.0,Matches
Santiago García,0,FW,21.0,0.3,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0.0,Matches
Daniel Fuzato,br BRA,GK,26.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
Gorka Rivera Alonso,es ESP,DF,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Yassin Tallal,es ESP,FW,18.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Jeremy Jorge,es ESP,FW,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,27.3,38.0,135,10,5,648,437,78,701,307,364,3,7,0,1773,657,692,48.7,0
Opponent Total,0,0,27.2,38.0,105,10,4,464,623,141,640,261,348,6,7,0,1878,692,657,51.3,0
