Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
David Soria,es ESP,GK,30.0,37.9,687,1295,53.1,27570,24122,41,42,97.6,233,242,96.3,412,1004,41.0,0,0.0,0.1,0.0,0,44,1,0,0,Matches
Nemanja Maksimović,rs SRB,MF,28.0,36.3,844,1036,81.5,12019,2217,484,557,86.9,278,338,82.2,37,62,59.7,0,1.1,1.6,-1.1,20,67,7,1,73,Matches
Mason Greenwood,eng ENG,"MF,FW",21.0,29.6,777,1036,75.0,13710,2684,388,450,86.2,266,333,79.9,101,183,55.2,6,4.6,4.3,1.4,36,62,27,11,89,Matches
Djené,tg TOG,"DF,MF",31.0,27.6,861,1121,76.8,15810,5814,335,386,86.8,415,505,82.2,92,182,50.5,0,0.3,0.7,-0.3,7,64,11,5,98,Matches
Gastón Álvarez,uy URU,DF,23.0,28.2,754,1017,74.1,14087,5016,296,339,87.3,356,438,81.3,86,197,43.7,0,0.6,0.4,-0.6,8,64,5,3,63,Matches
Diego Rico,es ESP,DF,30.0,28.2,993,1495,66.4,17450,8646,482,570,84.6,384,566,67.8,104,267,39.0,7,3.8,3.4,3.2,39,106,40,32,119,Matches
Borja Mayoral,es ESP,FW,26.0,23.9,422,558,75.6,6846,1339,216,252,85.7,124,166,74.7,48,63,76.2,1,1.4,1.3,-0.4,20,48,7,2,67,Matches
Luis Milla,es ESP,MF,28.0,23.5,1011,1273,79.4,19294,5597,443,490,90.4,391,468,83.5,152,250,60.8,1,1.7,2.1,-0.7,29,140,10,6,121,Matches
Omar Alderete,py PAR,DF,26.0,24.4,678,1056,64.2,16564,7319,155,199,77.9,351,441,79.6,167,384,43.5,1,1.0,0.8,0.0,13,98,14,1,98,Matches
Jaime Mata,es ESP,"FW,MF",34.0,19.9,340,521,65.3,4502,751,219,281,77.9,88,142,62.0,14,39,35.9,1,1.5,1.6,-0.5,18,12,11,6,19,Matches
Iglesias,es ESP,"DF,FW",25.0,15.7,382,635,60.2,7413,3284,155,188,82.4,155,236,65.7,61,169,36.1,2,0.7,1.0,1.3,11,41,15,12,43,Matches
Juanmi Latasa,es ESP,FW,22.0,17.3,192,368,52.2,2382,380,121,209,57.9,46,97,47.4,7,18,38.9,0,1.5,1.4,-1.5,19,13,8,0,16,Matches
Carmona,es ESP,"DF,MF",21.0,14.6,419,570,73.5,6803,2258,225,259,86.9,144,199,72.4,40,77,51.9,1,1.0,1.4,0.0,10,29,12,5,39,Matches
Damián Suárez,uy URU,DF,35.0,14.4,436,638,68.3,7921,3538,221,256,86.3,151,212,71.2,56,135,41.5,2,0.8,1.1,1.2,17,50,13,8,58,Matches
